Date,Open,High,Low,Close,Variation,Volume
2019-12-26 00:00:00,200.0,200.0,127.02,132.0,-34.0,325684.87
2019-12-27 00:00:00,154.99,168.99,117.0,119.0,-23.220852958255378,912900.73
2019-12-30 00:00:00,121.1,127.49,116.0,121.49,0.32204789430223535,508677.84
2020-01-02 00:00:00,124.79,124.79,114.0,114.0,-8.646526163955448,585206.92
2020-01-03 00:00:00,115.57,119.77,115.57,116.0,0.3720688760058932,249037.61
2020-01-06 00:00:00,117.99,118.98,115.6,115.81,-1.8476142045936061,383759.62
2020-01-07 00:00:00,115.82,116.86,115.56,115.75,-0.06043861163874675,140213.67
2020-01-08 00:00:00,115.75,115.95,114.0,114.9,-0.7343412526997772,100516.96
2020-01-09 00:00:00,115.0,115.98,114.9,114.9,-0.08695652173912327,56126.87
2020-01-10 00:00:00,115.97,117.49,114.0,114.03,-1.6728464257997788,91894.39
2020-01-13 00:00:00,115.8,115.8,114.03,114.9,-0.7772020725388518,126652.72
2020-01-14 00:00:00,114.9,117.49,114.2,115.12,0.19147084421236027,68904.52
2020-01-15 00:00:00,115.0,116.08,114.05,114.49,-0.44347826086956754,74466.07
2020-01-16 00:00:00,115.5,115.8,114.12,114.15,-1.1688311688311637,74491.03
2020-01-17 00:00:00,114.5,115.78,114.15,114.15,-0.3056768558951872,77309.71
2020-01-20 00:00:00,115.3,115.3,114.04,115.14,-0.13876843018213458,55793.42
2020-01-21 00:00:00,115.2,115.2,114.09,114.09,-0.9635416666666674,67145.82
2020-01-22 00:00:00,114.09,115.01,114.07,114.98,0.7800858970987923,124896.91
2020-01-23 00:00:00,114.1,114.97,114.1,114.79,0.6047326906222672,53485.99
2020-01-24 00:00:00,114.23,115.8,114.13,114.13,-0.08754267705507468,137776.89
2020-01-27 00:00:00,114.13,114.98,114.0,114.11,-0.01752387628143337,46047.65
2020-01-28 00:00:00,114.5,115.51,114.12,114.85,0.30567685589519833,40900.86
2020-01-29 00:00:00,114.78,115.0,114.05,114.05,-0.6359993030144673,71192.45
2020-01-30 00:00:00,114.79,115.0,114.05,114.13,-0.5749629758689867,38080.41
2020-01-31 00:00:00,114.16,117.49,114.16,116.44,1.9971969166082681,73598.7
2020-02-03 00:00:00,119.0,119.0,115.03,116.0,-2.5210084033613467,27432.17
2020-02-04 00:00:00,116.01,116.48,115.03,116.45,0.37927764847858203,18195.44
2020-02-05 00:00:00,116.45,116.47,114.7,115.79,-0.5667668527264857,8333.25
2020-02-06 00:00:00,116.48,116.48,115.06,116.0,-0.4120879120879106,5811.78
2020-02-07 00:00:00,116.44,116.44,115.05,115.98,-0.3950532463071088,20267.6
2020-02-10 00:00:00,115.98,116.45,114.5,114.5,-1.27608208311778,34305.13
2020-02-11 00:00:00,114.99,115.0,114.2,114.5,-0.4261240107835462,29357.55
2020-02-12 00:00:00,114.5,114.99,114.05,114.5,0.0,21638.47
2020-02-13 00:00:00,114.51,115.2,114.07,114.4,-0.09606147934677622,19091.25
2020-02-14 00:00:00,114.46,114.78,114.1,114.78,0.27957365018347335,26431.36
2020-02-17 00:00:00,114.9,114.9,114.06,114.2,-0.6092254134029584,20800.14
2020-02-18 00:00:00,115.99,115.99,114.04,114.05,-1.6725579791361356,38726.26
2020-02-19 00:00:00,114.05,114.78,113.54,113.54,-0.4471722928540034,32332.9
2020-02-20 00:00:00,114.75,114.99,114.2,114.89,0.12200435729847747,10218.67
2020-02-21 00:00:00,114.89,114.89,113.95,113.95,-0.818173905474795,18851.49
2020-02-26 00:00:00,113.63,113.75,113.0,113.0,-0.5544310481386927,27910.9
2020-02-27 00:00:00,113.3,113.3,110.01,112.99,-0.273609885260373,12143.21
2020-02-28 00:00:00,113.5,114.89,112.05,113.0,-0.4405286343612369,15648.65
2020-03-02 00:00:00,111.0,111.0,99.97,108.96,-1.8378378378378413,38964.25
2020-03-03 00:00:00,105.5,107.0,103.1,104.0,-1.4218009478673022,25769.28
2020-03-04 00:00:00,103.99,104.51,103.9,103.9,-0.08654678334454324,64509.37
2020-03-05 00:00:00,103.91,105.95,103.4,103.8,-0.10586084111250393,16695.88
2020-03-06 00:00:00,104.0,105.99,102.93,103.0,-0.9615384615384581,9957.29
2020-03-09 00:00:00,103.49,103.49,99.75,99.78,-3.5848874287370713,16278.65
2020-03-10 00:00:00,99.78,102.0,99.5,99.5,-0.2806173581880178,38579.98
2020-03-11 00:00:00,99.0,99.0,90.0,90.0,-9.090909090909093,16368.06
2020-03-12 00:00:00,90.01,101.0,88.0,100.0,11.098766803688465,184015.99
2020-03-13 00:00:00,100.0,100.0,95.0,100.0,0.0,6589.75
2020-03-16 00:00:00,88.51,100.0,88.51,100.0,12.98158400180769,45085.06
2020-03-17 00:00:00,99.9,100.5,98.5,100.5,0.6006006006005871,23380.51
2020-03-18 00:00:00,99.0,99.95,88.0,99.5,0.5050505050504972,73118.92
2020-03-19 00:00:00,94.0,100.0,90.0,100.0,6.382978723404253,44107.75
2020-03-20 00:00:00,99.4,100.0,99.4,100.0,0.6036217303822866,3496.18
2020-03-23 00:00:00,96.5,100.0,89.5,100.0,3.626943005181338,43681.14
2020-03-24 00:00:00,88.0,100.0,86.1,100.0,13.636363636363647,114481.79
2020-03-25 00:00:00,100.0,100.5,93.51,100.5,0.49999999999998934,6108.1
2020-03-26 00:00:00,100.5,100.5,93.0,100.5,0.0,37035.89
2020-03-27 00:00:00,93.0,100.0,93.0,100.0,7.526881720430101,17514.64
2020-03-30 00:00:00,100.5,103.0,95.0,103.0,2.487562189054726,41250.0
2020-03-31 00:00:00,103.0,103.49,100.0,102.5,-0.4854368932038833,43311.84
2020-04-01 00:00:00,102.0,102.5,95.0,101.0,-0.9803921568627416,5010.0
2020-04-02 00:00:00,101.01,101.01,96.0,96.03,-4.930204930204929,1490.07
2020-04-03 00:00:00,97.0,102.9,97.0,100.0,3.092783505154628,3805.69
2020-04-06 00:00:00,100.0,104.87,96.01,100.0,0.0,11323.17
2020-04-07 00:00:00,101.0,101.0,99.9,100.0,-0.990099009900991,11099.81
2020-04-08 00:00:00,96.02,101.0,96.01,101.0,5.186419495938344,23670.03
2020-04-09 00:00:00,101.01,101.01,98.0,101.0,-0.009900009900010165,6402.6
2020-04-13 00:00:00,101.01,102.0,101.01,102.0,0.980100980100973,1215.81
2020-04-14 00:00:00,101.21,101.21,100.9,100.9,-0.3062938444817642,404.31
2020-04-15 00:00:00,100.9,101.0,100.0,101.0,0.09910802775023875,61958.99
2020-04-16 00:00:00,100.01,100.01,99.99,100.0,-0.009999000099991662,1200.0
