Date,Open,High,Low,Close,Variation,Volume
1998-03-16 00:00:00,2.75,2.75,2.75,2.75,0.0,2750.0
1998-03-17 00:00:00,2.92,2.92,2.92,2.92,0.0,2920.0
1998-03-18 00:00:00,2.96,2.96,2.96,2.96,0.0,2960.0
1998-03-19 00:00:00,3.05,3.05,3.05,3.05,0.0,3050.0
1998-03-20 00:00:00,2.95,2.95,2.95,2.95,0.0,2950.0
1998-03-23 00:00:00,3.1,3.1,3.1,3.1,0.0,31000.0
1998-03-24 00:00:00,3.01,3.01,3.01,3.01,0.0,6020.0
1998-03-26 00:00:00,3.03,3.05,3.03,3.05,0.660066006600668,6080.0
1998-03-30 00:00:00,3.35,3.35,3.35,3.35,0.0,10050.0
1998-04-01 00:00:00,3.13,3.2,3.13,3.2,2.2364217252396346,9460.0
1998-04-02 00:00:00,3.2,3.2,3.2,3.2,0.0,3200.0
1998-04-08 00:00:00,3.32,3.32,3.32,3.32,0.0,3320.0
1998-04-13 00:00:00,3.35,3.35,3.35,3.35,0.0,3350.0
1998-04-15 00:00:00,3.8,3.8,3.8,3.8,0.0,11400.0
1998-04-23 00:00:00,4.09,4.09,4.09,4.09,0.0,4090.0
1998-04-27 00:00:00,4.1,4.1,4.1,4.1,0.0,24600.0
1998-04-28 00:00:00,4.14,4.15,4.14,4.15,0.24154589371983004,29030.0
1998-04-29 00:00:00,4.1,4.1,4.1,4.1,0.0,12300.0
1998-04-30 00:00:00,4.1,4.1,4.1,4.1,0.0,8200.0
1998-05-04 00:00:00,4.1,4.1,4.1,4.1,0.0,8200.0
1998-05-07 00:00:00,4.6,4.6,4.6,4.6,0.0,9200.0
1998-05-08 00:00:00,4.72,5.2,4.72,5.2,10.169491525423746,54760.0
1998-05-12 00:00:00,5.05,5.05,5.05,5.05,0.0,25250.0
1998-05-14 00:00:00,5.1,5.2,5.1,5.2,1.9607843137255054,10300.0
1998-05-15 00:00:00,5.21,5.21,5.15,5.15,-1.151631477927051,67510.0
1998-05-18 00:00:00,5.01,5.01,5.01,5.01,0.0,10020.0
1998-05-21 00:00:00,4.94,4.94,4.94,4.94,0.0,4940.0
1998-05-22 00:00:00,4.98,4.98,4.97,4.97,-0.20080321285141922,14930.0
1998-05-25 00:00:00,4.97,4.99,4.97,4.99,0.4024144869215318,49860.0
1998-05-26 00:00:00,4.99,5.0,4.95,4.95,-0.8016032064128265,129300.0
1998-05-27 00:00:00,4.91,4.91,4.91,4.91,0.0,4910.0
1998-05-28 00:00:00,4.88,4.91,4.88,4.91,0.6147540983606703,19570.0
1998-06-01 00:00:00,4.91,4.91,4.9,4.9,-0.20366598778003286,49050.0
1998-06-02 00:00:00,4.75,4.75,4.75,4.75,0.0,23750.0
1998-06-03 00:00:00,4.75,4.75,4.74,4.75,0.0,75990.0
1998-06-04 00:00:00,4.75,4.75,4.75,4.75,0.0,23750.0
1998-06-05 00:00:00,4.75,4.75,4.75,4.75,0.0,14250.0
1998-06-08 00:00:00,4.75,4.75,4.75,4.75,0.0,9500.0
1998-06-19 00:00:00,4.7,4.7,4.7,4.7,0.0,9400.0
1998-07-01 00:00:00,4.62,4.62,4.62,4.62,0.0,13860.0
1998-07-02 00:00:00,4.62,4.62,4.57,4.57,-1.0822510822510734,13810.0
1998-07-03 00:00:00,4.57,4.57,4.52,4.52,-1.0940919037199293,13610.0
1998-07-24 00:00:00,4.0,4.5,4.0,4.5,12.5,37800.0
1998-07-27 00:00:00,4.5,4.5,4.5,4.5,0.0,148500.0
1998-07-28 00:00:00,4.49,4.5,4.49,4.5,0.22271714922048602,62950.0
1998-07-31 00:00:00,4.5,4.5,4.5,4.5,0.0,4500.0
1998-08-03 00:00:00,4.5,4.5,4.5,4.5,0.0,4500.0
1998-08-06 00:00:00,4.5,4.5,4.5,4.5,0.0,13500.0
1998-08-10 00:00:00,4.4,4.4,4.4,4.4,0.0,4400.0
1998-08-11 00:00:00,4.35,4.35,4.35,4.35,0.0,13050.0
1998-08-12 00:00:00,4.35,4.35,4.35,4.35,0.0,8700.0
1998-08-13 00:00:00,4.35,4.35,4.35,4.35,0.0,21750.0
1998-08-14 00:00:00,4.35,4.35,4.35,4.35,0.0,4350.0
1998-08-21 00:00:00,4.35,4.35,4.35,4.35,0.0,4350.0
1998-08-27 00:00:00,4.31,4.31,4.31,4.31,0.0,4310.0
1998-08-28 00:00:00,4.31,4.31,4.31,4.31,0.0,34480.0
1998-08-31 00:00:00,4.31,4.31,4.31,4.31,0.0,30170.0
1998-09-01 00:00:00,4.31,4.31,4.31,4.31,0.0,133610.0
1998-09-02 00:00:00,4.31,4.31,4.31,4.31,0.0,8620.0
1998-09-03 00:00:00,4.31,4.31,4.31,4.31,0.0,4310.0
1998-09-04 00:00:00,4.31,4.31,4.31,4.31,0.0,30170.0
1998-09-09 00:00:00,4.31,4.31,4.31,4.31,0.0,4310.0
1998-09-10 00:00:00,4.35,4.35,4.35,4.35,0.0,234900.0
1998-09-11 00:00:00,4.35,4.35,4.35,4.35,0.0,47850.0
1998-09-18 00:00:00,4.0,4.35,4.0,4.2,5.000000000000004,95300.0
1998-09-21 00:00:00,4.1,4.1,4.1,4.1,0.0,16400.0
1998-09-22 00:00:00,4.05,4.1,4.05,4.1,1.2345679012345734,16300.0
1998-09-25 00:00:00,4.1,4.1,4.1,4.1,0.0,24600.0
1998-09-29 00:00:00,4.0,4.1,4.0,4.1,2.499999999999991,88100.0
1998-09-30 00:00:00,4.1,4.1,4.1,4.1,0.0,4100.0
1998-10-01 00:00:00,4.1,4.1,4.1,4.1,0.0,24600.0
1998-10-02 00:00:00,4.04,4.04,4.04,4.04,0.0,60600.0
1998-10-05 00:00:00,3.95,4.0,3.95,3.95,0.0,15850.0
1998-10-06 00:00:00,3.95,3.95,3.93,3.94,-0.25316455696202667,70890.0
1998-10-08 00:00:00,3.91,3.94,3.91,3.91,0.0,1481920.0
1998-10-20 00:00:00,3.85,3.85,3.85,3.85,0.0,1101100.0
1998-10-29 00:00:00,3.8,3.84,3.8,3.84,1.0526315789473717,7640.0
1998-11-04 00:00:00,3.7,3.7,3.7,3.7,0.0,7400.0
1998-11-10 00:00:00,3.66,3.66,3.66,3.66,0.0,65880.0
1998-11-11 00:00:00,3.66,3.67,3.66,3.67,0.2732240437158362,249490.0
1998-11-12 00:00:00,3.67,3.67,3.67,3.67,0.0,3670.0
1998-11-13 00:00:00,3.7,3.7,3.7,3.7,0.0,7400.0
1998-11-16 00:00:00,3.8,3.8,3.8,3.8,0.0,3800.0
1998-11-19 00:00:00,3.85,3.85,3.85,3.85,0.0,3850.0
1998-11-20 00:00:00,3.85,3.85,3.85,3.85,0.0,3850.0
1998-11-24 00:00:00,3.85,3.85,3.75,3.75,-2.5974025974025983,11450.0
1998-11-25 00:00:00,3.75,3.85,3.75,3.85,2.6666666666666616,15300.0
1998-11-30 00:00:00,2.1,2.1,2.1,2.1,0.0,6300.0
1998-12-03 00:00:00,2.1,2.1,2.1,2.1,0.0,2100.0
1998-12-09 00:00:00,2.1,2.1,2.1,2.1,0.0,2100.0
1998-12-11 00:00:00,2.22,2.22,2.22,2.22,0.0,15540.0
1998-12-15 00:00:00,2.22,2.22,2.22,2.22,0.0,6660.0
1998-12-21 00:00:00,2.22,2.22,2.22,2.22,0.0,4440.0
1998-12-22 00:00:00,2.22,2.22,2.22,2.22,0.0,6660.0
1998-12-23 00:00:00,2.22,2.23,2.22,2.23,0.45045045045044585,4450.0
1998-12-28 00:00:00,2.26,2.26,2.26,2.26,0.0,2260.0
1998-12-30 00:00:00,2.35,2.35,2.3,2.3,-2.1276595744680993,11700.0
1999-01-04 00:00:00,2.31,2.31,2.31,2.31,0.0,18480.0
1999-01-05 00:00:00,2.31,2.31,2.31,2.31,0.0,6930.0
1999-01-06 00:00:00,2.31,2.31,2.31,2.31,0.0,13860.0
1999-01-11 00:00:00,2.22,2.22,2.22,2.22,0.0,17760.0
1999-01-13 00:00:00,2.1,2.1,2.1,2.1,0.0,12600.0
1999-01-20 00:00:00,2.08,2.08,2.08,2.08,0.0,10400.0
1999-01-22 00:00:00,2.06,2.06,2.06,2.06,0.0,2060.0
1999-01-28 00:00:00,2.05,2.05,2.05,2.05,0.0,4100.0
1999-02-01 00:00:00,1.9,1.9,1.9,1.9,0.0,13300.0
1999-02-04 00:00:00,1.88,1.88,1.88,1.88,0.0,3760.0
1999-02-05 00:00:00,1.85,1.85,1.85,1.85,0.0,3700.0
1999-02-08 00:00:00,1.84,1.84,1.84,1.84,0.0,3680.0
1999-02-09 00:00:00,1.84,1.84,1.84,1.84,0.0,5520.0
1999-02-10 00:00:00,1.83,1.83,1.83,1.83,0.0,1830.0
1999-02-11 00:00:00,1.8,1.8,1.8,1.8,0.0,7200.0
1999-02-12 00:00:00,1.8,1.8,1.8,1.8,0.0,5400.0
1999-02-18 00:00:00,1.8,1.8,1.8,1.8,0.0,3600.0
1999-02-22 00:00:00,1.8,1.8,1.8,1.8,0.0,1800.0
1999-02-23 00:00:00,2.18,2.18,2.18,2.18,0.0,4987840.0
1999-03-03 00:00:00,1.88,1.88,1.88,1.88,0.0,1880.0
1999-03-04 00:00:00,1.9,1.9,1.9,1.9,0.0,5700.0
1999-03-09 00:00:00,1.8,1.8,1.8,1.8,0.0,12600.0
1999-03-10 00:00:00,1.7,1.7,1.7,1.7,0.0,13600.0
1999-03-15 00:00:00,1.7,1.7,1.7,1.7,0.0,8500.0
1999-03-17 00:00:00,1.7,1.7,1.7,1.7,0.0,5100.0
