Date,Open,High,Low,Close,Variation,Volume
1998-03-18 00:00:00,0.9,0.9,0.9,0.9,0.0,5400.0
1998-03-19 00:00:00,0.92,0.92,0.92,0.92,0.0,1840.0
1998-03-20 00:00:00,0.92,0.92,0.92,0.92,0.0,1840.0
1998-03-23 00:00:00,0.92,0.92,0.92,0.92,0.0,8280.0
1998-03-25 00:00:00,0.9,0.9,0.9,0.9,0.0,1800.0
1998-03-26 00:00:00,0.95,0.95,0.95,0.95,0.0,14250.0
1998-03-31 00:00:00,0.93,0.93,0.9,0.9,-3.2258064516129115,7230.0
1998-04-01 00:00:00,0.91,0.91,0.91,0.91,0.0,31850.0
1998-04-02 00:00:00,0.91,0.91,0.91,0.91,0.0,910.0
1998-04-13 00:00:00,0.97,0.97,0.97,0.97,0.0,9700.0
1998-04-15 00:00:00,1.1,1.1,1.07,1.07,-2.7272727272727337,15370.0
1998-04-16 00:00:00,1.05,1.05,1.05,1.05,0.0,1050.0
1998-04-17 00:00:00,1.05,1.05,1.05,1.05,0.0,1050.0
1998-04-22 00:00:00,1.0,1.0,1.0,1.0,0.0,14000.0
1998-04-23 00:00:00,1.0,1.0,1.0,1.0,0.0,1000.0
1998-04-24 00:00:00,0.98,0.98,0.98,0.98,0.0,4900.0
1998-04-27 00:00:00,0.96,0.96,0.96,0.96,0.0,960.0
1998-04-28 00:00:00,0.94,0.94,0.94,0.94,0.0,18800.0
1998-04-30 00:00:00,0.94,0.95,0.94,0.95,1.0638297872340496,5680.0
1998-05-04 00:00:00,0.93,0.93,0.93,0.93,0.0,2790.0
1998-05-05 00:00:00,0.93,0.93,0.93,0.93,0.0,2790.0
1998-05-06 00:00:00,0.95,0.95,0.95,0.95,0.0,950.0
1998-05-08 00:00:00,0.94,0.94,0.91,0.91,-3.1914893617021156,3730.0
1998-05-13 00:00:00,0.95,1.01,0.95,1.01,6.315789473684208,59400.0
1998-05-14 00:00:00,1.01,1.2,1.01,1.18,16.831683168316825,58120.0
1998-05-15 00:00:00,1.2,1.2,1.12,1.12,-6.666666666666654,94600.0
1998-05-18 00:00:00,1.1,1.1,1.1,1.1,0.0,66000.0
1998-05-19 00:00:00,1.1,1.1,1.1,1.1,0.0,22000.0
1998-05-20 00:00:00,1.1,1.1,1.1,1.1,0.0,6600.0
1998-05-26 00:00:00,1.02,1.04,1.01,1.04,1.9607843137254832,28550.0
1998-05-27 00:00:00,1.04,1.04,1.04,1.04,0.0,7280.0
1998-05-29 00:00:00,1.04,1.04,1.04,1.04,0.0,34320.0
1998-06-01 00:00:00,1.04,1.04,1.04,1.04,0.0,7280.0
1998-06-02 00:00:00,1.04,1.04,1.0,1.0,-3.8461538461538547,36910.0
1998-06-03 00:00:00,1.0,1.0,0.99,1.0,0.0,57800.0
1998-06-04 00:00:00,1.0,1.0,1.0,1.0,0.0,5000.0
1998-06-05 00:00:00,1.0,1.0,1.0,1.0,0.0,25000.0
1998-06-08 00:00:00,1.0,1.0,1.0,1.0,0.0,21000.0
