Date,Open,High,Low,Close,Variation,Volume
1999-07-26 00:00:00,8.0,8.0,8.0,8.0,0.0,4800.0
1999-07-27 00:00:00,6.98,6.98,5.05,5.6,-19.770773638968485,163338.0
1999-07-28 00:00:00,5.95,5.95,5.3,5.6,-5.882352941176483,117949.0
1999-07-28 00:00:00,34.2,34.2,34.2,34.2,0.0,1183196908.14
1999-07-29 00:00:00,5.6,5.8,5.37,5.8,3.571428571428581,49863.0
1999-07-30 00:00:00,5.41,5.7,5.3,5.65,4.4362292051756125,77959.0
1999-08-02 00:00:00,5.45,5.5,5.1,5.2,-4.587155963302747,48910.0
1999-08-03 00:00:00,5.3,5.3,4.61,5.15,-2.8301886792452713,17331.0
1999-08-04 00:00:00,5.11,5.26,5.1,5.26,2.935420743639905,32940.0
1999-08-05 00:00:00,5.23,5.23,4.66,4.83,-7.648183556405364,80028.0
1999-08-06 00:00:00,4.8,4.84,4.31,4.7,-2.083333333333326,23837.0
1999-08-09 00:00:00,4.46,4.46,4.0,4.3,-3.58744394618834,26852.0
1999-08-10 00:00:00,4.3,4.3,3.85,4.04,-6.04651162790697,74633.0
1999-08-11 00:00:00,4.05,4.3,4.05,4.3,6.172839506172845,26920.0
1999-08-12 00:00:00,4.5,4.6,4.31,4.52,0.4444444444444251,19345.0
1999-08-13 00:00:00,4.5,4.7,4.5,4.6,2.2222222222222143,85496.0
1999-08-16 00:00:00,4.6,4.6,4.35,4.54,-1.304347826086949,34356.0
1999-08-17 00:00:00,4.1,4.2,4.0,4.2,2.4390243902439046,38600.0
1999-08-18 00:00:00,4.15,4.16,4.0,4.0,-3.614457831325313,58824.0
1999-08-19 00:00:00,4.39,4.39,4.1,4.1,-6.605922551252852,24627.0
1999-08-20 00:00:00,4.15,4.35,4.1,4.35,4.819277108433728,81105.0
1999-08-23 00:00:00,4.3,4.3,4.17,4.2,-2.3255813953488302,21572.0
1999-08-24 00:00:00,4.1,4.1,3.7,4.0,-2.4390243902438935,3150.0
1999-08-25 00:00:00,4.0,4.45,4.0,4.45,11.250000000000004,441685.0
1999-08-26 00:00:00,4.45,4.45,4.19,4.35,-2.2471910112359716,29774.0
1999-08-27 00:00:00,4.4,4.6,4.4,4.6,4.545454545454519,91244.0
1999-08-30 00:00:00,4.68,4.7,4.6,4.6,-1.7094017094017144,19144.0
1999-08-31 00:00:00,4.6,4.7,4.3,4.7,2.1739130434782705,54430.0
1999-09-01 00:00:00,5.0,5.0,4.7,4.9,-1.9999999999999907,65336.0
1999-09-02 00:00:00,4.9,5.0,4.7,4.92,0.40816326530610514,230274.0
1999-09-03 00:00:00,5.0,5.2,4.96,5.0,0.0,134930.0
1999-09-08 00:00:00,5.0,5.0,4.85,4.85,-3.0000000000000027,160570.0
1999-09-09 00:00:00,5.05,5.2,4.85,4.9,-2.970297029702962,116773.0
1999-09-10 00:00:00,5.19,5.19,5.05,5.1,-1.7341040462427904,113551.0
1999-09-13 00:00:00,5.2,5.35,5.15,5.26,1.1538461538461497,291696.0
1999-09-14 00:00:00,5.26,5.29,5.0,5.15,-2.091254752851701,97407.0
1999-09-15 00:00:00,5.2,5.2,4.8,4.8,-7.692307692307699,103190.0
1999-09-16 00:00:00,4.75,4.95,4.75,4.75,0.0,103679.0
1999-09-17 00:00:00,4.85,4.85,4.79,4.8,-1.0309278350515427,60119.0
1999-09-20 00:00:00,4.8,5.0,4.75,4.8,0.0,187167.0
1999-09-21 00:00:00,4.8,5.02,4.8,4.9,2.083333333333348,537635.0
1999-09-22 00:00:00,5.05,5.06,4.8,5.0,-0.990099009900991,560738.0
1999-09-23 00:00:00,5.0,5.34,5.0,5.34,6.800000000000006,353792.0
1999-09-24 00:00:00,5.3,5.69,5.21,5.5,3.7735849056603765,192288.0
1999-09-27 00:00:00,5.7,5.85,5.6,5.81,1.9298245614034926,228395.0
1999-09-28 00:00:00,5.85,5.85,5.34,5.8,-0.8547008547008517,1088760.0
1999-09-29 00:00:00,5.8,6.0,5.6,6.0,3.4482758620689724,644549.0
1999-09-30 00:00:00,5.9,5.9,5.45,5.78,-2.033898305084747,204740.0
1999-10-01 00:00:00,5.4,5.99,5.4,5.7,5.555555555555558,96429.0
1999-10-04 00:00:00,5.9,5.9,5.5,5.76,-2.3728813559322104,12608.0
1999-10-05 00:00:00,5.5,5.85,5.41,5.85,6.363636363636349,330273.0
