Date,Open,High,Low,Close,Variation,Volume
2017-07-31 00:00:00,28.26,29.6,28.07,29.29,3.6447275300778292,318090881.0
2017-08-01 00:00:00,29.58,29.7,29.29,29.4,-0.6085192697768749,112291163.0
2017-08-02 00:00:00,29.4,29.48,29.09,29.45,0.1700680272108901,32971542.0
2017-08-03 00:00:00,29.25,29.46,29.14,29.34,0.3076923076922977,19786752.0
2017-08-04 00:00:00,29.6,29.96,28.42,28.5,-3.716216216216217,67498036.0
2017-08-07 00:00:00,28.9,29.1,28.5,28.55,-1.211072664359858,46695495.0
2017-08-08 00:00:00,28.78,28.78,28.01,28.15,-2.189020152883958,57129219.0
2017-08-09 00:00:00,28.2,28.3,27.31,27.75,-1.5957446808510634,42939981.0
2017-08-10 00:00:00,27.69,28.41,27.58,28.24,1.9862766341639526,18037140.0
2017-08-11 00:00:00,28.41,28.56,28.0,28.4,-0.03519887363604424,10544618.0
2017-08-14 00:00:00,28.55,28.55,28.06,28.4,-0.5253940455341555,9303644.0
2017-08-15 00:00:00,28.55,28.55,28.31,28.4,-0.5253940455341555,15807834.0
2017-08-16 00:00:00,28.4,28.59,27.91,28.5,0.35211267605634866,30961772.0
2017-08-17 00:00:00,28.5,28.53,28.2,28.25,-0.8771929824561431,53767128.0
2017-08-18 00:00:00,28.3,28.55,28.01,28.5,0.7067137809187329,71106192.0
2017-08-21 00:00:00,28.51,28.69,27.84,28.62,0.38582953349701743,56377539.0
2017-08-22 00:00:00,28.62,28.7,28.34,28.5,-0.41928721174004924,10114654.0
2017-08-23 00:00:00,28.5,28.51,27.96,28.07,-1.5087719298245594,14924525.0
2017-08-24 00:00:00,28.28,29.0,27.73,29.0,2.545968882602545,107923145.0
2017-08-25 00:00:00,28.92,29.8,28.76,29.8,3.042876901798053,44593145.0
2017-08-28 00:00:00,29.86,30.33,29.5,30.25,1.306095110515737,52796844.0
2017-08-29 00:00:00,30.17,30.77,29.6,30.17,0.0,25854580.0
2017-08-30 00:00:00,30.35,30.38,29.72,30.3,-0.16474464579900872,14881768.0
2017-08-31 00:00:00,30.08,30.33,29.88,30.0,-0.26595744680850686,5569657.0
2017-09-01 00:00:00,30.01,30.1,29.62,29.76,-0.8330556481172979,23373631.0
2017-09-04 00:00:00,29.8,30.15,29.7,30.0,0.6711409395973034,6191809.0
2017-09-05 00:00:00,30.0,30.49,29.92,30.3,1.0000000000000009,58413579.0
2017-09-06 00:00:00,30.5,31.0,30.5,30.78,0.9180327868852478,25919879.0
2017-09-08 00:00:00,31.15,31.79,30.98,31.5,1.1235955056179803,69796849.0
2017-09-11 00:00:00,31.5,31.8,31.31,31.58,0.25396825396823974,28833552.0
2017-09-12 00:00:00,31.56,31.97,31.5,31.5,-0.1901140684410607,28266662.0
2017-09-13 00:00:00,31.51,31.63,31.0,31.19,-1.0155506188511576,14689830.0
2017-09-14 00:00:00,31.05,31.6,31.05,31.15,0.32206119162641045,12393528.0
2017-09-15 00:00:00,31.11,31.76,31.11,31.74,2.0250723240115676,24824227.0
2017-09-18 00:00:00,31.8,32.1,31.31,31.5,-0.9433962264150941,46269989.0
2017-09-19 00:00:00,31.5,32.0,31.26,31.46,-0.12698412698411987,5412807.0
2017-09-20 00:00:00,31.68,31.75,31.21,31.23,-1.4204545454545414,15607889.0
2017-09-21 00:00:00,31.32,31.61,31.09,31.5,0.5747126436781658,21578985.0
2017-09-22 00:00:00,31.47,31.9,31.28,31.89,1.3346043851286904,9003620.0
2017-09-25 00:00:00,31.92,32.09,31.21,31.35,-1.7857142857142905,18922518.0
2017-09-26 00:00:00,31.43,31.58,30.91,31.11,-1.0181355392936742,10389265.0
2017-09-27 00:00:00,31.2,31.36,30.61,30.7,-1.602564102564108,9812328.0
2017-09-28 00:00:00,30.83,31.34,30.0,30.4,-1.3947453778786922,25995612.0
2017-09-29 00:00:00,30.73,30.73,29.68,30.25,-1.5619915392124928,40422234.0
2017-10-02 00:00:00,30.36,31.09,30.25,30.82,1.5151515151515138,23024381.0
2017-10-03 00:00:00,30.77,30.93,30.28,30.76,-0.03249918752030734,51004612.0
2017-10-04 00:00:00,31.0,31.0,30.35,30.75,-0.8064516129032251,34701054.0
2017-10-05 00:00:00,30.82,30.9,30.17,30.34,-1.5574302401038298,43484670.0
2017-10-06 00:00:00,30.35,30.51,29.8,29.95,-1.317957166392103,16659561.0
2017-10-09 00:00:00,30.05,30.78,30.05,30.78,2.429284525790343,19623418.0
2017-10-10 00:00:00,30.85,31.0,30.35,30.75,-0.32414910858995505,25553015.0
2017-10-11 00:00:00,30.94,31.35,30.35,30.94,0.0,27846756.0
2017-10-13 00:00:00,31.25,31.67,31.25,31.37,0.38400000000000656,21299771.0
2017-10-16 00:00:00,31.5,32.0,31.42,31.83,1.0476190476190528,38960258.0
2017-10-17 00:00:00,31.83,31.98,31.53,31.7,-0.40841972981463526,16517209.0
2017-10-18 00:00:00,31.9,32.05,31.51,32.05,0.4702194357366629,22645557.0
2017-10-19 00:00:00,31.67,32.83,31.6,32.64,3.062835491000948,35183153.0
2017-10-20 00:00:00,32.84,33.58,32.84,33.22,1.157125456760033,23059453.0
2017-10-23 00:00:00,33.52,33.61,32.83,32.9,-1.8496420047732776,18379506.0
2017-10-24 00:00:00,32.91,33.27,32.51,32.64,-0.8204193254329861,22000722.0
2017-10-25 00:00:00,32.67,32.87,32.27,32.55,-0.36730945821856764,20909647.0
2017-10-26 00:00:00,32.64,33.2,32.45,32.97,1.0110294117646967,13967571.0
2017-10-27 00:00:00,33.0,33.5,32.65,33.15,0.4545454545454408,14198102.0
2017-10-30 00:00:00,33.13,33.26,32.79,33.0,-0.39239360096590126,40719730.0
2017-10-31 00:00:00,33.16,33.16,32.69,32.81,-1.055488540410121,23112545.0
2017-11-01 00:00:00,33.5,33.83,33.07,33.26,-0.7164179104477642,59306511.0
2017-11-03 00:00:00,33.7,33.75,33.22,33.48,-0.6528189910979365,51770269.0
2017-11-06 00:00:00,33.86,34.01,33.5,34.0,0.41346721795629815,26969788.0
2017-11-07 00:00:00,34.1,34.1,33.77,34.01,-0.26392961876834375,35621216.0
2017-11-08 00:00:00,33.72,34.2,33.62,34.0,0.8303677342823335,51778691.0
2017-11-09 00:00:00,34.0,34.1,33.45,33.88,-0.3529411764705781,51380332.0
2017-11-10 00:00:00,33.71,33.84,33.45,33.76,0.14832393948382983,33945224.0
2017-11-13 00:00:00,33.75,34.0,33.42,33.99,0.7111111111111068,55761611.0
2017-11-14 00:00:00,33.96,33.96,33.45,33.68,-0.8244994110718551,42448201.0
2017-11-16 00:00:00,33.67,34.01,33.48,33.6,-0.20790020790021346,21911280.0
2017-11-17 00:00:00,33.6,33.94,33.06,33.69,0.2678571428571308,27136944.0
2017-11-21 00:00:00,33.75,34.39,33.45,34.0,0.7407407407407307,27322750.0
2017-11-22 00:00:00,33.9,34.27,33.9,34.04,0.41297935103246086,9026573.0
2017-11-23 00:00:00,34.09,34.25,33.8,33.89,-0.5866823115283193,3361312.0
2017-11-24 00:00:00,33.9,34.25,33.7,34.0,0.2949852507374784,12994651.0
2017-11-27 00:00:00,34.11,34.11,33.83,34.0,-0.32248607446496713,19288646.0
2017-11-28 00:00:00,34.0,34.05,33.86,33.86,-0.4117647058823559,12628474.0
2017-11-29 00:00:00,33.86,34.0,33.51,33.97,0.32486709982280093,17543209.0
2017-11-30 00:00:00,33.96,34.35,33.61,34.35,1.148409893992941,36240233.0
2017-12-01 00:00:00,34.29,34.75,34.14,34.29,0.0,35642281.0
2017-12-04 00:00:00,34.4,34.7,33.99,33.99,-1.1918604651162679,21197750.0
2017-12-05 00:00:00,34.0,34.22,33.62,33.62,-1.1176470588235343,13216225.0
2017-12-06 00:00:00,33.59,34.39,33.53,34.0,1.2206013694551876,12995651.0
2017-12-07 00:00:00,33.79,33.99,33.54,33.71,-0.23675643681562164,12194842.0
2017-12-08 00:00:00,33.9,33.9,33.35,33.71,-0.5604719764011779,15773204.0
2017-12-11 00:00:00,33.55,34.0,33.2,33.87,0.9538002980626015,30329777.0
2017-12-12 00:00:00,33.83,34.03,33.73,34.0,0.5025125628140836,28314541.0
2017-12-13 00:00:00,34.09,34.37,33.03,33.33,-2.229392783807582,13413743.0
2017-12-14 00:00:00,33.1,33.56,33.09,33.52,1.2688821752265822,21368616.0
2017-12-15 00:00:00,33.59,33.9,33.02,33.02,-1.6969336111938071,105567210.0
2017-12-18 00:00:00,33.22,33.6,32.08,33.0,-0.6622516556291314,10437806.0
2017-12-19 00:00:00,33.01,33.08,32.6,32.8,-0.6361708573159652,7042371.0
2017-12-20 00:00:00,32.67,33.11,32.24,32.83,0.4897459442913865,70379989.0
2017-12-21 00:00:00,33.01,33.33,32.8,33.15,0.42411390487731015,37892287.0
2017-12-22 00:00:00,33.16,33.68,32.9,33.68,1.5681544028950611,24186403.0
2017-12-26 00:00:00,33.69,34.14,33.1,34.01,0.9498367468091518,19670069.0
2017-12-27 00:00:00,33.99,34.0,33.7,33.7,-0.8531921153280386,14550702.0
2017-12-28 00:00:00,33.71,34.05,33.33,34.0,0.8602788490062352,22502282.0
2018-01-02 00:00:00,33.45,34.13,33.45,33.71,0.7772795216741235,19631694.0
2018-01-03 00:00:00,33.72,33.91,33.51,33.71,-0.029655990510080166,27439298.0
2018-01-04 00:00:00,33.72,34.2,33.45,34.0,0.8303677342823335,35455892.0
2018-01-05 00:00:00,33.8,34.59,33.72,34.44,1.8934911242603603,12413094.0
2018-01-08 00:00:00,34.46,35.18,34.13,35.0,1.5670342426001183,28169872.0
2018-01-09 00:00:00,35.14,35.29,34.84,34.95,-0.5406943653955554,33681402.0
2018-01-10 00:00:00,35.26,35.28,34.77,34.94,-0.9075439591605172,28594576.0
2018-01-11 00:00:00,35.0,36.0,34.82,36.0,2.857142857142847,62870692.0
2018-01-12 00:00:00,35.71,37.29,35.69,36.99,3.584430131615801,58815702.0
2018-01-15 00:00:00,37.4,38.1,37.4,37.5,0.2673796791443861,30066349.0
2018-01-16 00:00:00,37.62,38.0,37.62,37.76,0.3721424774056459,32557126.0
2018-01-17 00:00:00,37.77,37.88,37.4,37.5,-0.7148530579825341,24228544.0
2018-01-18 00:00:00,37.59,38.0,37.36,37.5,-0.2394253790901968,39805964.0
2018-01-19 00:00:00,37.5,37.97,37.5,37.5,0.0,49960646.0
2018-01-22 00:00:00,37.5,38.76,37.4,38.15,1.73333333333332,28802898.0
2018-01-23 00:00:00,37.8,39.18,37.8,38.0,0.5291005291005346,42189302.0
2018-01-24 00:00:00,38.26,38.8,38.06,38.2,-0.1568217459487542,39956040.0
2018-01-26 00:00:00,38.35,39.19,37.41,38.1,-0.6518904823989535,73173021.0
2018-01-29 00:00:00,38.0,38.6,36.62,37.25,-1.9736842105263164,41226197.0
2018-01-30 00:00:00,37.47,37.49,36.51,37.25,-0.5871363757672721,30415444.0
2018-01-31 00:00:00,37.61,37.98,37.32,37.55,-0.15953203935124005,100068503.0
2018-02-01 00:00:00,38.0,38.13,37.5,37.85,-0.39473684210525883,58974542.0
2018-02-02 00:00:00,37.64,38.32,37.57,37.99,0.9298618490967137,32158799.0
2018-02-05 00:00:00,37.99,39.0,37.62,38.9,2.3953672018952155,48759985.0
2018-02-06 00:00:00,38.69,38.99,38.1,38.72,0.07753941586974289,36020350.0
2018-02-07 00:00:00,38.8,38.93,38.16,38.6,-0.5154639175257603,31809648.0
2018-02-08 00:00:00,38.38,39.77,38.38,38.88,1.3027618551328723,53001426.0
2018-02-09 00:00:00,38.89,39.48,37.48,37.7,-3.0599125739264488,64688258.0
2018-02-14 00:00:00,37.75,39.5,37.75,38.74,2.622516556291399,41673596.0
2018-02-15 00:00:00,39.09,39.1,38.31,38.31,-1.9953952417498089,25497538.0
2018-02-16 00:00:00,38.7,38.82,38.15,38.7,0.0,33184560.0
2018-02-19 00:00:00,38.89,39.07,38.2,38.39,-1.2856775520699415,26212574.0
2018-02-20 00:00:00,38.62,39.0,38.3,38.67,0.1294665976178333,56882517.0
2018-02-21 00:00:00,38.88,39.26,38.76,38.9,0.05144032921808872,45203672.0
2018-02-22 00:00:00,39.06,39.39,38.46,39.0,-0.1536098310291889,58669186.0
2018-02-23 00:00:00,39.01,39.49,38.91,38.93,-0.20507562163547544,49526924.0
2018-02-26 00:00:00,39.29,39.4,38.86,38.91,-0.9671672181216673,17363358.0
2018-02-27 00:00:00,38.93,39.2,38.33,39.1,0.4366812227074357,24050617.0
2018-02-28 00:00:00,39.0,39.26,38.24,38.7,-0.7692307692307665,22389054.0
2018-03-01 00:00:00,38.7,39.07,38.35,38.5,-0.5167958656330796,17111272.0
2018-03-02 00:00:00,38.7,39.0,38.34,38.9,0.5167958656330685,13188810.0
2018-03-05 00:00:00,38.96,39.05,38.41,38.5,-1.180698151950721,21133714.0
2018-03-06 00:00:00,38.6,39.28,38.56,39.14,1.3989637305699354,18142287.0
2018-03-07 00:00:00,38.95,39.9,38.95,39.83,2.259306803594341,22156571.0
2018-03-08 00:00:00,40.0,40.8,39.9,40.5,1.2499999999999956,111489710.0
2018-03-09 00:00:00,40.62,42.6,40.61,42.25,4.0128015755785285,57161224.0
2018-03-12 00:00:00,42.0,43.32,41.91,43.17,2.7857142857142803,61921721.0
2018-03-13 00:00:00,43.32,43.6,42.84,43.6,0.6463527239150446,80868072.0
2018-03-14 00:00:00,43.4,43.4,42.51,42.8,-1.382488479262678,51908874.0
2018-03-15 00:00:00,42.8,43.1,41.54,41.54,-2.9439252336448507,47596185.0
2018-03-16 00:00:00,41.96,42.1,40.2,40.55,-3.3603431839847597,104023931.0
2018-03-19 00:00:00,40.75,42.25,40.65,41.9,2.822085889570558,84186816.0
2018-03-20 00:00:00,42.0,42.6,42.0,42.5,1.1904761904761862,35025846.0
2018-03-21 00:00:00,42.83,42.9,42.64,42.76,-0.16343684333410824,38733606.0
2018-03-22 00:00:00,41.39,42.48,41.23,42.35,2.3194008214544537,84679289.0
2018-03-23 00:00:00,42.35,42.92,41.88,42.05,-0.7083825265643551,41786468.0
2018-03-26 00:00:00,42.38,42.7,42.27,42.4,0.04719207173193851,26509456.0
2018-03-27 00:00:00,42.46,42.63,41.98,41.98,-1.1304757418747147,25417919.0
2018-03-28 00:00:00,41.99,42.1,41.25,41.82,-0.4048582995951455,19244905.0
2018-03-29 00:00:00,41.99,42.3,41.73,41.86,-0.3095975232198178,42975429.0
2018-04-02 00:00:00,42.11,42.11,41.01,41.6,-1.211113749703152,24672611.0
2018-04-03 00:00:00,41.66,41.89,41.46,41.54,-0.2880460873739721,22440693.0
2018-04-04 00:00:00,41.54,42.55,41.25,41.8,0.6259027443427989,22016547.0
2018-04-05 00:00:00,42.8,43.0,42.64,42.91,0.25700934579440116,27744732.0
2018-04-06 00:00:00,43.16,43.35,42.36,42.49,-1.5523632993512337,34535735.0
2018-04-09 00:00:00,42.65,43.04,42.33,42.85,0.4689331770222793,23656054.0
2018-04-10 00:00:00,43.0,43.25,42.6,42.91,-0.20930232558140638,35203892.0
2018-04-11 00:00:00,43.09,43.88,43.06,43.34,0.5801810164771437,16695398.0
2018-04-12 00:00:00,43.34,43.39,42.21,42.4,-2.1688970927549733,35099230.0
2018-04-13 00:00:00,42.41,42.9,42.0,42.4,-0.023579344494217835,58582118.0
2018-04-16 00:00:00,42.81,43.3,42.27,42.6,-0.49053959355290777,52487239.0
2018-04-17 00:00:00,43.0,44.35,42.86,44.15,2.674418604651163,133566303.0
2018-04-18 00:00:00,44.41,45.85,44.41,45.61,2.7020941229452866,49656168.0
2018-04-19 00:00:00,45.65,47.6,45.65,47.2,3.3953997809419656,87172567.0
2018-04-20 00:00:00,47.19,47.8,46.63,47.25,0.12714558169104606,36420471.0
2018-04-23 00:00:00,47.02,47.46,46.1,46.16,-1.8290089323692138,40614525.0
2018-04-24 00:00:00,46.1,46.7,45.79,46.38,0.6073752711496683,25381198.0
2018-04-25 00:00:00,46.48,47.34,45.92,47.19,1.5275387263339102,29309828.0
2018-04-26 00:00:00,47.01,48.25,47.01,48.25,2.6377366517762235,55466738.0
2018-04-27 00:00:00,48.79,48.8,47.31,47.83,-1.9676163148186099,79201405.0
2018-04-30 00:00:00,47.83,47.93,47.04,47.3,-1.108091156178137,24026065.0
2018-05-02 00:00:00,47.3,47.79,46.7,47.49,0.4016913319238924,56759214.0
2018-05-03 00:00:00,48.0,48.28,47.12,48.19,0.3958333333333286,53764669.0
2018-05-04 00:00:00,48.5,50.3,46.15,50.3,3.711340206185554,126057603.0
2018-05-07 00:00:00,50.3,50.3,49.07,49.54,-1.5109343936381636,62796954.0
2018-05-08 00:00:00,49.6,49.61,48.2,48.65,-1.9153225806451624,53674971.0
2018-05-09 00:00:00,48.79,49.26,48.0,48.4,-0.799344127895063,39372231.0
2018-05-10 00:00:00,47.8,47.8,46.24,47.43,-0.7740585774058562,79092656.0
2018-05-11 00:00:00,47.5,49.11,47.5,48.2,1.473684210526316,34798401.0
2018-05-14 00:00:00,48.22,49.27,48.0,48.0,-0.45624222314392116,42155343.0
2018-05-15 00:00:00,48.4,50.57,48.4,50.4,4.132231404958686,156306582.0
2018-05-16 00:00:00,50.7,52.0,50.7,51.13,0.8481262327416195,64579709.0
2018-05-17 00:00:00,51.38,51.71,50.27,50.45,-1.8100428182172057,45115704.0
2018-05-18 00:00:00,50.4,50.4,47.75,48.76,-3.2539682539682535,116415226.0
2018-05-21 00:00:00,49.0,49.99,47.76,48.2,-1.6326530612244872,73792003.0
2018-05-22 00:00:00,48.19,49.39,48.19,49.1,1.888358580618399,55500274.0
2018-05-23 00:00:00,49.07,49.07,46.85,48.24,-1.6914611779091038,71404402.0
2018-05-24 00:00:00,47.32,48.74,47.32,48.49,2.472527472527486,75046633.0
2018-05-25 00:00:00,48.58,49.74,47.8,47.9,-1.3997529847673884,113021965.0
2018-05-28 00:00:00,47.55,47.98,46.26,47.7,0.3154574132492316,79648236.0
