Date,Open,High,Low,Close,Variation,Volume
1996-06-14 00:00:00,13.0,13.0,13.0,13.0,0.0,13.0
1997-12-23 00:00:00,36.75,36.75,36.75,36.75,0.0,36.75
2000-11-22 00:00:00,1.0,1.0,1.0,1.0,0.0,100.0
2001-01-24 00:00:00,1.0,1.0,1.0,1.0,0.0,1000.0
2001-07-17 00:00:00,1.0,1.0,1.0,1.0,0.0,1000.0
2001-08-10 00:00:00,1.0,1.0,1.0,1.0,0.0,1000.0
2001-11-30 00:00:00,1.0,1.0,1.0,1.0,0.0,7200.0
2002-09-09 00:00:00,0.95,0.95,0.95,0.95,0.0,1900.0
2002-12-04 00:00:00,1.11,1.11,1.11,1.11,0.0,2220.0
2003-03-11 00:00:00,0.82,0.82,0.82,0.82,0.0,738.0
2003-03-12 00:00:00,0.82,0.82,0.82,0.82,0.0,164.0
2003-03-13 00:00:00,0.86,0.86,0.86,0.86,0.0,29240.0
2003-03-14 00:00:00,0.88,0.89,0.88,0.89,1.1363636363636465,8597.0
2003-03-17 00:00:00,0.88,0.88,0.88,0.88,0.0,1056.0
2003-03-19 00:00:00,0.9,0.9,0.89,0.89,-1.1111111111111072,7121.0
2003-03-24 00:00:00,0.89,0.89,0.89,0.89,0.0,979.0
2003-04-01 00:00:00,0.91,0.91,0.91,0.91,0.0,910.0
2003-04-03 00:00:00,0.92,0.92,0.92,0.92,0.0,9200.0
2003-04-08 00:00:00,0.93,0.93,0.93,0.93,0.0,23250.0
2003-04-09 00:00:00,0.95,0.95,0.95,0.95,0.0,19000.0
2003-04-10 00:00:00,0.95,0.95,0.95,0.95,0.0,33250.0
2003-04-11 00:00:00,0.95,0.95,0.95,0.95,0.0,190.0
2003-04-15 00:00:00,0.95,0.95,0.95,0.95,0.0,1900.0
2003-04-16 00:00:00,0.95,0.95,0.95,0.95,0.0,7600.0
2003-04-23 00:00:00,0.93,0.93,0.93,0.93,0.0,9300.0
2003-04-24 00:00:00,0.92,0.92,0.92,0.92,0.0,6440.0
2003-04-25 00:00:00,0.92,0.92,0.92,0.92,0.0,6348.0
2003-04-28 00:00:00,0.92,0.92,0.92,0.92,0.0,4600.0
2003-04-30 00:00:00,0.92,0.92,0.92,0.92,0.0,4600.0
2003-05-02 00:00:00,0.92,0.92,0.92,0.92,0.0,13064.0
2003-05-05 00:00:00,0.93,0.93,0.93,0.93,0.0,23250.0
2003-05-06 00:00:00,0.91,0.91,0.91,0.91,0.0,5551.0
2003-05-15 00:00:00,1.01,1.01,1.01,1.01,0.0,202.0
2003-05-16 00:00:00,1.15,1.15,1.15,1.15,0.0,230.0
2003-05-19 00:00:00,1.15,1.25,0.97,1.05,-8.695652173913038,15250.0
2003-05-20 00:00:00,1.25,1.25,1.15,1.25,0.0,24625.0
2003-05-22 00:00:00,1.24,1.24,1.24,1.24,0.0,2480.0
2003-05-27 00:00:00,1.2,1.25,1.2,1.25,4.166666666666674,6125.0
2003-05-28 00:00:00,1.29,1.29,1.29,1.29,0.0,1032.0
2003-05-29 00:00:00,1.29,1.29,1.21,1.21,-6.2015503875969,371.0
2003-06-09 00:00:00,1.22,1.3,1.22,1.3,6.557377049180335,25830.0
2003-06-13 00:00:00,1.3,1.3,1.3,1.3,0.0,1430.0
2003-06-17 00:00:00,1.4,1.4,1.4,1.4,0.0,2800.0
2003-06-20 00:00:00,1.42,1.42,1.42,1.42,0.0,132060.0
2003-06-23 00:00:00,1.42,1.42,1.42,1.42,0.0,42600.0
2003-06-24 00:00:00,1.41,1.41,1.4,1.4,-0.7092198581560294,18632.0
2003-06-25 00:00:00,1.4,1.4,1.4,1.4,0.0,28000.0
2003-06-30 00:00:00,1.4,1.45,1.4,1.45,3.571428571428581,39250.0
2003-07-04 00:00:00,1.4,1.45,1.4,1.45,3.571428571428581,6630.0
2003-07-08 00:00:00,1.4,1.4,1.4,1.4,0.0,9660.0
2003-07-14 00:00:00,1.45,1.45,1.45,1.45,0.0,12760.0
2003-02-26 00:00:00,1.08,1.08,1.08,1.08,0.0,2160.0
2003-03-07 00:00:00,0.82,0.82,0.82,0.82,0.0,82.0
2003-08-12 00:00:00,1.49,1.6,1.49,1.6,7.38255033557047,10290.0
2003-08-15 00:00:00,1.6,1.7,1.6,1.6,0.0,9689.0
2003-08-25 00:00:00,1.7,1.7,1.7,1.7,0.0,6800.0
2003-08-27 00:00:00,1.7,1.7,1.7,1.7,0.0,340.0
2003-09-01 00:00:00,1.85,1.85,1.85,1.85,0.0,9250.0
2003-09-02 00:00:00,2.0,2.0,2.0,2.0,0.0,200000.0
2003-09-03 00:00:00,2.1,2.15,2.1,2.1,0.0,285820.0
2003-09-04 00:00:00,2.1,2.2,2.1,2.2,4.761904761904767,10600.0
2003-09-05 00:00:00,2.2,2.2,2.19,2.19,-0.454545454545463,2630.0
2003-09-08 00:00:00,2.19,2.19,2.15,2.15,-1.82648401826484,13585.0
2003-09-09 00:00:00,2.16,2.2,2.16,2.2,1.85185185185186,50868.0
2003-09-10 00:00:00,2.2,2.2,2.2,2.2,0.0,6600.0
2003-09-11 00:00:00,2.35,2.35,2.35,2.35,0.0,11750.0
2003-09-12 00:00:00,2.5,2.5,2.49,2.5,0.0,16749.0
2003-09-15 00:00:00,2.5,2.5,2.5,2.5,0.0,12500.0
2003-09-18 00:00:00,2.5,2.5,2.5,2.5,0.0,2500.0
2003-09-30 00:00:00,2.5,2.5,2.5,2.5,0.0,43000.0
2003-10-01 00:00:00,2.5,2.5,2.5,2.5,0.0,9250.0
2003-10-03 00:00:00,2.55,2.55,2.55,2.55,0.0,7905.0
2003-10-06 00:00:00,2.51,2.51,2.51,2.51,0.0,2510.0
