Date,Open,High,Low,Close,Variation,Volume
2018-02-26 00:00:00,10.0,10.0,10.0,10.0,0.0,284740.0
2019-10-31 00:00:00,11.0,14.0,11.0,14.0,27.27272727272727,48066.89
2019-11-01 00:00:00,14.0,24.0,12.05,12.05,-13.928571428571423,45136.17
2019-11-04 00:00:00,12.25,16.5,12.05,12.26,0.08163265306122547,20813.61
2019-11-05 00:00:00,16.25,16.28,13.55,13.55,-16.61538461538461,22806.13
2019-11-06 00:00:00,13.5,13.5,11.92,11.92,-11.703703703703706,7487.34
2019-11-07 00:00:00,11.9,11.91,11.07,11.07,-6.974789915966384,641.3
2019-11-08 00:00:00,11.06,11.06,11.03,11.03,-0.2712477396021762,1246.74
2019-11-11 00:00:00,11.53,14.5,11.5,14.5,25.758889852558543,812.54
2019-11-12 00:00:00,14.7,14.7,12.99,13.6,-7.482993197278908,338.02
2019-11-13 00:00:00,14.0,14.0,14.0,14.0,0.0,1680.0
2019-11-14 00:00:00,13.06,15.24,13.03,13.1,0.3062787136294043,801.29
2019-11-18 00:00:00,13.0,13.05,12.99,13.05,0.38461538461538325,312.14
2019-11-19 00:00:00,13.0,13.0,11.5,11.56,-11.076923076923073,4366.88
2019-11-21 00:00:00,11.05,11.15,11.03,11.13,0.7239819004524861,3320.46
2019-11-26 00:00:00,11.25,11.25,11.25,11.25,0.0,213.75
2019-11-27 00:00:00,13.0,14.25,12.2,12.2,-6.153846153846154,3415.47
2019-11-28 00:00:00,12.2,14.39,11.3,14.39,17.950819672131168,1303.03
2019-11-29 00:00:00,14.49,14.49,14.39,14.39,-0.6901311249137287,418.21
2019-12-02 00:00:00,14.35,14.5,13.0,14.03,-2.2299651567944223,1079.95
2019-12-03 00:00:00,13.5,13.5,13.5,13.5,0.0,1579.5
2019-12-04 00:00:00,14.6,14.6,14.6,14.6,0.0,14.6
2019-12-06 00:00:00,14.1,14.1,14.1,14.1,0.0,70.5
2019-12-09 00:00:00,14.0,14.0,11.5,11.72,-16.28571428571428,1911.88
2019-12-10 00:00:00,11.75,12.3,11.51,11.55,-1.7021276595744594,1986.2
2019-12-11 00:00:00,12.13,12.6,11.55,12.6,3.8746908491343657,533.98
2019-12-12 00:00:00,13.95,16.99,12.0,12.1,-13.261648745519716,23239.26
2019-12-16 00:00:00,12.3,12.3,12.1,12.1,-1.6260162601626105,586.8
2019-12-17 00:00:00,12.1,12.1,12.1,12.1,0.0,12.1
2019-12-18 00:00:00,12.1,12.15,12.0,12.0,-0.8264462809917328,9315.6
2019-12-19 00:00:00,13.9,16.0,12.0,12.21,-12.15827338129496,3399.22
2019-12-20 00:00:00,13.79,13.79,13.76,13.76,-0.217548948513413,96.5
2019-12-23 00:00:00,13.5,13.99,13.5,13.5,0.0,865.47
2019-12-26 00:00:00,14.0,14.0,14.0,14.0,0.0,1414.0
2019-12-27 00:00:00,14.0,14.0,12.3,12.3,-12.142857142857133,176.9
2019-12-30 00:00:00,13.8,13.8,13.8,13.8,0.0,41.4
2020-01-02 00:00:00,13.8,13.8,13.8,13.8,0.0,234.6
2020-01-03 00:00:00,13.21,15.4,13.21,13.45,1.8168054504163367,2437.45
2020-01-06 00:00:00,13.45,15.3,13.45,13.5,0.3717472118959231,2072.37
2020-01-07 00:00:00,13.5,13.5,13.5,13.5,0.0,13.5
2020-01-08 00:00:00,13.5,13.5,13.5,13.5,0.0,2376.0
2020-01-10 00:00:00,13.5,13.5,13.5,13.5,0.0,54.0
2020-01-14 00:00:00,13.5,13.5,13.4,13.4,-0.7407407407407418,27831.6
2020-01-15 00:00:00,13.4,13.4,13.4,13.4,0.0,31597.2
2020-01-16 00:00:00,13.4,13.4,13.0,13.0,-2.985074626865669,1057.0
2020-01-17 00:00:00,13.4,13.4,13.0,13.4,0.0,1523.6
2020-01-20 00:00:00,13.4,13.4,13.4,13.4,0.0,2144.0
2020-01-21 00:00:00,13.4,13.4,13.4,13.4,0.0,67.0
2020-01-22 00:00:00,13.4,13.4,13.4,13.4,0.0,13.4
2020-01-23 00:00:00,13.4,13.4,13.4,13.4,0.0,348.4
2020-01-24 00:00:00,13.4,13.4,13.4,13.4,0.0,53.6
2020-01-27 00:00:00,13.4,13.4,13.4,13.4,0.0,53.6
2020-01-28 00:00:00,13.4,13.4,13.4,13.4,0.0,536.0
2020-01-29 00:00:00,13.4,13.4,13.4,13.4,0.0,13.4
2020-01-30 00:00:00,13.4,13.4,13.4,13.4,0.0,40.2
2020-02-03 00:00:00,11.2,11.2,11.2,11.2,0.0,100.8
2020-02-04 00:00:00,11.15,11.15,11.15,11.15,0.0,44.6
2020-02-06 00:00:00,11.5,13.4,11.5,13.4,16.521739130434774,356.2
2020-02-07 00:00:00,13.4,13.4,12.1,12.7,-5.223880597014929,5579.1
2020-02-10 00:00:00,13.3,13.3,13.0,13.0,-2.2556390977443663,52.9
2020-02-11 00:00:00,11.51,11.51,11.51,11.51,0.0,115.1
2020-02-12 00:00:00,13.3,13.4,12.0,12.9,-3.007518796992481,5640.3
2020-02-13 00:00:00,12.9,13.0,12.9,13.0,0.7751937984496138,129.4
2020-02-14 00:00:00,13.4,13.4,13.35,13.35,-0.3731343283582156,66.8
2020-02-17 00:00:00,13.4,13.4,12.5,12.5,-6.716417910447758,413.5
2020-02-18 00:00:00,12.5,13.4,12.5,13.4,7.200000000000006,51.8
2020-02-19 00:00:00,13.4,13.4,12.0,12.0,-10.447761194029848,254.0
2020-02-20 00:00:00,12.5,13.4,12.5,13.0,4.0000000000000036,4115.3
2020-02-21 00:00:00,13.4,13.4,13.0,13.0,-2.985074626865669,858.8
2020-02-26 00:00:00,13.0,13.0,13.0,13.0,0.0,65.0
2020-02-28 00:00:00,11.55,11.55,11.55,11.55,0.0,57.75
2020-03-02 00:00:00,11.5,11.5,11.5,11.5,0.0,34.5
2020-03-04 00:00:00,12.0,12.0,12.0,12.0,0.0,1116.0
2020-03-05 00:00:00,12.0,12.0,12.0,12.0,0.0,2400.0
2020-03-06 00:00:00,11.99,12.0,11.5,11.5,-4.086738949124269,5314.06
2020-03-09 00:00:00,11.51,12.8,11.51,12.7,10.33883579496091,381.21
2020-03-10 00:00:00,13.35,13.35,11.61,11.61,-13.033707865168543,481.8
2020-03-11 00:00:00,13.0,13.0,13.0,13.0,0.0,78.0
2020-03-12 00:00:00,12.5,12.5,11.39,11.39,-8.879999999999999,3800.78
2020-03-13 00:00:00,13.35,13.35,13.3,13.3,-0.3745318352059823,53.25
2020-03-16 00:00:00,12.5,12.5,11.15,11.3,-9.599999999999998,71.25
2020-03-17 00:00:00,13.0,13.0,12.5,12.5,-3.8461538461538436,213.0
2020-03-18 00:00:00,11.05,12.5,11.05,12.5,13.122171945701355,2389.7
2020-03-19 00:00:00,12.32,12.32,12.32,12.32,0.0,24.64
2020-03-20 00:00:00,12.35,12.35,12.35,12.35,0.0,12.35
2020-03-24 00:00:00,11.45,11.45,11.05,11.05,-3.4934497816593746,3102.15
2020-03-26 00:00:00,11.12,11.12,11.05,11.05,-0.6294964028776828,110.78
2020-03-30 00:00:00,10.05,10.05,10.05,10.05,0.0,30.15
2020-04-01 00:00:00,10.06,10.06,10.06,10.06,0.0,623.72
2020-04-03 00:00:00,10.5,10.75,10.5,10.75,2.3809523809523725,236.0
2020-04-06 00:00:00,12.12,12.12,12.12,12.12,0.0,375.72
2020-04-07 00:00:00,12.2,12.2,12.2,12.2,0.0,280.6
2020-04-08 00:00:00,12.5,12.5,11.0,11.0,-12.0,980.0
2020-04-09 00:00:00,12.5,12.5,12.5,12.5,0.0,112.5
2020-04-13 00:00:00,12.5,12.5,12.5,12.5,0.0,125.0
2020-04-15 00:00:00,11.99,11.99,11.99,11.99,0.0,743.38
