Date,Open,High,Low,Close,Variation,Volume
2002-04-12 00:00:00,1.2,1.2,1.2,1.2,0.0,3600.0
2002-07-17 00:00:00,1.3,1.3,1.3,1.3,0.0,2600.0
2002-03-27 00:00:00,1.11,1.11,1.11,1.11,0.0,1110.0
2003-01-10 00:00:00,1.3,1.3,1.3,1.3,0.0,29900.0
2003-05-30 00:00:00,2.17,2.5,2.17,2.5,15.207373271889413,4670.0
2003-06-05 00:00:00,3.0,3.0,3.0,3.0,0.0,3000.0
2003-01-22 00:00:00,1.3,1.3,1.3,1.3,0.0,5200.0
2003-07-01 00:00:00,3.0,3.0,3.0,3.0,0.0,3000.0
2003-07-02 00:00:00,3.21,3.21,3.21,3.21,0.0,51360.0
2003-07-04 00:00:00,3.2,3.2,3.2,3.2,0.0,3200.0
2003-07-25 00:00:00,3.2,3.25,3.2,3.25,1.5625,16200.0
2003-07-30 00:00:00,3.25,3.25,3.25,3.25,0.0,3250.0
2003-08-01 00:00:00,3.25,3.25,3.25,3.25,0.0,3250.0
2003-08-04 00:00:00,3.25,3.25,3.25,3.25,0.0,3250.0
2003-08-05 00:00:00,3.25,3.25,3.25,3.25,0.0,3250.0
2003-10-01 00:00:00,3.4,3.41,3.4,3.41,0.2941176470588225,44310.0
2003-11-03 00:00:00,3.5,3.5,3.5,3.5,0.0,3500.0
2004-04-16 00:00:00,3.62,3.62,3.62,3.62,0.0,3620.0
2004-07-14 00:00:00,3.81,3.81,3.81,3.81,0.0,7620.0
2004-07-20 00:00:00,4.4,4.4,4.4,4.4,0.0,8800.0
2004-09-10 00:00:00,4.41,4.41,4.41,4.41,0.0,4410.0
2004-12-29 00:00:00,4.62,4.62,4.62,4.62,0.0,50820.0
2004-10-13 00:00:00,4.6,4.6,4.6,4.6,0.0,4600.0
2005-02-01 00:00:00,4.7,4.7,4.7,4.7,0.0,9400.0
2005-03-04 00:00:00,4.72,4.72,4.72,4.72,0.0,4720.0
2005-05-27 00:00:00,4.7,4.7,4.7,4.7,0.0,9400.0
2005-06-27 00:00:00,5.3,5.3,5.3,5.3,0.0,74200.0
2005-06-28 00:00:00,5.0,5.0,5.0,5.0,0.0,35000.0
2005-08-04 00:00:00,5.0,5.0,5.0,5.0,0.0,50000.0
2005-10-31 00:00:00,3.7,3.7,3.7,3.7,0.0,14800.0
2005-11-28 00:00:00,3.5,3.5,3.5,3.5,0.0,7000.0
2005-12-02 00:00:00,3.5,3.5,3.5,3.5,0.0,14000.0
2005-12-21 00:00:00,3.8,3.8,3.8,3.8,0.0,22800.0
2005-12-26 00:00:00,3.9,3.9,3.9,3.9,0.0,3900.0
2006-03-17 00:00:00,4.0,4.0,4.0,4.0,0.0,16000.0
2006-03-21 00:00:00,4.0,4.0,4.0,4.0,0.0,8000.0
2006-05-10 00:00:00,5.6,5.6,5.6,5.6,0.0,16800.0
2006-10-27 00:00:00,5.47,5.47,5.47,5.47,0.0,5470.0
2006-11-07 00:00:00,6.0,6.0,6.0,6.0,0.0,18000.0
2006-12-05 00:00:00,6.0,6.0,6.0,6.0,0.0,18000.0
2006-12-19 00:00:00,8.0,8.0,8.0,8.0,0.0,8000.0
2007-01-08 00:00:00,6.4,6.6,6.4,6.6,3.124999999999978,19400.0
2007-01-10 00:00:00,6.0,6.0,6.0,6.0,0.0,1800.0
2007-01-11 00:00:00,6.6,7.99,6.6,7.99,21.06060606060607,3057.0
2007-01-15 00:00:00,7.99,7.99,7.99,7.99,0.0,10387.0
2007-01-18 00:00:00,8.0,8.0,8.0,8.0,0.0,4800.0
2007-01-30 00:00:00,8.0,8.0,8.0,8.0,0.0,4800.0
2007-02-05 00:00:00,7.95,7.95,7.95,7.95,0.0,16695.0
2007-02-06 00:00:00,7.98,7.98,7.98,7.98,0.0,4788.0
2007-02-12 00:00:00,8.5,9.0,8.5,9.0,5.882352941176472,4350.0
2007-02-13 00:00:00,8.99,9.0,8.99,9.0,0.11123470522802492,7194.0
2007-02-14 00:00:00,7.0,8.0,7.0,8.0,14.28571428571428,1500.0
2007-02-22 00:00:00,8.0,8.0,8.0,8.0,0.0,2400.0
2007-02-26 00:00:00,8.1,8.1,8.1,8.1,0.0,4860.0
2007-02-28 00:00:00,8.5,8.5,8.5,8.5,0.0,850.0
2007-03-01 00:00:00,8.0,8.0,8.0,8.0,0.0,800.0
2007-03-02 00:00:00,6.8,6.8,6.8,6.8,0.0,8160.0
2007-03-05 00:00:00,7.3,7.3,7.3,7.3,0.0,8760.0
2007-03-06 00:00:00,8.0,8.0,8.0,8.0,0.0,800.0
2007-03-07 00:00:00,8.0,8.0,8.0,8.0,0.0,800.0
2007-03-16 00:00:00,7.95,7.95,7.95,7.95,0.0,9540.0
2007-03-20 00:00:00,7.9,8.0,7.9,8.0,1.2658227848101111,7980.0
2007-04-02 00:00:00,8.0,8.0,8.0,8.0,0.0,4800.0
2007-04-20 00:00:00,7.55,7.55,7.55,7.55,0.0,1510.0
2007-04-24 00:00:00,7.5,7.5,6.71,6.71,-10.533333333333339,5515.0
2007-04-25 00:00:00,7.98,7.98,7.98,7.98,0.0,798.0
2007-04-27 00:00:00,7.2,7.2,7.15,7.16,-0.5555555555555536,2871.0
2007-05-03 00:00:00,7.21,7.21,7.21,7.21,0.0,9373.0
2007-05-08 00:00:00,7.3,7.3,7.3,7.3,0.0,730.0
2007-05-09 00:00:00,7.5,7.94,7.5,7.94,5.8666666666666645,1544.0
2007-05-17 00:00:00,7.8,7.8,7.8,7.8,0.0,780.0
2007-06-01 00:00:00,7.85,7.9,7.85,7.9,0.6369426751592355,1575.0
2007-06-05 00:00:00,8.0,8.0,8.0,8.0,0.0,4800.0
2007-06-06 00:00:00,8.5,8.5,8.5,8.5,0.0,850.0
2007-06-13 00:00:00,8.0,8.0,8.0,8.0,0.0,800.0
2007-06-15 00:00:00,8.0,8.0,8.0,8.0,0.0,5600.0
2007-06-18 00:00:00,8.2,8.2,8.2,8.2,0.0,820.0
2007-06-19 00:00:00,8.0,8.0,8.0,8.0,0.0,1600.0
2007-07-05 00:00:00,8.0,8.19,8.0,8.19,2.374999999999994,1619.0
2007-07-06 00:00:00,8.0,8.0,8.0,8.0,0.0,800.0
2007-07-10 00:00:00,8.0,8.0,7.9,7.9,-1.2499999999999956,43480.0
2007-08-07 00:00:00,7.5,7.5,7.5,7.5,0.0,750.0
2007-08-08 00:00:00,7.75,7.89,7.75,7.82,0.903225806451613,10164.0
2007-08-27 00:00:00,7.7,7.7,7.7,7.7,0.0,770.0
2007-09-05 00:00:00,10.2,10.2,10.2,10.2,0.0,12240.0
2007-09-06 00:00:00,12.0,12.0,12.0,12.0,0.0,12000.0
2007-09-10 00:00:00,13.19,13.19,13.19,13.19,0.0,1319.0
2007-09-18 00:00:00,13.2,13.2,13.2,13.2,0.0,1320.0
2007-09-27 00:00:00,12.0,12.0,12.0,12.0,0.0,2400.0
2007-09-28 00:00:00,19.99,19.99,19.99,19.99,0.0,1999.0
2007-10-01 00:00:00,21.98,21.98,21.98,21.98,0.0,8792.0
2007-10-02 00:00:00,23.0,23.0,23.0,23.0,0.0,2300.0
2007-10-03 00:00:00,23.0,23.0,23.0,23.0,0.0,13800.0
2007-10-04 00:00:00,23.0,23.0,23.0,23.0,0.0,4600.0
2007-10-05 00:00:00,23.0,23.0,23.0,23.0,0.0,2300.0
2007-10-17 00:00:00,23.0,23.0,23.0,23.0,0.0,4600.0
2007-10-30 00:00:00,22.89,22.89,22.89,22.89,0.0,2289.0
