Date,Open,High,Low,Close,Variation,Volume
1998-03-16 00:00:00,7.2,7.2,7.2,7.2,0.0,7200.0
1998-04-01 00:00:00,6.01,6.01,6.0,6.0,-0.16638935108153063,1201.0
1998-04-03 00:00:00,6.49,6.9,6.0,6.9,6.317411402157158,3739.0
1998-04-06 00:00:00,6.5,6.9,6.5,6.9,6.153846153846154,1990.0
1998-04-07 00:00:00,6.99,7.2,6.99,7.0,0.14306151645206988,98630.0
1998-04-16 00:00:00,7.0,7.0,7.0,7.0,0.0,700.0
1998-04-17 00:00:00,7.0,7.0,7.0,7.0,0.0,2100.0
1998-04-22 00:00:00,7.5,7.5,7.5,7.5,0.0,81000.0
1998-04-23 00:00:00,7.5,7.5,7.5,7.5,0.0,41250.0
1998-04-29 00:00:00,7.5,7.5,7.5,7.5,0.0,3750.0
1998-05-05 00:00:00,7.49,7.5,7.49,7.5,0.1335113484646211,33745.0
1998-05-06 00:00:00,7.1,7.1,7.0,7.0,-1.4084507042253502,14720.0
1998-05-07 00:00:00,7.0,7.0,7.0,7.0,0.0,4200.0
1998-05-08 00:00:00,7.0,7.1,7.0,7.1,1.4285714285714235,2110.0
1998-05-12 00:00:00,7.0,7.0,7.0,7.0,0.0,35000.0
1998-05-21 00:00:00,6.91,6.91,6.91,6.91,0.0,2764.0
1998-05-22 00:00:00,6.91,6.91,6.91,6.91,0.0,1382.0
1998-06-02 00:00:00,7.0,7.0,7.0,7.0,0.0,2100.0
1998-06-25 00:00:00,6.8,6.8,6.8,6.8,0.0,680.0
1998-07-02 00:00:00,6.4,6.4,6.4,6.4,0.0,1920.0
1998-07-06 00:00:00,6.3,6.3,6.3,6.3,0.0,1890.0
1998-07-17 00:00:00,6.0,6.0,6.0,6.0,0.0,600.0
1998-07-23 00:00:00,5.99,5.99,5.99,5.99,0.0,599.0
1998-08-05 00:00:00,5.99,6.0,5.99,5.99,0.0,46124.0
1998-08-06 00:00:00,5.7,5.7,5.7,5.7,0.0,1710.0
1998-08-07 00:00:00,5.7,5.7,5.7,5.7,0.0,11400.0
1998-08-10 00:00:00,5.5,5.5,5.5,5.5,0.0,2200.0
1998-08-12 00:00:00,5.0,5.01,5.0,5.0,0.0,25010.0
1998-08-21 00:00:00,5.03,5.03,4.8,5.0,-0.5964214711729698,35830.0
1998-08-24 00:00:00,5.0,5.0,5.0,5.0,0.0,19000.0
1998-08-25 00:00:00,5.0,5.0,5.0,5.0,0.0,30000.0
1998-08-26 00:00:00,4.41,4.41,4.41,4.41,0.0,882.0
1998-08-27 00:00:00,4.5,4.5,4.5,4.5,0.0,13500.0
1998-08-28 00:00:00,4.51,4.51,4.38,4.39,-2.6607538802660757,97433.0
1998-08-31 00:00:00,5.0,5.0,5.0,5.0,0.0,500.0
1998-09-22 00:00:00,4.5,4.5,4.5,4.5,0.0,450.0
1998-09-25 00:00:00,4.5,4.5,4.5,4.5,0.0,7200.0
