Date,Open,High,Low,Close,Variation,Volume
2006-06-21 00:00:00,22.5,22.5,22.5,22.5,0.0,22500.0
2006-06-22 00:00:00,22.5,24.5,22.5,24.5,8.888888888888879,95950.0
2006-06-23 00:00:00,24.0,26.0,24.0,26.0,8.333333333333325,74000.0
2006-06-26 00:00:00,28.0,28.0,28.0,28.0,0.0,28000.0
2006-06-27 00:00:00,29.0,30.5,29.0,30.5,5.1724137931034475,33400.0
2006-06-28 00:00:00,33.0,33.0,33.0,33.0,0.0,33000.0
2006-06-29 00:00:00,32.99,32.99,20.0,21.5,-34.828735980600186,294357.0
2006-06-30 00:00:00,21.99,24.7,21.99,23.0,4.5929968167348845,110639.0
2006-07-03 00:00:00,24.0,24.2,24.0,24.2,0.8333333333333304,4820.0
2006-07-07 00:00:00,23.5,23.5,23.5,23.5,0.0,2350.0
2006-07-13 00:00:00,24.2,24.2,24.2,24.2,0.0,4840.0
2006-07-14 00:00:00,24.0,24.0,24.0,24.0,0.0,2400.0
2006-07-17 00:00:00,24.0,24.0,24.0,24.0,0.0,4800.0
2006-07-18 00:00:00,24.0,24.0,24.0,24.0,0.0,2400.0
2006-07-20 00:00:00,24.2,24.2,23.0,23.0,-4.958677685950407,9419.0
2006-07-21 00:00:00,23.8,23.8,23.0,23.0,-3.361344537815125,14040.0
2006-07-25 00:00:00,23.45,23.5,23.45,23.5,0.2132196162046851,7040.0
2006-07-26 00:00:00,4.9,5.0,4.9,4.9,0.0,5935.0
2006-07-28 00:00:00,4.7,4.79,4.5,4.5,-4.255319148936176,2343.0
2006-07-31 00:00:00,4.89,4.89,4.7,4.7,-3.885480572597122,1448.0
2006-08-02 00:00:00,4.8,4.8,4.8,4.8,0.0,9120.0
2006-08-03 00:00:00,4.8,5.0,4.8,5.0,4.166666666666674,12692.0
2006-08-04 00:00:00,5.2,5.2,5.2,5.2,0.0,1040.0
2006-08-09 00:00:00,5.1,6.0,5.1,6.0,17.647058823529417,5970.0
2006-08-10 00:00:00,6.0,6.0,6.0,6.0,0.0,1200.0
2006-08-22 00:00:00,5.94,5.94,4.51,4.51,-24.07407407407408,27567.0
2006-08-23 00:00:00,5.0,5.0,5.0,5.0,0.0,1000.0
2006-08-24 00:00:00,4.85,4.99,4.85,4.99,2.886597938144342,2924.0
2006-08-28 00:00:00,4.5,4.8,4.5,4.8,6.666666666666665,3660.0
2006-08-29 00:00:00,4.8,4.8,4.8,4.8,0.0,960.0
2006-08-31 00:00:00,4.79,4.8,4.6,4.75,-0.8350730688935326,3289.0
2006-09-05 00:00:00,4.75,4.79,4.75,4.79,0.8421052631578885,954.0
2006-09-06 00:00:00,4.8,4.8,4.5,4.5,-6.25,5460.0
2006-09-08 00:00:00,4.45,4.45,4.45,4.45,0.0,445.0
2006-09-11 00:00:00,4.45,4.45,4.4,4.4,-1.1235955056179692,1770.0
2006-09-12 00:00:00,4.45,4.45,4.45,4.45,0.0,1780.0
2006-09-13 00:00:00,4.45,4.66,4.45,4.66,4.719101123595504,1361.0
2006-09-14 00:00:00,4.75,4.75,4.75,4.75,0.0,950.0
2006-09-15 00:00:00,4.5,4.5,4.5,4.5,0.0,450.0
2006-09-18 00:00:00,4.04,4.48,4.04,4.48,10.8910891089109,11440.0
2006-09-19 00:00:00,4.5,4.5,4.2,4.45,-1.1111111111111072,3890.0
