Date,Open,High,Low,Close,Variation,Volume
2020-01-24 00:00:00,103.5,107.0,103.3,105.0,1.449275362318847,1819985.05
2020-01-27 00:00:00,104.03,104.03,104.03,104.03,0.0,1040.3
2020-01-28 00:00:00,109.89,109.9,104.01,104.05,-5.314405314405313,984929.83
2020-01-29 00:00:00,104.5,104.5,104.5,104.5,0.0,492195.0
2020-01-31 00:00:00,106.98,107.99,105.0,105.0,-1.850813236118909,204352.79
2020-02-04 00:00:00,119.99,119.99,102.01,102.01,-14.984582048504036,222.0
2020-02-06 00:00:00,102.69,102.69,100.15,100.15,-2.4734638231570627,162524.64
2020-02-12 00:00:00,102.0,103.0,102.0,103.0,0.9803921568627416,11024.0
2020-02-14 00:00:00,100.15,100.15,100.15,100.15,0.0,100.15
2020-02-17 00:00:00,103.0,103.0,100.16,100.5,-2.4271844660194164,48663.43
2020-02-18 00:00:00,101.0,101.0,95.67,100.2,-0.7920792079207928,4589.14
2020-02-19 00:00:00,100.2,100.2,100.2,100.2,0.0,6513.0
2020-02-21 00:00:00,100.1,100.75,100.05,100.5,0.3996003996004083,30042.63
2020-02-26 00:00:00,98.0,98.0,95.12,95.12,-2.9387755102040725,1441.2
2020-02-27 00:00:00,95.12,95.12,95.12,95.12,0.0,380.48
2020-02-28 00:00:00,99.5,100.5,99.5,100.5,1.005025125628145,40610.55
2020-03-02 00:00:00,100.09,100.1,100.09,100.1,0.009991008092713471,5905.86
2020-03-04 00:00:00,98.5,99.5,98.5,99.5,1.0152284263959421,1778.0
2020-03-05 00:00:00,98.0,98.1,98.0,98.1,0.10204081632652073,2452.0
2020-03-09 00:00:00,98.0,98.0,98.0,98.0,0.0,490.0
2020-03-18 00:00:00,97.8,97.8,97.8,97.8,0.0,195.6
2020-03-25 00:00:00,97.8,97.8,97.8,97.8,0.0,293.4
