Date,Open,High,Low,Close,Variation,Volume
2006-06-23 00:00:00,1.05,1.05,1.05,1.05,0.0,105.0
2006-06-26 00:00:00,1.0,1.0,1.0,1.0,0.0,1100.0
2006-06-29 00:00:00,0.87,0.87,0.87,0.87,0.0,609.0
2006-06-30 00:00:00,0.88,0.88,0.86,0.86,-2.2727272727272707,2349.0
2006-07-03 00:00:00,0.85,0.85,0.85,0.85,0.0,8500.0
2006-07-04 00:00:00,0.85,0.85,0.8,0.85,0.0,16036.0
2006-07-05 00:00:00,0.85,0.85,0.85,0.85,0.0,7140.0
2006-07-06 00:00:00,0.86,0.9,0.85,0.85,-1.1627906976744207,9975.0
2006-07-10 00:00:00,0.85,0.89,0.85,0.89,4.705882352941182,2760.0
2006-07-12 00:00:00,0.9,0.9,0.9,0.9,0.0,900.0
2006-07-13 00:00:00,0.9,0.9,0.9,0.9,0.0,90.0
2006-07-14 00:00:00,0.85,0.85,0.85,0.85,0.0,3570.0
2006-07-18 00:00:00,0.9,0.94,0.9,0.94,4.444444444444429,3064.0
2006-07-26 00:00:00,0.81,0.87,0.81,0.83,2.4691358024691246,12422.0
2006-07-27 00:00:00,0.85,0.87,0.85,0.85,0.0,9465.0
2006-07-28 00:00:00,0.85,0.85,0.85,0.85,0.0,2720.0
2006-07-31 00:00:00,1.0,1.0,1.0,1.0,0.0,100.0
2006-08-01 00:00:00,1.04,1.04,1.0,1.0,-3.8461538461538547,304.0
2006-08-03 00:00:00,0.98,1.0,0.9,0.98,0.0,4363.0
2006-08-07 00:00:00,0.91,0.91,0.91,0.91,0.0,3913.0
2006-08-08 00:00:00,0.91,0.95,0.91,0.95,4.39560439560438,376.0
2006-08-09 00:00:00,1.0,1.0,0.95,1.0,0.0,5645.0
2006-08-10 00:00:00,1.0,1.0,1.0,1.0,0.0,2700.0
2006-08-11 00:00:00,1.0,1.01,1.0,1.01,1.0000000000000009,6045.0
2006-08-14 00:00:00,0.96,0.96,0.96,0.96,0.0,480.0
2006-08-15 00:00:00,1.08,1.08,1.08,1.08,0.0,108.0
