Date,Open,High,Low,Close,Adj Close,Volume
2018-01-04,119.989998,119.989998,98.129997,100.900002,100.900002,2712
2018-01-05,100.000000,100.099998,98.029999,98.809998,98.809998,3881
2018-01-08,100.000000,100.150002,99.989998,100.150002,100.150002,498
2018-01-09,100.790001,100.800003,99.650002,99.650002,99.650002,595
2018-01-10,100.000000,100.000000,99.000000,99.099998,99.099998,657
2018-01-11,99.099998,100.279999,99.010002,99.010002,99.010002,1157
2018-01-12,100.980003,100.980003,99.300003,99.400002,99.400002,118
2018-01-15,100.000000,100.220001,99.000000,99.989998,99.989998,2013
2018-01-16,99.989998,101.000000,98.040001,101.000000,101.000000,1242
2018-01-17,101.000000,101.000000,100.000000,100.000000,100.000000,11
2018-01-18,99.320000,100.000000,98.250000,99.000000,99.000000,893
2018-01-19,99.160004,100.099998,98.940002,100.099998,100.099998,464
2018-01-22,100.440002,100.989998,99.010002,100.000000,100.000000,8379
2018-01-23,100.000000,100.000000,99.209999,99.989998,99.989998,2281
2018-01-24,100.889999,100.889999,97.510002,99.860001,99.860001,7396
2018-01-25,99.860001,99.860001,99.860001,99.860001,99.860001,0
2018-01-26,100.790001,100.790001,100.029999,100.500000,100.500000,2461
2018-01-29,100.800003,100.900002,100.000000,100.889999,100.889999,7899
2018-01-30,100.839996,100.900002,100.040001,100.699997,100.699997,1786
2018-01-31,100.699997,100.900002,99.919998,100.900002,100.900002,2869
2018-02-01,100.889999,100.900002,100.099998,100.900002,100.900002,5350
2018-02-02,100.889999,100.940002,100.309998,100.889999,100.889999,4790
2018-02-05,100.800003,100.940002,100.500000,100.879997,100.879997,4527
2018-02-06,100.879997,101.000000,100.879997,101.000000,101.000000,4354
2018-02-07,101.099998,101.500000,100.889999,101.500000,101.500000,4907
2018-02-08,101.800003,101.800003,101.489998,101.690002,101.690002,2587
2018-02-09,101.690002,105.000000,101.690002,104.820000,104.820000,12462
2018-02-14,null,null,null,null,null,null
2018-02-15,104.849998,104.989998,103.599998,103.750000,103.750000,8817
2018-02-16,104.199997,104.199997,103.500000,103.519997,103.519997,3923
2018-02-19,104.989998,104.989998,102.000000,103.000000,103.000000,9484
2018-02-20,103.970001,103.970001,102.000000,102.239998,102.239998,5391
2018-02-21,102.019997,103.029999,102.019997,103.000000,103.000000,2148
2018-02-22,103.459999,103.459999,102.769997,102.900002,102.900002,44165
2018-02-23,102.900002,102.900002,101.989998,101.989998,101.989998,43093
2018-02-26,102.500000,102.500000,101.510002,102.400002,102.400002,4533
2018-02-27,102.400002,102.400002,101.519997,101.620003,101.620003,3694
2018-02-28,103.139999,103.139999,101.110001,101.910004,101.910004,3550
2018-03-01,101.900002,102.199997,101.650002,101.650002,101.650002,3112
2018-03-02,101.900002,102.370003,101.500000,102.199997,102.199997,1345
2018-03-05,102.099998,102.099998,101.470001,101.470001,101.470001,4170
2018-03-06,101.510002,102.290001,101.510002,101.989998,101.989998,608
2018-03-07,102.000000,102.000000,101.599998,101.889999,101.889999,1313
2018-03-08,101.989998,101.989998,101.000000,101.120003,101.120003,1860
2018-03-09,101.209999,102.150002,101.209999,101.349998,101.349998,1694
2018-03-12,102.199997,105.000000,101.400002,104.500000,104.500000,1655
2018-03-13,102.989998,103.000000,101.809998,101.910004,101.910004,2158
2018-03-14,101.919998,103.000000,101.660004,103.000000,103.000000,1537
2018-03-15,102.500000,102.589996,102.309998,102.500000,102.500000,703
2018-03-16,102.580002,102.800003,102.000000,102.800003,102.800003,1443
2018-03-19,103.000000,103.489998,102.589996,102.900002,102.900002,3359
2018-03-20,102.989998,103.290001,101.800003,102.150002,102.150002,5602
2018-03-21,102.989998,103.940002,101.910004,101.919998,101.919998,7656
2018-03-22,103.000000,103.290001,102.000000,102.500000,102.500000,1204
2018-03-23,103.000000,103.089996,102.000000,102.160004,102.160004,1458
2018-03-26,102.900002,103.040001,102.260002,102.989998,102.989998,1967
2018-03-27,102.980003,103.500000,102.500000,102.500000,102.500000,2121
2018-03-28,102.599998,103.300003,102.500000,102.779999,102.779999,3907
2018-03-29,103.489998,104.000000,103.000000,103.769997,103.769997,3902
2018-04-02,103.690002,104.099998,103.110001,103.500000,103.500000,6443
2018-04-03,103.889999,104.000000,103.410004,104.000000,104.000000,5451
2018-04-04,103.779999,103.779999,102.809998,102.900002,102.900002,5437
2018-04-05,103.180000,103.489998,101.919998,101.919998,101.919998,5157
2018-04-06,102.989998,103.099998,102.019997,102.410004,102.410004,1365
2018-04-09,102.459999,102.940002,102.000000,102.029999,102.029999,3293
2018-04-10,102.199997,102.930000,101.800003,102.260002,102.260002,4109
2018-04-11,102.690002,102.940002,102.260002,102.919998,102.919998,934
2018-04-12,102.910004,102.910004,102.300003,102.300003,102.300003,2904
2018-04-13,102.500000,102.879997,102.430000,102.669998,102.669998,2017
2018-04-16,102.470001,102.900002,102.300003,102.900002,102.900002,2477
2018-04-17,102.800003,102.900002,102.500000,102.500000,102.500000,1490
2018-04-18,102.510002,102.870003,102.199997,102.500000,102.500000,1519
2018-04-19,101.550003,102.550003,101.089996,102.290001,102.290001,2002
2018-04-20,102.279999,102.279999,101.230003,101.300003,101.300003,1592
2018-04-23,101.320000,102.150002,101.010002,101.110001,101.110001,4585
2018-04-24,101.489998,101.699997,101.000000,101.080002,101.080002,2084
2018-04-25,101.449997,101.449997,101.000000,101.440002,101.440002,1612
2018-04-26,101.690002,101.690002,98.070000,100.330002,100.330002,1637
2018-04-27,101.470001,101.690002,100.599998,100.860001,100.860001,1399
2018-04-30,101.690002,101.690002,101.120003,101.500000,101.500000,1172
2018-05-02,101.690002,101.690002,101.489998,101.690002,101.690002,1645
2018-05-03,101.690002,101.690002,101.010002,101.629997,101.629997,1824
2018-05-04,101.660004,101.660004,101.000000,101.029999,101.029999,3076
2018-05-07,101.480003,101.480003,100.370003,100.529999,100.529999,3846
2018-05-08,100.610001,101.089996,99.500000,100.889999,100.889999,3596
2018-05-09,100.879997,101.599998,100.680000,101.599998,101.599998,2929
2018-05-10,101.000000,101.000000,100.349998,100.989998,100.989998,4229
2018-05-11,101.000000,101.500000,100.540001,100.540001,100.540001,2165
2018-05-14,100.989998,100.989998,99.510002,100.790001,100.790001,2448
2018-05-15,101.410004,101.410004,99.510002,99.510002,99.510002,4717
2018-05-16,100.500000,100.870003,97.010002,100.860001,100.860001,4427
2018-05-17,100.779999,100.779999,97.510002,98.099998,98.099998,3354
2018-05-18,100.639999,100.639999,98.500000,99.360001,99.360001,1080
2018-05-21,99.980003,100.000000,96.500000,96.500000,96.500000,2373
2018-05-22,97.070000,99.849998,97.029999,97.120003,97.120003,1002
2018-05-23,98.000000,98.220001,97.120003,97.120003,97.120003,1165
2018-05-24,97.169998,97.169998,95.989998,95.989998,95.989998,1986
2018-05-25,96.889999,96.889999,93.690002,95.750000,95.750000,2872
2018-05-28,95.750000,95.750000,93.000000,93.199997,93.199997,1970
2018-05-29,93.209999,97.500000,93.209999,94.500000,94.500000,1216
2018-05-30,97.000000,98.970001,94.519997,94.519997,94.519997,992
2018-06-01,94.519997,94.519997,94.519997,94.519997,94.519997,0
2018-06-04,96.610001,98.440002,96.040001,98.410004,98.410004,711
2018-06-05,97.989998,100.000000,97.510002,99.949997,99.949997,1172
2018-06-06,99.889999,99.889999,97.900002,98.500000,98.500000,725
2018-06-07,98.500000,98.500000,94.550003,94.550003,94.550003,2175
2018-06-08,96.000000,96.000000,94.559998,95.970001,95.970001,463
2018-06-11,97.000000,97.000000,94.519997,94.519997,94.519997,1329
2018-06-12,96.989998,96.989998,93.500000,93.540001,93.540001,1490
2018-06-13,95.980003,95.980003,88.500000,93.790001,93.790001,874
2018-06-14,94.000000,95.959999,94.000000,94.000000,94.000000,219
2018-06-15,94.199997,94.199997,91.129997,93.849998,93.849998,360
2018-06-18,93.849998,94.989998,92.900002,93.599998,93.599998,216
2018-06-19,92.000000,92.970001,90.500000,92.000000,92.000000,1888
2018-06-20,93.480003,94.500000,93.019997,93.900002,93.900002,412
2018-06-21,93.900002,96.250000,92.500000,95.970001,95.970001,804
2018-06-22,95.000000,95.959999,92.849998,92.849998,92.849998,790
2018-06-25,94.980003,95.589996,93.250000,93.250000,93.250000,1221
2018-06-26,94.980003,94.980003,92.620003,92.620003,92.620003,305
2018-06-27,94.989998,95.059998,91.000000,94.980003,94.980003,2076
2018-06-28,94.949997,96.500000,93.000000,94.500000,94.500000,1368
2018-06-29,96.500000,97.000000,92.500000,92.500000,92.500000,893
2018-07-02,92.540001,96.790001,92.540001,93.199997,93.199997,400
2018-07-03,94.000000,94.000000,91.510002,92.000000,92.000000,3118
2018-07-04,92.440002,93.500000,91.699997,93.400002,93.400002,307
2018-07-05,92.500000,95.000000,91.809998,95.000000,95.000000,825
2018-07-06,95.000000,95.000000,93.019997,95.000000,95.000000,577
2018-07-10,94.989998,95.010002,94.699997,94.910004,94.910004,273
2018-07-11,94.900002,94.900002,92.160004,93.199997,93.199997,3042
2018-07-12,94.690002,94.690002,93.800003,94.000000,94.000000,1720
2018-07-13,94.699997,94.989998,93.500000,93.500000,93.500000,5598
2018-07-16,94.500000,95.300003,94.000000,94.000000,94.000000,572
2018-07-17,94.690002,94.690002,94.000000,94.500000,94.500000,2259
2018-07-18,94.250000,94.489998,92.160004,92.510002,92.510002,3401
2018-07-19,92.559998,93.889999,92.099998,92.099998,92.099998,2143
2018-07-20,92.900002,93.389999,92.000000,92.650002,92.650002,943
2018-07-23,93.389999,93.400002,92.980003,92.980003,92.980003,567
2018-07-24,93.370003,93.820000,92.830002,93.500000,93.500000,914
2018-07-25,93.820000,93.820000,93.010002,93.500000,93.500000,282
2018-07-26,93.820000,94.000000,92.599998,92.800003,92.800003,676
2018-07-27,93.290001,94.000000,93.010002,93.989998,93.989998,391
2018-07-30,93.989998,94.000000,93.260002,94.000000,94.000000,939
2018-07-31,94.000000,94.000000,93.500000,94.000000,94.000000,1913
2018-08-01,93.989998,93.989998,91.889999,92.300003,92.300003,2738
2018-08-02,93.389999,93.389999,92.190002,92.300003,92.300003,1270
2018-08-03,92.300003,92.980003,92.050003,92.290001,92.290001,2402
2018-08-06,93.050003,94.000000,92.620003,94.000000,94.000000,1149
2018-08-07,93.970001,94.000000,93.750000,93.800003,93.800003,1010
2018-08-08,93.989998,94.300003,93.070000,93.500000,93.500000,1607
2018-08-09,93.690002,93.699997,93.059998,93.699997,93.699997,264
2018-08-10,93.690002,93.690002,91.800003,91.800003,91.800003,2787
2018-08-13,92.790001,92.989998,92.050003,92.400002,92.400002,270
2018-08-14,92.879997,92.889999,91.910004,92.739998,92.739998,1960
2018-08-15,93.489998,93.980003,92.529999,93.980003,93.980003,905
2018-08-16,93.889999,93.889999,92.500000,93.889999,93.889999,445
2018-08-17,93.970001,93.970001,93.300003,93.860001,93.860001,1123
2018-08-20,93.519997,93.769997,91.949997,91.949997,91.949997,790
2018-08-21,93.000000,93.000000,92.059998,92.690002,92.690002,393
2018-08-22,92.500000,93.000000,92.489998,93.000000,93.000000,326
2018-08-23,92.760002,92.989998,92.699997,92.980003,92.980003,414
2018-08-24,93.220001,93.320000,92.980003,93.199997,93.199997,549
2018-08-27,93.320000,95.599998,92.250000,92.339996,92.339996,593
2018-08-28,92.500000,93.970001,92.000000,92.000000,92.000000,904
2018-08-29,92.519997,93.150002,92.080002,92.949997,92.949997,471
2018-08-30,92.900002,92.900002,92.010002,92.099998,92.099998,520
2018-08-31,92.209999,92.769997,92.209999,92.769997,92.769997,994
2018-09-03,92.769997,92.769997,92.300003,92.510002,92.510002,969
2018-09-04,92.510002,93.989998,92.199997,92.320000,92.320000,2055
2018-09-05,93.160004,93.199997,92.529999,93.199997,93.199997,231
2018-09-06,92.410004,93.779999,92.400002,92.970001,92.970001,1024
2018-09-10,92.970001,93.459999,92.160004,92.160004,92.160004,231
2018-09-11,92.959999,92.959999,92.209999,92.209999,92.209999,1169
2018-09-12,92.489998,92.489998,92.150002,92.199997,92.199997,771
2018-09-13,92.209999,92.790001,92.199997,92.220001,92.220001,2900
2018-09-14,92.220001,92.500000,91.889999,92.500000,92.500000,1202
2018-09-17,92.489998,92.489998,92.000000,92.250000,92.250000,754
2018-09-18,92.250000,92.489998,92.000000,92.070000,92.070000,1267
2018-09-19,92.160004,92.400002,91.849998,91.849998,91.849998,743
2018-09-20,91.809998,92.599998,91.489998,91.529999,91.529999,2084
2018-09-21,92.099998,92.470001,92.000000,92.459999,92.459999,620
2018-09-24,92.449997,92.449997,90.680000,91.480003,91.480003,1505
2018-09-25,91.470001,92.599998,89.239998,92.599998,92.599998,4433
2018-09-26,91.989998,92.550003,91.199997,92.489998,92.489998,748
2018-09-27,92.489998,92.489998,89.510002,90.639999,90.639999,1817
2018-09-28,91.330002,91.330002,89.510002,89.510002,89.510002,2224
2018-10-01,89.900002,90.949997,89.800003,89.809998,89.809998,934
2018-10-02,89.949997,90.000000,89.550003,89.949997,89.949997,2641
2018-10-03,90.320000,90.379997,89.839996,90.370003,90.370003,1040
2018-10-04,90.349998,90.379997,90.000000,90.379997,90.379997,515
2018-10-05,90.379997,91.500000,90.000000,91.500000,91.500000,2179
2018-10-08,91.500000,92.489998,90.000000,90.000000,90.000000,4519
