Date,Open,High,Low,Close,Adj Close,Volume
2007-11-19,10.250000,10.790000,9.900000,10.000000,8.736596,10256400
2007-11-21,9.930000,9.990000,9.000000,9.480000,8.282291,4429300
2007-11-22,9.520000,9.750000,9.490000,9.500000,8.299766,711700
2007-11-23,9.400000,9.700000,9.120000,9.580000,8.369658,1010000
2007-11-26,9.400000,9.600000,8.810000,9.200000,8.037666,1286400
2007-11-27,9.000000,9.310000,8.600000,9.310000,8.133769,1125800
2007-11-28,9.350000,9.680000,9.200000,9.550000,8.343450,882900
2007-11-29,9.490000,9.600000,9.250000,9.350000,8.168715,592300
2007-11-30,9.300000,9.450000,9.100000,9.300000,8.125035,795500
2007-12-03,9.300000,9.390000,9.250000,9.390000,8.203664,213500
2007-12-04,9.210000,9.400000,9.200000,9.400000,8.212399,719200
2007-12-05,9.280000,9.970000,9.280000,9.800000,8.561864,2608200
2007-12-06,9.800000,10.100000,9.800000,10.050000,8.780279,801100
2007-12-07,10.000000,10.290000,9.710000,9.950000,8.692912,821100
2007-12-10,9.900000,9.990000,9.760000,9.810000,8.570600,209600
2007-12-11,9.850000,10.000000,9.750000,9.940000,8.684175,1010800
2007-12-12,9.810000,9.950000,9.600000,9.600000,8.387131,1154600
2007-12-13,9.520000,9.600000,9.310000,9.590000,8.378394,1433100
2007-12-14,9.550000,9.800000,9.510000,9.750000,8.518180,287900
2007-12-17,9.670000,9.800000,9.500000,9.800000,8.561864,687700
2007-12-18,9.700000,9.990000,9.530000,9.990000,8.727858,1989700
2007-12-19,9.700000,9.900000,9.590000,9.590000,8.378394,89800
2007-12-20,9.520000,9.700000,9.500000,9.500000,8.299766,28300
2007-12-21,9.460000,9.600000,9.400000,9.410000,8.221135,237700
2007-12-26,9.460000,9.500000,9.320000,9.350000,8.168715,76800
2007-12-27,9.320000,9.450000,9.140000,9.150000,7.993984,163300
2007-12-28,9.100000,9.170000,8.900000,8.900000,7.775569,361100
2008-01-02,9.000000,9.150000,8.750000,8.750000,7.673678,135800
2008-01-03,8.900000,8.900000,8.150000,8.150000,7.147483,380900
2008-01-04,8.330000,8.330000,7.300000,7.400000,6.489740,1819800
2008-01-07,7.500000,7.700000,7.310000,7.500000,6.577439,2201900
2008-01-08,7.550000,7.620000,7.250000,7.300000,6.402041,787900
2008-01-09,7.260000,7.450000,7.050000,7.320000,6.419581,659500
2008-01-10,7.500000,8.450000,7.350000,8.420000,7.384272,1038300
2008-01-11,8.300000,9.200000,8.000000,9.090000,7.971857,1087700
2008-01-14,9.000000,9.000000,8.610000,8.900000,7.805228,473600
2008-01-15,8.800000,8.800000,8.400000,8.800000,7.717528,244400
2008-01-16,8.600000,8.850000,8.400000,8.800000,7.717528,763500
2008-01-17,8.600000,8.810000,8.590000,8.730000,7.656138,820100
2008-01-18,8.720000,9.080000,8.720000,9.080000,7.963086,603800
2008-01-21,8.500000,8.500000,8.000000,8.290000,7.270263,136800
2008-01-22,8.000000,8.400000,8.000000,8.400000,7.366731,71700
2008-01-23,8.290000,8.450000,8.000000,8.450000,7.410581,450000
2008-01-24,8.470000,8.800000,8.470000,8.600000,7.542131,329100
2008-01-28,8.350000,8.520000,8.200000,8.270000,7.252724,69000
2008-01-29,8.260000,8.490000,8.240000,8.400000,7.366731,587100
2008-01-30,8.400000,8.520000,8.260000,8.500000,7.454432,497200
2008-01-31,8.400000,8.500000,8.200000,8.450000,7.410581,167600
2008-02-01,8.250000,8.650000,8.250000,8.560000,7.507050,307300
2008-02-06,8.490000,8.490000,7.810000,8.000000,7.015934,316500
2008-02-07,7.950000,8.110000,7.950000,7.950000,6.972085,68000
2008-02-08,8.100000,8.130000,7.800000,7.900000,6.928236,45100
2008-02-11,8.030000,8.050000,7.800000,8.000000,7.015934,191800
2008-02-12,8.170000,8.170000,7.930000,7.930000,6.954545,174400
2008-02-13,8.000000,8.020000,7.910000,8.010000,7.024705,455900
2008-02-14,8.070000,8.100000,7.760000,7.900000,6.928236,233500
2008-02-15,7.870000,8.150000,7.800000,8.100000,7.103635,175300
2008-02-18,8.400000,8.490000,8.310000,8.400000,7.366731,95600
2008-02-19,8.550000,8.720000,8.550000,8.600000,7.542131,311500
2008-02-20,8.610000,8.770000,8.210000,8.760000,7.682449,161500
2008-02-21,8.790000,9.000000,8.650000,8.930000,7.831539,119300
2008-02-22,9.000000,9.040000,8.800000,8.980000,7.875387,61600
2008-02-25,9.000000,9.030000,8.850000,9.000000,7.892928,28000
2008-02-26,8.900000,9.140000,8.850000,9.100000,7.980626,52100
2008-02-27,8.980000,9.100000,8.980000,9.050000,7.936776,97700
2008-02-28,9.000000,9.120000,9.000000,9.120000,7.998167,79300
2008-02-29,9.000000,9.090000,8.650000,8.650000,7.585979,267800
2008-03-03,8.700000,9.040000,8.600000,9.030000,7.919237,183800
2008-03-04,9.000000,9.050000,8.900000,8.900000,7.805228,72600
2008-03-05,9.000000,9.150000,8.900000,9.060000,7.945547,72100
2008-03-06,9.060000,9.150000,9.000000,9.000000,7.892928,69600
2008-03-07,8.990000,9.000000,8.800000,8.910000,7.813997,69800
2008-03-10,8.820000,8.990000,8.610000,8.800000,7.717528,81200
2008-03-11,9.000000,9.000000,8.620000,8.940000,7.840307,103700
2008-03-12,8.940000,8.950000,8.710000,8.900000,7.805228,135900
2008-03-13,8.750000,8.840000,8.650000,8.750000,7.673678,75500
2008-03-14,8.610000,8.900000,8.600000,8.700000,7.629830,285600
2008-03-17,8.700000,8.700000,8.300000,8.490000,7.445661,634700
2008-03-18,8.700000,8.850000,8.310000,8.850000,7.761380,145600
2008-03-19,8.800000,8.820000,8.360000,8.530000,7.480740,36100
2008-03-20,8.350000,8.690000,8.310000,8.650000,7.585979,41000
2008-03-24,8.650000,8.800000,8.460000,8.600000,7.542131,154000
2008-03-25,8.600000,8.700000,8.350000,8.520000,7.471972,33300
2008-03-26,8.600000,8.600000,8.250000,8.440000,7.401812,47000
2008-03-27,8.520000,8.530000,8.200000,8.330000,7.305342,21900
2008-03-28,8.250000,8.370000,7.500000,7.500000,6.577439,183900
2008-03-31,7.800000,8.000000,7.710000,7.750000,6.796687,423600
2008-04-01,7.750000,7.990000,7.750000,7.950000,6.972085,744500
2008-04-02,7.950000,8.200000,7.920000,8.000000,7.015934,321000
2008-04-03,8.000000,8.000000,7.800000,7.900000,6.928236,504200
2008-04-04,7.940000,8.060000,7.800000,8.060000,7.068555,550000
2008-04-07,8.100000,8.300000,8.100000,8.260000,7.243953,170200
2008-04-08,8.280000,8.500000,8.150000,8.500000,7.454432,316200
2008-04-09,8.500000,8.500000,8.350000,8.400000,7.366731,57100
2008-04-10,8.350000,8.500000,8.300000,8.400000,7.366731,147800
2008-04-11,8.300000,8.400000,8.250000,8.400000,7.366731,70900
2008-04-14,8.400000,8.400000,8.210000,8.380000,7.349192,7700
2008-04-15,8.400000,8.450000,8.310000,8.410000,7.375502,29800
2008-04-16,8.400000,8.600000,8.400000,8.500000,7.454432,114100
2008-04-17,8.500000,8.570000,8.350000,8.500000,7.454432,62900
2008-04-18,8.510000,8.600000,8.500000,8.590000,7.533360,81500
2008-04-22,8.550000,8.600000,8.470000,8.570000,7.515821,224300
2008-04-23,8.550000,8.600000,8.450000,8.600000,7.542131,537400
2008-04-24,8.420000,8.670000,8.420000,8.670000,7.603519,53600
2008-04-25,8.610000,9.030000,8.600000,9.010000,7.901697,70700
2008-04-28,8.900000,9.000000,8.800000,8.900000,7.805228,69500
2008-04-29,8.800000,8.850000,8.800000,8.800000,7.717528,17100
2008-04-30,8.800000,9.000000,8.800000,9.000000,7.892928,63400
2008-05-02,9.150000,10.000000,9.150000,9.750000,8.550670,573900
2008-05-05,9.740000,9.740000,9.550000,9.660000,8.471743,213000
2008-05-06,9.660000,10.070000,9.660000,10.000000,8.769918,990500
2008-05-07,9.960000,10.190000,9.950000,10.050000,8.813769,420700
2008-05-08,10.000000,10.300000,10.000000,10.040000,8.804999,339700
2008-05-09,10.100000,10.100000,10.000000,10.050000,8.813769,237900
2008-05-12,10.060000,10.340000,10.060000,10.300000,9.033017,207700
2008-05-13,10.350000,10.400000,10.000000,10.210000,8.954085,187400
2008-05-14,10.210000,10.250000,9.890000,9.890000,8.673450,2047700
2008-05-15,9.860000,9.860000,9.600000,9.750000,8.550670,85500
2008-05-16,9.770000,9.900000,9.660000,9.870000,8.655910,36200
2008-05-19,9.860000,10.250000,9.760000,10.200000,8.945316,174500
2008-05-20,10.160000,10.170000,10.010000,10.100000,8.857619,39500
2008-05-21,10.000000,10.300000,9.950000,10.200000,8.945316,131200
2008-05-23,10.140000,10.190000,10.000000,10.130000,8.883927,19000
2008-05-26,10.100000,10.150000,9.920000,10.000000,8.769918,14100
2008-05-27,10.040000,10.100000,9.500000,9.500000,8.331423,47300
2008-05-28,9.700000,9.810000,9.550000,9.800000,8.594519,52600
2008-05-29,9.850000,10.200000,9.850000,10.150000,8.901467,134400
2008-05-30,10.050000,10.250000,10.000000,10.250000,8.989167,101700
2008-06-02,10.100000,10.200000,9.950000,10.200000,8.945316,124000
2008-06-03,10.200000,10.200000,10.000000,10.100000,8.857619,60100
2008-06-04,9.960000,10.000000,9.850000,9.880000,8.664680,21200
2008-06-05,9.900000,10.100000,9.900000,10.100000,8.857619,117800
2008-06-06,10.100000,10.100000,9.930000,10.000000,8.769918,152600
2008-06-09,10.000000,10.010000,9.900000,9.920000,8.699761,35400
2008-06-10,9.890000,9.900000,9.450000,9.630000,8.445433,43400
2008-06-11,9.630000,9.630000,9.280000,9.500000,8.331423,100600
2008-06-12,9.500000,9.500000,9.290000,9.300000,8.156025,128900
2008-06-13,9.350000,9.540000,9.060000,9.150000,8.024475,53000
2008-06-16,9.150000,9.340000,9.150000,9.290000,8.147254,110100
2008-06-17,9.450000,9.500000,9.300000,9.450000,8.287573,124100
2008-06-18,9.420000,9.480000,9.150000,9.320000,8.173564,49500
2008-06-19,9.320000,9.400000,9.200000,9.200000,8.068324,111100
