Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,9.000000,9.000000,8.510000,9.000000,5.049061,400
2008-01-03,null,null,null,null,null,null
2008-01-04,8.410000,8.890000,8.300000,8.580000,4.813438,51200
2008-01-07,8.260000,8.700000,8.250000,8.670000,4.863929,6200
2008-01-08,8.510000,8.690000,8.500000,8.530000,4.785388,4500
2008-01-09,8.390000,8.530000,8.330000,8.530000,4.785388,46800
2008-01-10,8.550000,8.550000,8.430000,8.540000,4.790998,13500
2008-01-11,8.480000,8.480000,8.390000,8.390000,4.706847,1200
2008-01-14,8.400000,8.400000,8.380000,8.380000,4.701237,4500
2008-01-15,8.620000,8.630000,8.020000,8.300000,4.656356,7300
2008-01-16,8.210000,8.210000,7.900000,7.920000,4.443174,9100
2008-01-17,8.590000,8.590000,7.750000,7.750000,4.347803,16000
2008-01-18,8.000000,8.000000,7.000000,7.590000,4.258042,32500
2008-01-21,7.200000,7.600000,7.000000,7.200000,4.039248,53300
2008-01-22,7.500000,7.500000,6.820000,6.970000,3.910217,370400
2008-01-23,6.880000,7.140000,6.880000,7.140000,4.005588,281400
2008-01-24,7.470000,7.470000,7.010000,7.240000,4.061689,78700
2008-01-28,7.400000,7.400000,7.020000,7.280000,4.084130,9600
2008-01-29,7.350000,7.350000,7.060000,7.270000,4.078519,141600
2008-01-30,7.250000,7.270000,7.100000,7.240000,4.061689,57500
2008-01-31,7.340000,7.340000,7.010000,7.250000,4.067299,115600
2008-02-01,7.150000,7.250000,7.060000,7.150000,4.011198,41000
2008-02-06,7.140000,7.240000,7.140000,7.180000,4.028028,2500
2008-02-07,7.180000,7.200000,7.060000,7.110000,3.988758,89300
2008-02-08,7.150000,7.370000,7.090000,7.090000,3.977538,45700
2008-02-11,7.110000,7.200000,7.110000,7.200000,4.039248,21000
2008-02-12,7.250000,7.390000,7.250000,7.320000,4.106570,34900
2008-02-13,7.490000,7.790000,7.360000,7.650000,4.291702,81400
2008-02-14,7.800000,8.010000,7.760000,7.830000,4.392683,100800
2008-02-15,7.920000,7.950000,7.760000,7.950000,4.460004,18800
2008-02-18,8.050000,8.180000,8.050000,8.170000,4.583426,30600
2008-02-19,8.390000,8.390000,8.110000,8.110000,4.549764,31300
2008-02-20,8.120000,8.300000,8.100000,8.300000,4.656356,1400
2008-02-21,8.380000,8.380000,7.930000,8.000000,4.488054,32600
2008-02-22,8.140000,8.190000,8.100000,8.100000,4.544155,10800
2008-02-25,8.000000,8.010000,7.800000,7.920000,4.443174,15400
2008-02-26,8.130000,8.160000,8.000000,8.100000,4.544155,9300
2008-02-27,8.100000,8.280000,8.100000,8.250000,4.628305,13500
2008-02-28,8.100000,8.260000,8.070000,8.260000,4.633916,12700
2008-02-29,8.180000,8.220000,8.110000,8.110000,4.549764,35100
2008-03-03,8.110000,8.150000,8.110000,8.110000,4.549764,5000
2008-03-04,8.160000,8.200000,8.150000,8.150000,4.572205,27000
2008-03-05,8.120000,8.590000,8.110000,8.590000,4.819049,13800
2008-03-06,8.590000,8.800000,8.140000,8.260000,4.633916,76900
2008-03-07,8.130000,8.200000,8.120000,8.150000,4.572205,15600
2008-03-10,8.170000,8.170000,7.850000,8.000000,4.488054,79200
2008-03-11,8.100000,8.150000,7.900000,8.000000,4.488054,49600
2008-03-12,8.040000,8.040000,8.040000,8.040000,4.510494,2000
2008-03-13,7.900000,7.900000,7.900000,7.900000,4.431954,700
2008-03-14,7.910000,7.980000,7.890000,7.890000,4.426343,12000
2008-03-17,7.700000,7.700000,7.500000,7.500000,4.207551,41700
2008-03-18,7.690000,7.690000,7.400000,7.520000,4.218771,124500
2008-03-19,7.700000,7.700000,7.260000,7.270000,4.078519,59300
2008-03-20,7.270000,7.350000,7.200000,7.300000,4.095349,5200
2008-03-24,7.030000,7.370000,7.030000,7.370000,4.134621,79000
2008-03-25,7.300000,7.440000,7.210000,7.220000,4.050469,21700
2008-03-26,7.220000,7.350000,7.200000,7.350000,4.123400,378500
2008-03-27,7.350000,7.380000,7.220000,7.250000,4.067299,1500
2008-03-28,7.210000,7.300000,7.200000,7.300000,4.095349,219100
2008-03-31,7.200000,7.330000,7.200000,7.300000,4.095349,60800
2008-04-01,7.210000,7.290000,7.210000,7.290000,4.089740,2000
2008-04-02,7.210000,7.350000,7.200000,7.350000,4.123400,148300
2008-04-03,7.350000,7.350000,7.250000,7.250000,4.067299,6100
2008-04-04,7.300000,7.400000,7.250000,7.370000,4.134621,254500
2008-04-07,7.300000,7.340000,7.200000,7.210000,4.044859,164400
2008-04-08,7.330000,7.390000,7.230000,7.230000,4.056079,92200
2008-04-09,7.280000,7.280000,7.230000,7.230000,4.056079,1800
2008-04-10,7.230000,7.290000,7.200000,7.290000,4.089740,213500
2008-04-11,7.250000,7.270000,7.200000,7.260000,4.072910,200700
2008-04-14,7.300000,7.300000,7.200000,7.270000,4.078519,241400
2008-04-15,7.280000,7.280000,7.230000,7.230000,4.056079,63800
2008-04-16,7.270000,7.480000,7.270000,7.390000,4.145840,32100
2008-04-17,7.270000,7.380000,7.250000,7.250000,4.067299,13400
2008-04-18,7.240000,7.390000,7.240000,7.240000,4.061689,16900
2008-04-22,7.230000,7.300000,7.230000,7.250000,4.067299,13400
2008-04-23,7.230000,7.270000,7.210000,7.210000,4.044859,26800
2008-04-24,7.300000,7.400000,7.280000,7.390000,4.145840,15100
2008-04-25,7.280000,7.380000,7.270000,7.280000,4.084130,8400
2008-04-28,7.350000,7.350000,7.280000,7.340000,4.117790,50700
2008-04-29,7.350000,7.490000,7.350000,7.480000,4.196330,20200
2008-04-30,7.460000,7.680000,7.420000,7.640000,4.286091,22400
2008-05-02,7.790000,8.100000,7.780000,8.100000,4.544155,145000
2008-05-05,8.050000,8.150000,8.050000,8.150000,4.572205,25000
2008-05-06,8.050000,8.110000,8.000000,8.100000,4.544155,22400
2008-05-07,8.000000,8.050000,7.950000,7.950000,4.460004,5200
2008-05-08,7.950000,7.950000,7.940000,7.940000,4.454393,12300
2008-05-09,7.950000,7.950000,7.600000,7.800000,4.375853,6400
2008-05-12,7.700000,7.790000,7.650000,7.780000,4.364633,3600
2008-05-13,7.520000,7.720000,7.450000,7.460000,4.185111,3600
