Date,Open,High,Low,Close,Adj Close,Volume
2005-08-29,3100.000000,3700.000000,3100.000000,3440.000000,3349.176514,1092
2005-08-30,3600.000000,3660.000000,3260.000000,3500.000000,3407.592285,480
2005-08-31,3520.000000,3600.000000,3360.000000,3440.000000,3349.176514,1177
2005-09-01,3500.000000,3600.000000,3320.000000,3600.000000,3504.951416,2003
2005-09-02,3600.000000,4000.000000,3340.000000,3600.000000,3504.951416,785
2005-09-05,3580.000000,3840.000000,3480.000000,3800.000000,3699.671631,201
2005-09-06,3800.000000,3820.000000,3620.000000,3760.000000,3660.727295,398
2005-09-08,3660.000000,3760.000000,3400.000000,3580.000000,3485.479980,1048
2005-09-09,3440.000000,3640.000000,3440.000000,3640.000000,3543.895752,492
2005-09-12,3500.000000,3560.000000,3400.000000,3520.000000,3427.063965,484
2005-09-13,3460.000000,3660.000000,3380.000000,3660.000000,3563.367920,394
2005-09-14,3660.000000,3840.000000,3600.000000,3820.000000,3719.143555,221
2005-09-15,3840.000000,4100.000000,3780.000000,3860.000000,3758.087402,1320
2005-09-16,3820.000000,4060.000000,3700.000000,3960.000000,3855.447510,1543
2005-09-19,4040.000000,4060.000000,3900.000000,3920.000000,3816.503174,239
2005-09-20,3960.000000,4040.000000,3800.000000,3880.000000,3777.559326,813
2005-09-21,3900.000000,3920.000000,3660.000000,3760.000000,3660.727295,449
2005-09-22,3760.000000,3760.000000,3640.000000,3720.000000,3621.783936,209
2005-09-23,3720.000000,3780.000000,3680.000000,3720.000000,3621.783936,318
2005-09-26,3700.000000,3820.000000,3620.000000,3680.000000,3582.839600,409
2005-09-27,3660.000000,3680.000000,3580.000000,3620.000000,3524.424072,288
2005-09-28,3640.000000,3800.000000,3620.000000,3700.000000,3602.311768,497
2005-09-29,3700.000000,3780.000000,3680.000000,3760.000000,3660.727295,83
2005-09-30,3800.000000,4140.000000,3700.000000,4000.000000,3894.391357,356
2005-10-03,3980.000000,4080.000000,3900.000000,4060.000000,3952.807129,655
2005-10-04,3980.000000,4200.000000,3940.000000,4060.000000,3952.807129,1107
2005-10-05,4000.000000,4300.000000,4000.000000,4100.000000,3991.750732,871
2005-10-06,4040.000000,4240.000000,3940.000000,4140.000000,4030.694824,511
2005-10-07,4180.000000,4500.000000,4180.000000,4260.000000,4147.526367,866
2005-10-10,4480.000000,4580.000000,4300.000000,4340.000000,4225.414551,76
2005-10-11,4500.000000,4660.000000,4300.000000,4300.000000,4186.470215,139
2005-10-13,4260.000000,4660.000000,4140.000000,4500.000000,4381.189941,194
2005-10-14,4460.000000,4660.000000,4380.000000,4620.000000,4498.021484,74
2005-10-17,4620.000000,5080.000000,4520.000000,4800.000000,4673.269531,507
2005-10-18,4860.000000,5080.000000,4660.000000,5000.000000,4867.989258,261
2005-10-19,5060.000000,5080.000000,4800.000000,5000.000000,4867.989258,197
2005-10-20,5080.000000,5080.000000,4700.000000,5000.000000,4867.989258,275
2005-10-21,5020.000000,5400.000000,4980.000000,5200.000000,5062.708496,104
2005-10-24,5200.000000,5520.000000,5200.000000,5500.000000,5354.787598,153
2005-10-25,5520.000000,6160.000000,5400.000000,5620.000000,5471.619141,226
2005-10-26,5620.000000,5800.000000,5540.000000,5640.000000,5491.091797,285
2005-10-27,5660.000000,5800.000000,5460.000000,5600.000000,5452.146973,141
2005-10-28,5700.000000,5740.000000,5420.000000,5640.000000,5491.091797,174
2005-10-31,5640.000000,5760.000000,5560.000000,5680.000000,5530.035645,313
2005-11-01,5560.000000,5700.000000,5500.000000,5700.000000,5549.507324,55
2005-11-03,5600.000000,5760.000000,5480.000000,5660.000000,5510.563477,39
2005-11-04,5720.000000,5740.000000,5420.000000,5420.000000,5276.899414,42
2005-11-07,5600.000000,5680.000000,5460.000000,5560.000000,5413.204102,37
2005-11-08,5540.000000,5540.000000,5220.000000,5280.000000,5140.596680,183
2005-11-09,5320.000000,5760.000000,5320.000000,5760.000000,5607.923340,760
2005-11-10,5760.000000,5900.000000,5540.000000,5860.000000,5705.282715,70
2005-11-11,5800.000000,5840.000000,5760.000000,5800.000000,5646.866699,884
2005-11-14,5640.000000,5900.000000,5600.000000,5900.000000,5744.226563,119
2005-11-16,5820.000000,6400.000000,5820.000000,6300.000000,6133.666504,55
2005-11-17,6400.000000,7000.000000,6320.000000,6680.000000,6503.633301,162
2005-11-18,6800.000000,6820.000000,6400.000000,6600.000000,6425.745605,51
2005-11-21,6600.000000,6880.000000,6200.000000,6260.000000,6094.722168,98
2005-11-22,6440.000000,6680.000000,6060.000000,6680.000000,6503.633301,190
2005-11-23,6680.000000,6680.000000,6520.000000,6560.000000,6386.801758,326
2005-11-24,6680.000000,6800.000000,6520.000000,6800.000000,6620.464844,259
2005-11-25,6840.000000,7060.000000,6820.000000,6960.000000,6776.240234,119
2005-11-28,7100.000000,7500.000000,7100.000000,7140.000000,6951.487793,243
2005-11-29,7200.000000,7400.000000,6980.000000,7160.000000,6970.959961,69
2005-11-30,7280.000000,7280.000000,6980.000000,7200.000000,7009.902832,246
2005-12-01,7100.000000,7640.000000,7100.000000,7640.000000,7438.287109,349
2005-12-02,7640.000000,8000.000000,7640.000000,7760.000000,7555.118652,248
2005-12-05,7700.000000,7840.000000,7580.000000,7700.000000,7496.703125,44
2005-12-06,7980.000000,8000.000000,7800.000000,7980.000000,7769.309570,65
2005-12-07,7860.000000,8000.000000,7740.000000,7860.000000,7652.478516,198
2005-12-08,7800.000000,7980.000000,7600.000000,7800.000000,7594.062988,51
2005-12-09,7820.000000,7880.000000,7760.000000,7820.000000,7613.534180,44
2005-12-12,7780.000000,7940.000000,7580.000000,7780.000000,7574.590820,86
2005-12-13,7600.000000,7900.000000,7500.000000,7600.000000,7399.343262,174
2005-12-14,7460.000000,7700.000000,7400.000000,7460.000000,7263.040039,198
2005-12-15,7340.000000,7680.000000,7180.000000,7340.000000,7146.207520,91
2005-12-16,7500.000000,7500.000000,7120.000000,7500.000000,7301.983398,279
2005-12-19,7240.000000,7500.000000,7140.000000,7240.000000,7048.848145,300
2005-12-20,7380.000000,7400.000000,6860.000000,7380.000000,7185.150879,1031
2005-12-21,7680.000000,7740.000000,7300.000000,7680.000000,7477.230957,72
2005-12-22,7460.000000,7680.000000,7460.000000,7460.000000,7263.040039,96
2005-12-23,7560.000000,7660.000000,7240.000000,7560.000000,7360.399902,159
2005-12-26,7700.000000,7700.000000,7440.000000,7700.000000,7496.703125,43
2005-12-27,7580.000000,7700.000000,7440.000000,7580.000000,7379.870605,69
2005-12-28,7460.000000,7720.000000,7440.000000,7460.000000,7263.040039,70
2005-12-29,7600.000000,7680.000000,7400.000000,7600.000000,7399.343262,157
2006-01-02,7200.000000,7620.000000,7200.000000,7200.000000,7009.902832,38
2006-01-03,7600.000000,7600.000000,7260.000000,7600.000000,7399.343262,168
2006-01-04,8000.000000,8140.000000,7540.000000,8000.000000,7788.782715,253
2006-01-05,7900.000000,7960.000000,7600.000000,7900.000000,7691.422363,31
2006-01-06,7940.000000,8120.000000,7820.000000,7940.000000,7730.366211,18
2006-01-09,7700.000000,8080.000000,7660.000000,7980.000000,7769.309570,21
2006-01-10,7980.000000,7980.000000,7560.000000,7980.000000,7769.309570,36
2006-01-11,8020.000000,8080.000000,7780.000000,7980.000000,7769.309570,113
2006-01-12,7840.000000,8020.000000,7780.000000,7840.000000,7633.006348,40
2006-01-13,7960.000000,8000.000000,7720.000000,7980.000000,7769.309570,44
2006-01-16,7900.000000,8000.000000,7800.000000,8000.000000,7788.782715,73
2006-01-17,7980.000000,8000.000000,7620.000000,7960.000000,7749.837891,231
2006-01-18,7900.000000,8000.000000,7700.000000,8000.000000,7788.782715,38
2006-01-19,8000.000000,8180.000000,7800.000000,8040.000000,7827.726563,278
2006-01-20,8040.000000,8080.000000,7800.000000,8080.000000,7866.669922,16
2006-01-23,8080.000000,8080.000000,7840.000000,8000.000000,7788.782715,34
2006-01-24,8060.000000,8100.000000,7740.000000,8000.000000,7788.782715,67
2006-01-25,8000.000000,8000.000000,8000.000000,8000.000000,7788.782715,0
2006-01-26,8000.000000,8800.000000,7880.000000,8260.000000,8041.918457,258
2006-01-27,8500.000000,8540.000000,8040.000000,8100.000000,7886.141602,46
2006-01-30,8100.000000,8600.000000,7920.000000,8600.000000,8372.940430,101
2006-01-31,8440.000000,8460.000000,8120.000000,8400.000000,8178.221191,219
2006-02-01,8100.000000,8400.000000,8100.000000,8400.000000,8178.221191,144
2006-02-02,8340.000000,8460.000000,7860.000000,8080.000000,7866.669922,76
2006-02-03,8200.000000,8200.000000,7980.000000,8200.000000,7983.501465,36
2006-02-06,8380.000000,8380.000000,7840.000000,7860.000000,7652.478516,60
2006-02-07,7820.000000,7880.000000,7620.000000,7880.000000,7671.950684,23
2006-02-08,7880.000000,8060.000000,7660.000000,7980.000000,7769.309570,26
2006-02-09,8060.000000,8060.000000,7880.000000,8000.000000,7788.782715,76
2006-02-10,8080.000000,8100.000000,7760.000000,8000.000000,7788.782715,198
2006-02-13,7800.000000,7920.000000,7660.000000,7700.000000,7496.703125,94
2006-02-14,7860.000000,7860.000000,7600.000000,7800.000000,7594.062988,154
2006-02-15,7740.000000,7880.000000,7600.000000,7880.000000,7671.950684,113
2006-02-16,7760.000000,8140.000000,7760.000000,8140.000000,7925.085938,136
2006-02-17,8100.000000,8100.000000,7840.000000,8060.000000,7847.197754,18
2006-02-20,8140.000000,8140.000000,7820.000000,8040.000000,7827.726563,10
2006-02-21,8020.000000,8100.000000,7640.000000,7920.000000,7710.895020,147
2006-02-22,7940.000000,7940.000000,7720.000000,7860.000000,7652.478516,57
2006-02-23,7840.000000,7840.000000,7580.000000,7680.000000,7477.230957,62
2006-02-24,7800.000000,7800.000000,7600.000000,7740.000000,7535.646973,72
2006-02-27,7740.000000,7740.000000,7740.000000,7740.000000,7535.646973,0
2006-02-28,7740.000000,7740.000000,7740.000000,7740.000000,7535.646973,0
2006-03-01,7760.000000,8060.000000,7700.000000,7740.000000,7535.646973,21
2006-03-02,7800.000000,7980.000000,7700.000000,7800.000000,7594.062988,22
2006-03-03,7720.000000,7900.000000,7560.000000,7900.000000,7691.422363,74
2006-03-06,7800.000000,7860.000000,7680.000000,7860.000000,7652.478516,11
2006-03-07,7640.000000,7900.000000,7600.000000,7900.000000,7691.422363,35
2006-03-08,7660.000000,7960.000000,7660.000000,7940.000000,7730.366211,32
2006-03-09,7980.000000,8040.000000,7800.000000,7940.000000,7730.366211,172
2006-03-10,7880.000000,7980.000000,7600.000000,7900.000000,7691.422363,42
2006-03-13,7800.000000,7900.000000,7540.000000,7900.000000,7691.422363,20
2006-03-14,7800.000000,8000.000000,7740.000000,8000.000000,7788.782715,27
2006-03-15,7980.000000,8100.000000,7800.000000,8000.000000,7788.782715,50
2006-03-16,8000.000000,8080.000000,7900.000000,8040.000000,7827.726563,61
2006-03-17,8040.000000,8040.000000,7780.000000,8000.000000,7788.782715,31
2006-03-20,8100.000000,8100.000000,7540.000000,7740.000000,7535.646973,198
2006-03-21,7640.000000,7740.000000,7560.000000,7600.000000,7399.343262,156
2006-03-22,7600.000000,7880.000000,7600.000000,7700.000000,7496.703125,1741
2006-03-23,7760.000000,7760.000000,7360.000000,7440.000000,7243.567871,63
2006-03-24,7480.000000,7520.000000,7360.000000,7460.000000,7263.040039,11
2006-03-27,7320.000000,7580.000000,7300.000000,7440.000000,7243.567871,35
2006-03-28,7200.000000,7440.000000,7040.000000,7380.000000,7185.150879,136
2006-03-29,7400.000000,7400.000000,7040.000000,7120.000000,6932.016113,216
2006-03-30,7040.000000,7140.000000,6920.000000,7100.000000,6912.543457,59
2006-03-31,7100.000000,7320.000000,7040.000000,7200.000000,7009.902832,37
2006-04-03,7200.000000,7500.000000,7020.000000,7460.000000,7263.040039,153
2006-04-04,7460.000000,7480.000000,7360.000000,7440.000000,7243.567871,274
2006-04-05,7340.000000,7400.000000,7220.000000,7400.000000,7204.623535,1658
2006-04-06,7460.000000,7800.000000,7420.000000,7620.000000,7418.815430,194
2006-04-07,7740.000000,7740.000000,7340.000000,7400.000000,7204.623535,323
2006-04-10,7360.000000,7360.000000,7120.000000,7200.000000,7009.902832,278
2006-04-11,7120.000000,7260.000000,7020.000000,7200.000000,7009.902832,111
2006-04-12,7360.000000,7440.000000,7180.000000,7400.000000,7204.623535,325
2006-04-13,7400.000000,7460.000000,7180.000000,7400.000000,7204.623535,263
2006-04-14,7400.000000,7400.000000,7400.000000,7400.000000,7204.623535,0
2006-04-17,7460.000000,7640.000000,7300.000000,7560.000000,7360.399902,836
2006-04-18,7680.000000,7820.000000,7300.000000,7680.000000,7477.230957,453
2006-04-19,7680.000000,7680.000000,7500.000000,7600.000000,7399.343262,142
2006-04-20,7480.000000,7780.000000,7440.000000,7660.000000,7457.759277,64
2006-04-21,7660.000000,7660.000000,7660.000000,7660.000000,7457.759277,0
2006-04-24,7640.000000,7700.000000,7480.000000,7660.000000,7457.759277,144
2006-04-25,7600.000000,7700.000000,7440.000000,7600.000000,7399.343262,572
2006-04-26,7480.000000,7700.000000,7360.000000,7540.000000,7340.927246,342
2006-04-27,7400.000000,7800.000000,7400.000000,7800.000000,7594.062988,137
2006-04-28,7800.000000,8080.000000,7800.000000,7980.000000,7769.309570,459
2006-05-01,7980.000000,7980.000000,7980.000000,7980.000000,7769.309570,0
2006-05-02,7920.000000,8100.000000,7900.000000,8000.000000,7788.782715,91
2006-05-03,8200.000000,8200.000000,7740.000000,8000.000000,7788.782715,244
2006-05-04,8000.000000,8260.000000,7800.000000,8000.000000,7788.782715,150
2006-05-05,7820.000000,8000.000000,7800.000000,8000.000000,7788.782715,94
2006-05-08,7700.000000,7980.000000,7600.000000,7740.000000,7535.646973,24
2006-05-09,11610.000000,11670.000000,11250.000000,11610.000000,11303.471680,439
2006-05-10,11640.000000,11850.000000,11400.000000,11670.000000,11361.886719,34
2006-05-11,11460.000000,11790.000000,10800.000000,11550.000000,11245.055664,91
2006-05-12,11220.000000,11550.000000,11010.000000,11460.000000,11157.429688,118
2006-05-15,11070.000000,11970.000000,11070.000000,11550.000000,11245.055664,43
2006-05-16,11940.000000,11940.000000,11400.000000,11970.000000,11653.964844,65
2006-05-17,11340.000000,11400.000000,10920.000000,11670.000000,11361.886719,108
2006-05-18,7300.000000,7660.000000,7300.000000,7400.000000,7204.623535,55
2006-05-19,7420.000000,7420.000000,7000.000000,7400.000000,7204.623535,60
2006-05-22,7120.000000,7580.000000,6800.000000,7580.000000,7379.870605,64
2006-05-23,11010.000000,11100.000000,10050.000000,11370.000000,11069.805664,588
2006-05-24,10380.000000,10380.000000,9720.000000,10260.000000,9989.112305,395
2006-05-25,10320.000000,11100.000000,9960.000000,10350.000000,10076.737305,100
2006-05-26,11190.000000,11190.000000,10740.000000,11100.000000,10806.935547,63
2006-05-29,7320.000000,7320.000000,7020.000000,7220.000000,7029.375977,19
2006-05-30,10620.000000,10830.000000,9750.000000,10830.000000,10544.062500,167
2006-05-31,10440.000000,10440.000000,9300.000000,9870.000000,9609.410156,319
2006-06-01,9600.000000,10080.000000,9600.000000,9300.000000,9054.458984,131
2006-06-02,10500.000000,10500.000000,9960.000000,9870.000000,9609.410156,103
2006-06-05,10170.000000,10350.000000,10050.000000,10260.000000,9989.112305,54
2006-06-06,9900.000000,10950.000000,9900.000000,10320.000000,10047.528320,93
2006-06-07,10200.000000,10920.000000,10200.000000,10950.000000,10660.894531,55
2006-06-08,10050.000000,10800.000000,9930.000000,10710.000000,10427.230469,116
2006-06-09,10740.000000,10740.000000,10230.000000,10350.000000,10076.737305,34
2006-06-12,10200.000000,10200.000000,9510.000000,10350.000000,10076.737305,88
2006-06-13,9630.000000,9630.000000,9030.000000,9630.000000,9375.746094,212
2006-06-14,9450.000000,10050.000000,8730.000000,9450.000000,9200.499023,148
2006-06-15,6200.000000,6200.000000,6200.000000,6200.000000,6036.306641,0
2006-06-16,9870.000000,9870.000000,8610.000000,9300.000000,9054.458984,301
2006-06-19,9030.000000,9120.000000,8880.000000,8940.000000,8703.964844,206
2006-06-20,8850.000000,9060.000000,8700.000000,9000.000000,8762.379883,234
2006-06-21,8610.000000,9450.000000,8610.000000,9060.000000,8820.795898,302
2006-06-22,9150.000000,9720.000000,8970.000000,9240.000000,8996.042969,292
2006-06-23,9030.000000,9300.000000,8970.000000,9000.000000,8762.379883,90
2006-06-26,6100.000000,6280.000000,5980.000000,6240.000000,6075.250000,8
2006-06-27,9090.000000,9630.000000,9090.000000,9360.000000,9112.875000,30
2006-06-28,9570.000000,9570.000000,9180.000000,9570.000000,9317.331055,84
2006-06-29,9300.000000,9750.000000,9150.000000,9270.000000,9025.251953,395
2006-06-30,9750.000000,9840.000000,9450.000000,9750.000000,9492.577148,375
2006-07-03,9750.000000,9840.000000,9720.000000,9750.000000,9492.577148,63
2006-07-04,9810.000000,10050.000000,9750.000000,9840.000000,9580.200195,59
2006-07-05,9960.000000,9960.000000,9600.000000,9900.000000,9638.618164,20
2006-07-06,9750.000000,10350.000000,9750.000000,9750.000000,9492.577148,49
