Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,24.990000,24.990000,23.700001,24.000000,9.778461,98
2000-01-04,23.100000,23.700001,22.750000,23.350000,9.513629,228
2000-01-05,23.700001,23.700001,22.000000,23.610001,9.619566,120
2000-01-06,23.400000,24.129999,23.100000,24.129999,9.831430,123
2000-01-07,24.000000,24.250000,23.600000,24.250000,9.880318,266
2000-01-10,25.000000,25.750000,24.850000,25.750000,10.491477,562
2000-01-11,26.000000,27.100000,25.500000,26.299999,10.715566,327
2000-01-12,26.600000,28.000000,26.200001,28.000000,11.408208,425
2000-01-13,30.000000,32.000000,28.980000,29.510000,12.023438,173
2000-01-14,31.620001,31.620001,29.200001,29.700001,12.100846,377
2000-01-17,31.000000,32.000000,30.020000,31.510000,12.838305,329
2000-01-18,31.500000,33.200001,30.500000,33.200001,13.526875,477
2000-01-19,32.500000,32.700001,31.200001,31.500000,12.834231,374
2000-01-20,31.500000,31.600000,30.400000,31.000000,12.630513,229
2000-01-21,31.000000,31.100000,30.299999,30.500000,12.426799,250
2000-01-24,30.000000,31.200001,30.000000,30.520000,12.434940,44
2000-01-25,30.520000,30.520000,30.520000,30.520000,12.434940,0
2000-01-26,30.500000,31.400000,30.480000,31.200001,12.712003,236
2000-01-27,31.500000,32.150002,31.500000,32.000000,13.037951,276
2000-01-28,32.000000,32.000000,30.480000,31.020000,12.638660,203
2000-01-31,30.799999,30.799999,30.200001,30.400000,12.386051,207
2000-02-01,31.990000,31.990000,30.799999,31.250000,12.732377,176
2000-02-02,32.299999,33.299999,31.700001,31.900000,12.997208,354
2000-02-03,32.000000,33.889999,32.000000,33.299999,13.567617,409
2000-02-04,34.500000,35.000000,33.900002,33.900002,13.812079,308
2000-02-07,35.000000,35.000000,33.000000,34.000000,13.852823,319
2000-02-08,35.000000,35.299999,34.599998,35.299999,14.382488,210
2000-02-09,36.000000,37.000000,35.200001,35.700001,14.545461,314
2000-02-10,37.000000,37.000000,35.700001,36.299999,14.789922,310
2000-02-11,36.000000,37.200001,36.000000,36.099998,14.708434,332
2000-02-14,36.000000,37.099998,36.000000,36.509998,14.875489,320
2000-02-15,36.000000,36.400002,35.500000,36.000000,14.667691,287
2000-02-16,35.000000,36.000000,34.000000,35.310001,14.386562,160
2000-02-17,35.000000,35.549999,35.000000,35.500000,14.463978,175
2000-02-18,35.500000,35.500000,34.320000,34.320000,13.983203,140
2000-02-21,34.000000,35.000000,33.500000,34.799999,14.178765,127
2000-02-22,34.500000,35.099998,33.500000,34.009998,13.856896,88
2000-02-23,34.099998,35.490002,34.099998,35.380001,14.415086,168
2000-02-24,36.000000,36.500000,35.099998,35.500000,14.463978,345
2000-02-25,35.700001,36.000000,35.200001,35.400002,14.423232,104
2000-02-28,34.500000,35.490002,34.400002,34.599998,14.097284,313
2000-02-29,34.779999,35.500000,34.500000,34.799999,14.178765,58
2000-03-01,35.000000,36.700001,35.000000,35.400002,14.423232,185
2000-03-02,36.500000,36.500000,35.700001,36.450001,14.851042,601
2000-03-03,36.500000,37.900002,36.400002,37.500000,15.278850,160
2000-03-06,37.500000,37.500000,37.500000,37.500000,15.278850,0
2000-03-07,37.500000,37.500000,37.500000,37.500000,15.278850,0
2000-03-08,35.500000,36.500000,34.680000,35.500000,14.463978,9
2000-03-09,35.599998,35.799999,35.000000,35.000000,14.260259,31
2000-03-10,35.000000,35.000000,34.200001,34.250000,13.954678,90
2000-03-13,34.250000,34.250000,34.250000,34.250000,13.954678,0
2000-03-14,33.000000,33.480000,33.000000,33.000000,13.445392,71
2000-03-15,32.700001,32.700001,32.099998,32.200001,13.119433,101
2000-03-16,32.400002,32.889999,31.600000,32.400002,13.200920,185
2000-03-17,32.700001,32.700001,31.000000,31.520000,12.842381,159
2000-03-20,32.000000,33.000000,32.000000,32.000000,13.037951,134
2000-03-21,32.000000,34.000000,32.000000,33.490002,13.645030,112
2000-03-22,33.700001,33.700001,32.500000,33.189999,13.522799,110
2000-03-23,33.099998,33.500000,32.500000,33.099998,13.486129,168
2000-03-24,33.200001,33.700001,32.799999,33.200001,13.526875,128
2000-03-27,33.500000,33.799999,32.599998,33.799999,13.771331,60
2000-03-28,32.599998,33.000000,31.600000,32.000000,13.037951,105
2000-03-29,32.000000,32.000000,31.100000,31.299999,12.752744,274
2000-03-30,30.900000,31.100000,29.500000,31.000000,12.630513,92
2000-03-31,31.000000,31.200001,30.010000,30.400000,12.386051,109
2000-04-03,30.000000,30.000000,29.000000,29.299999,11.937872,100
2000-04-04,29.000000,29.500000,27.000000,28.510000,11.616000,185
2000-04-05,29.000000,29.000000,27.299999,28.500000,11.611924,140
2000-04-06,29.200001,30.500000,28.700001,29.200001,11.897127,227
2000-04-07,29.500000,30.500000,29.500000,30.500000,12.426799,316
2000-04-10,30.500000,30.650000,29.600000,29.990000,12.219004,236
2000-04-11,29.500000,29.690001,28.120001,28.910000,11.778972,76
2000-04-12,29.000000,29.900000,28.600000,29.100000,11.856386,240
2000-04-13,28.900000,28.900000,27.799999,27.799999,11.326718,88
2000-04-14,27.799999,27.799999,27.799999,27.799999,11.326718,0
2000-04-17,25.000000,28.400000,25.000000,26.500000,10.797053,269
2000-04-18,28.389999,28.770000,26.990000,27.900000,11.367460,162
2000-04-19,27.700001,28.600000,27.000000,28.600000,11.652673,198
2000-04-20,28.590000,29.000000,27.510000,28.180000,11.481546,142
2000-04-21,28.180000,28.180000,28.180000,28.180000,11.481546,0
2000-04-24,28.200001,28.200001,26.100000,27.010000,11.004844,70
2000-04-25,27.020000,28.000000,26.799999,28.000000,11.408208,170
2000-04-26,28.000000,28.799999,27.250000,27.799999,11.326718,400
2000-04-27,26.500000,27.790001,26.400000,27.100000,11.041512,398
2000-04-28,27.500000,27.500000,26.100000,27.010000,11.004844,537
2000-05-01,27.010000,27.010000,27.010000,27.010000,11.004844,0
2000-05-02,28.000000,29.400000,28.000000,28.799999,11.734151,474
