Date,Open,High,Low,Close,Adj Close,Volume
2019-01-18,101.550003,130.000000,101.550003,130.000000,130.000000,2412
2019-01-21,115.000000,135.000000,109.910004,110.000000,110.000000,186
2019-01-22,110.000000,110.000000,110.000000,110.000000,110.000000,41
2019-01-23,110.000000,116.989998,110.000000,116.989998,116.989998,16
2019-01-24,112.000000,112.000000,110.000000,110.040001,110.040001,8
2019-01-28,115.000000,115.000000,110.000000,110.000000,110.000000,4
2019-01-29,109.989998,110.000000,109.989998,110.000000,110.000000,30
2019-01-30,111.989998,111.989998,110.000000,110.000000,110.000000,2
2019-01-31,110.000000,111.500000,110.000000,110.000000,110.000000,10
2019-02-01,109.500000,111.989998,109.220001,111.989998,111.989998,22
2019-02-04,111.989998,111.989998,111.989998,111.989998,111.989998,0
2019-02-05,115.000000,115.000000,101.209999,110.000000,110.000000,2498
2019-02-06,110.099998,110.099998,103.000000,104.989998,104.989998,51
2019-02-07,103.000000,103.000000,102.500000,102.500000,102.500000,18
2019-02-08,104.989998,105.000000,102.500000,102.750000,102.750000,64
2019-02-11,105.000000,105.000000,102.500000,102.519997,102.519997,98
2019-02-12,109.000000,109.099998,105.000000,105.000000,105.000000,99
2019-02-13,105.000000,106.989998,105.000000,106.989998,106.989998,38
2019-02-14,105.000000,105.000000,105.000000,105.000000,105.000000,200
2019-02-15,106.989998,106.989998,104.309998,104.309998,104.309998,3
2019-02-18,107.000000,107.989998,107.000000,107.989998,107.989998,3
2019-02-19,107.989998,107.989998,107.989998,107.989998,107.989998,0
2019-02-20,105.989998,106.000000,105.900002,105.900002,105.900002,62
2019-02-21,105.900002,105.900002,105.900002,105.900002,105.900002,0
2019-02-22,105.000000,106.000000,105.000000,106.000000,106.000000,4
2019-02-25,104.500000,104.500000,104.500000,104.500000,104.500000,1300
2019-02-26,104.500000,104.500000,104.500000,104.500000,104.500000,0
2019-02-27,105.000000,106.000000,104.500000,104.500000,104.500000,16
2019-02-28,106.000000,106.000000,104.500000,106.000000,106.000000,928
2019-03-01,105.000000,105.000000,105.000000,105.000000,105.000000,26
2019-03-06,null,null,null,null,null,null
2019-03-07,104.000000,104.000000,104.000000,104.000000,104.000000,1545
2019-03-08,104.000000,104.000000,104.000000,104.000000,104.000000,921
2019-03-11,104.000000,107.980003,103.860001,107.980003,107.980003,552
2019-03-12,107.980003,107.989998,104.000000,104.000000,104.000000,816
2019-03-13,107.980003,107.980003,107.000000,107.919998,107.919998,9
2019-03-14,105.989998,106.000000,105.989998,106.000000,106.000000,11
2019-03-15,105.000000,105.000000,104.000000,105.000000,105.000000,15
2019-03-18,104.000000,105.000000,104.000000,105.000000,105.000000,488
2019-03-19,107.739998,107.739998,105.000000,105.000000,105.000000,491
2019-03-20,105.000000,105.000000,104.750000,105.000000,105.000000,169
2019-03-21,107.489998,107.489998,104.000000,104.000000,104.000000,176
2019-03-22,104.099998,105.000000,103.980003,105.000000,105.000000,124
2019-03-25,103.110001,107.000000,103.110001,107.000000,107.000000,22
2019-03-26,107.089996,107.089996,105.000000,105.000000,105.000000,328
2019-03-27,105.000000,105.000000,104.000000,104.019997,104.019997,130
2019-03-28,104.000000,104.000000,103.989998,103.989998,103.989998,885
2019-03-29,104.000000,104.000000,103.900002,104.000000,104.000000,392
2019-04-01,104.000000,104.000000,100.000000,104.000000,104.000000,239
2019-04-02,104.000000,106.989998,102.000000,102.150002,102.150002,339
2019-04-03,102.150002,105.910004,102.000000,105.000000,105.000000,10439
2019-04-04,104.980003,105.489998,102.410004,104.980003,104.980003,1435
2019-04-05,102.150002,104.949997,102.019997,102.199997,102.199997,1238
2019-04-08,104.889999,104.900002,102.500000,104.900002,104.900002,12
2019-04-09,103.000000,103.000000,102.500000,102.500000,102.500000,100
2019-04-10,104.900002,104.900002,104.900002,104.900002,104.900002,1
2019-04-11,104.900002,105.010002,101.989998,102.000000,102.000000,3191
2019-04-12,102.010002,102.500000,102.000000,102.010002,102.010002,350
2019-04-15,102.019997,102.900002,101.540001,102.480003,102.480003,436
2019-04-16,104.500000,104.500000,101.620003,102.099998,102.099998,24
2019-04-17,102.000000,103.000000,101.300003,102.599998,102.599998,913
2019-04-18,102.599998,102.980003,102.599998,102.980003,102.980003,32
2019-04-22,102.000000,103.000000,101.500000,101.510002,101.510002,805
2019-04-23,101.620003,102.900002,100.849998,101.000000,101.000000,1057
2019-04-24,102.389999,102.389999,101.000000,101.989998,101.989998,373
2019-04-25,101.989998,101.989998,99.989998,100.000000,100.000000,2339
2019-04-26,100.029999,100.099998,99.959999,100.000000,100.000000,1722
2019-04-29,101.489998,101.500000,101.400002,101.480003,101.480003,218
2019-04-30,101.589996,102.010002,99.900002,102.000000,102.000000,1118
2019-05-02,101.400002,101.400002,101.050003,101.400002,101.400002,210
2019-05-03,101.400002,101.400002,100.000000,100.500000,100.500000,1693
2019-05-06,100.110001,100.500000,100.000000,100.500000,100.500000,326
2019-05-07,101.839996,101.849998,99.989998,101.000000,101.000000,1182
2019-05-08,101.000000,101.389999,100.000000,100.160004,100.160004,478
2019-05-09,100.110001,100.110001,100.029999,100.029999,100.029999,139
2019-05-10,101.180000,101.180000,100.040001,100.040001,100.040001,18
2019-05-13,100.040001,100.599998,100.019997,100.599998,100.599998,189
2019-05-14,100.599998,100.900002,100.070000,100.070000,100.070000,71
2019-05-15,100.900002,100.900002,100.000000,100.000000,100.000000,315
2019-05-16,100.080002,100.500000,99.800003,100.489998,100.489998,236
2019-05-17,100.500000,100.500000,100.000000,100.000000,100.000000,175
2019-05-20,100.800003,100.879997,100.769997,100.769997,100.769997,25
2019-05-21,100.010002,100.199997,99.800003,100.199997,100.199997,882
2019-05-22,100.190002,100.199997,99.800003,100.199997,100.199997,571
2019-05-23,100.199997,100.199997,99.000000,100.199997,100.199997,513
2019-05-24,100.199997,100.199997,100.000000,100.199997,100.199997,353
2019-05-27,100.199997,100.199997,99.599998,100.199997,100.199997,528
2019-05-28,99.699997,100.199997,99.500000,100.000000,100.000000,945
2019-05-29,100.000000,100.199997,100.000000,100.199997,100.199997,168
2019-05-30,100.199997,100.199997,99.000000,100.199997,100.199997,796
2019-05-31,100.199997,100.199997,100.199997,100.199997,100.199997,147
2019-06-03,100.199997,100.199997,99.849998,99.900002,99.900002,5325
2019-06-04,99.900002,99.989998,99.500000,99.500000,99.500000,7788
2019-06-05,100.199997,100.199997,99.500000,99.599998,99.599998,506
2019-06-06,100.099998,100.099998,99.900002,99.900002,99.900002,471
2019-06-07,100.050003,100.300003,99.500000,99.500000,99.500000,510
2019-06-10,99.989998,100.300003,99.800003,99.949997,99.949997,532
2019-06-11,99.970001,100.190002,99.550003,99.550003,99.550003,506
2019-06-12,99.699997,100.180000,99.500000,100.099998,100.099998,361
