Date,Open,High,Low,Close,Variation,Volume
2020-01-14,1.0,1.0,1.0,1.0,0.0,2000
2020-01-15,1.0,1.0,1.0,1.0,0.0,0
2020-01-16,1.0,1.0,1.0,1.0,0.0,0
2020-01-17,1.0,1.0,1.0,1.0,0.0,0
2020-01-20,1.0,1.0,1.0,1.0,0.0,0
2020-01-21,1.0,1.0,1.0,1.0,0.0,0
2020-01-22,1.0,1.0,1.0,1.0,0.0,0
2020-01-23,1.0,1.0,1.0,1.0,0.0,0
2020-01-24,1.0,1.0,1.0,1.0,0.0,0
2020-01-27,1.0,1.0,1.0,1.0,0.0,0
2020-01-28,1.0,1.0,1.0,1.0,0.0,0
2020-01-29,1.0,1.0,1.0,1.0,0.0,0
2020-01-30,1.0,1.0,1.0,1.0,0.0,0
2020-01-31,1.0,1.0,1.0,1.0,0.0,0
2020-02-03,1.0,1.0,1.0,1.0,0.0,0
2020-02-04,1.0,1.0,1.0,1.0,0.0,0
2020-02-05,1.0,1.0,1.0,1.0,0.0,0
2020-02-06,1.0,1.0,1.0,1.0,0.0,0
2020-02-07,1.0,1.0,1.0,1.0,0.0,0
2020-02-10,1.0,1.0,1.0,1.0,0.0,0
2020-02-11,1.0,1.0,1.0,1.0,0.0,0
2020-02-12,1.0,1.0,1.0,1.0,0.0,0
2020-02-13,1.0,1.0,1.0,1.0,0.0,0
2020-02-14,1.0,1.0,1.0,1.0,0.0,0
2020-02-17,1.0,1.0,1.0,1.0,0.0,0
2020-02-18,1.0,1.0,1.0,1.0,0.0,0
2020-02-19,1.0,1.0,1.0,1.0,0.0,0
2020-02-20,1.0,1.0,1.0,1.0,0.0,0
2020-02-21,1.0,1.0,1.0,1.0,0.0,0
2020-02-27,1.0,1.0,1.0,1.0,0.0,0
2020-02-28,1.0,1.0,1.0,1.0,0.0,0
2020-03-02,1.0,1.0,1.0,1.0,0.0,0
2020-03-03,1.0,1.0,1.0,1.0,0.0,0
2020-03-04,1.0,1.0,1.0,1.0,0.0,0
2020-03-05,1.0,1.0,1.0,1.0,0.0,0
2020-03-06,1.0,1.0,1.0,1.0,0.0,0
2020-03-09,1.0,1.0,1.0,1.0,0.0,0
2020-03-10,1.0,1.0,1.0,1.0,0.0,0
2020-03-11,1.0,1.0,1.0,1.0,0.0,0
2020-03-12,1.0,1.0,1.0,1.0,0.0,0
2020-03-13,1.0,1.0,1.0,1.0,0.0,0
2020-03-16,1.0,1.0,1.0,1.0,0.0,0
2020-03-17,1.0,1.0,1.0,1.0,0.0,0
2020-03-18,1.0,1.0,1.0,1.0,0.0,0
2020-03-19,1.0,1.0,1.0,1.0,0.0,0
2020-03-20,1.0,1.0,1.0,1.0,0.0,0
2020-03-23,1.0,1.0,1.0,1.0,0.0,0
2020-03-24,1.0,1.0,1.0,1.0,0.0,0
2020-03-25,1.0,1.0,1.0,1.0,0.0,0
2020-03-26,1.0,1.0,1.0,1.0,0.0,0
2020-03-27,1.0,1.0,1.0,1.0,0.0,0
2020-03-30,1.0,1.0,1.0,1.0,0.0,0
2020-03-31,1.0,1.0,1.0,1.0,0.0,0
2020-04-01,1.0,1.0,1.0,1.0,0.0,0
2020-04-02,1.0,1.0,1.0,1.0,0.0,0
2020-04-03,1.0,1.0,1.0,1.0,0.0,0
2020-04-06,1.0,1.0,1.0,1.0,0.0,0
2020-04-07,1.0,1.0,1.0,1.0,0.0,0
2020-04-08,1.0,1.0,1.0,1.0,0.0,0
2020-04-09,1.0,1.0,1.0,1.0,0.0,0
2020-04-13,1.0,1.0,1.0,1.0,0.0,0
2020-04-14,1.0,1.0,1.0,1.0,0.0,0
2020-04-15,1.0,1.0,1.0,1.0,0.0,0
2020-04-16,1.0,1.0,1.0,1.0,0.0,0
2020-04-17,1.0,1.0,1.0,1.0,0.0,0
2020-04-20,1.0,1.0,1.0,1.0,0.0,0
2020-04-22,1.0,1.0,1.0,1.0,0.0,0
2020-04-23,1.0,1.0,1.0,1.0,0.0,0
2020-04-24,1.0,1.0,1.0,1.0,0.0,0
2020-04-27,1.0,1.0,1.0,1.0,0.0,0
2020-04-28,1.0,1.0,1.0,1.0,0.0,0
2020-04-29,1.0,1.0,1.0,1.0,0.0,0
2020-04-30,1.0,1.0,1.0,1.0,0.0,0
2020-05-04,1.0,1.0,1.0,1.0,0.0,0
2020-05-05,1.0,1.0,1.0,1.0,0.0,0
2020-05-06,1.0,1.0,1.0,1.0,0.0,0
2020-05-07,1.0,1.0,1.0,1.0,0.0,0
2020-05-08,1.0,1.0,1.0,1.0,0.0,0
2020-05-11,1.0,1.0,1.0,1.0,0.0,0
2020-05-12,1.0,1.0,1.0,1.0,0.0,0
2020-05-13,1.0,1.0,1.0,1.0,0.0,0
2020-05-14,1.0,1.0,1.0,1.0,0.0,0
2020-05-15,1.0,1.0,1.0,1.0,0.0,0
2020-05-18,1.0,1.0,1.0,1.0,0.0,0
2020-05-19,1.0,1.0,1.0,1.0,0.0,0
2020-05-20,1.0,1.0,1.0,1.0,0.0,0
2020-05-21,1.0,1.0,1.0,1.0,0.0,0
2020-05-22,1.0,1.0,1.0,1.0,0.0,0
2020-05-25,101.38,102.21,101.23,101.96,0.5721049516669963,459
2020-05-26,102.24,102.28,100.98,101.57,-0.6553208137715205,1863
2020-05-27,101.71,101.71,101.3,101.3,-0.4031068724805742,1508
2020-05-28,101.72,101.87,101.3,101.7,-0.019661816751859185,647
2020-05-29,101.85,101.86,101.3,101.86,0.009818360333824216,4222
2020-06-01,102.65,102.67,101.86,102.43,-0.2143205065757381,3145
2020-06-02,102.43,102.66,102.11,102.11,-0.3124084740798616,3830
2020-06-03,102.15,103.36,102.11,102.52,0.36221243269700665,4882
2020-06-04,102.11,102.87,102.11,102.48,0.36235432376849896,2369
2020-06-05,102.48,103.27,102.32,103.27,0.7708821233411323,1363
2020-06-08,106.43,106.43,103.59,103.78,-2.489899464436729,3366
2020-06-09,104.17,104.31,103.7,104.16,-0.009599692809836302,885
2020-06-10,104.16,104.18,103.74,103.78,-0.36482334869430977,1413
2020-06-12,105.0,105.0,103.36,103.77,-1.1714285714285788,1471
2020-06-15,103.77,104.83,103.31,104.65,0.8480292955574953,1115
2020-06-16,104.65,104.65,104.11,104.19,-0.4395604395604491,1857
2020-06-17,104.36,104.81,104.16,104.16,-0.19164430816405176,3011
2020-06-18,104.81,105.84,104.6,104.61,-0.1908214864993818,1655
