Date,Open,High,Low,Close,Variation,Volume
2000-07-24,30.0,30.0,4.5,4.5,-85.0,0.0
2000-07-25,30.0,30.0,4.5,4.5,-85.0,0.0
2000-07-26,30.0,30.0,4.5,4.5,-85.0,0.0
2000-07-27,30.0,30.0,4.5,4.5,-85.0,0.0
2000-07-28,30.0,30.0,4.5,4.5,-85.0,0.0
2000-07-31,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-01,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-02,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-03,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-04,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-07,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-08,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-09,30.0,30.0,3.0,3.0,-90.0,0.0
2000-08-10,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-11,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-14,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-15,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-16,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-17,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-18,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-21,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-22,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-23,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-24,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-25,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-28,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-29,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-30,30.0,30.0,4.5,4.5,-85.0,0.0
2000-08-31,30.0,30.0,4.5,4.5,-85.0,0.0
2000-09-01,30.0,30.0,4.5,4.5,-85.0,0.0
2000-09-04,30.0,30.0,4.5,4.5,-85.0,0.0
2000-09-05,30.0,30.0,4.5,4.5,-85.0,0.0
2000-09-06,30.0,30.0,4.5,4.5,-85.0,0.0
2000-09-07,4.5,4.5,4.5,4.5,0.0,0.0
2000-09-08,30.0,30.0,4.5,4.5,-85.0,0.0
2000-09-11,30.0,30.0,4.5,4.5,-85.0,0.0
2000-09-12,30.0,30.0,4.5,4.5,-85.0,0.0
2000-09-13,30.0,30.0,4.5,4.5,-85.0,0.0
2000-09-14,4.5,4.5,4.5,4.5,0.0,0.0
2000-09-15,4.5,4.5,4.5,4.5,0.0,0.0
2000-09-18,4.5,4.5,4.5,4.5,0.0,0.0
2000-09-19,4.5,4.5,4.5,4.5,0.0,0.0
2000-09-20,4.5,4.5,4.5,4.5,0.0,0.0
2000-09-21,4.5,4.5,4.5,4.5,0.0,0.0
2000-09-22,4.5,4.5,4.5,4.5,0.0,0.0
2000-09-25,4.5,4.5,4.5,4.5,0.0,0.0
2000-09-26,4.5,4.5,4.5,4.5,0.0,0.0
2000-09-27,4.5,4.5,4.5,4.5,0.0,0.0
2000-09-28,4.5,4.5,4.5,4.5,0.0,0.0
2000-09-29,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-02,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-03,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-04,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-05,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-06,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-09,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-10,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-11,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-12,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-13,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-16,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-17,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-18,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-19,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-20,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-23,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-24,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-25,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-26,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-27,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-30,4.5,4.5,4.5,4.5,0.0,0.0
2000-10-31,4.5,4.5,4.5,4.5,0.0,0.0
2000-11-01,4.5,4.5,4.5,4.5,0.0,0.0
2000-11-02,4.5,4.5,4.5,4.5,0.0,0.0
2000-11-03,4.5,4.5,4.5,4.5,0.0,0.0
2000-11-06,4.5,4.5,4.5,4.5,0.0,0.0
2000-11-07,4.5,4.5,4.5,4.5,0.0,0.0
2000-11-08,4.5,4.5,4.5,4.5,0.0,0.0
2000-11-09,4.5,4.5,4.5,4.5,0.0,0.0
2000-11-10,4.5,4.5,4.5,4.5,0.0,0.0
2000-11-13,4.5,4.5,4.5,4.5,0.0,0.0
2000-11-14,4.5,4.5,4.5,4.5,0.0,0.0
2000-11-15,4.5,4.5,4.5,4.5,0.0,0.0
2000-11-16,4.5,4.5,4.5,4.5,0.0,0.0
2000-11-17,4.5,4.5,4.5,4.5,0.0,0.0
2000-11-20,4.5,4.5,4.5,4.5,0.0,0.0
2000-11-21,4.5,4.5,4.5,4.5,0.0,0.0
2001-01-23,32.5,32.5,17.0,17.0,-47.692307692307686,0.0
2001-12-24,17.0,17.0,17.0,17.0,0.0,0.0
2001-12-25,17.0,17.0,17.0,17.0,0.0,0.0
2001-12-26,17.0,17.0,17.0,17.0,0.0,0.0
2001-12-27,17.0,17.0,17.0,17.0,0.0,0.0
2001-12-28,17.0,17.0,17.0,17.0,0.0,0.0
2001-12-31,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-01,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-02,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-03,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-04,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-07,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-08,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-09,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-10,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-11,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-14,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-15,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-16,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-17,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-18,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-21,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-22,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-23,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-24,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-25,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-28,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-29,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-30,17.0,17.0,17.0,17.0,0.0,0.0
2002-01-31,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-01,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-04,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-05,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-06,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-07,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-08,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-11,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-12,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-13,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-14,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-15,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-18,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-19,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-20,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-21,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-22,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-25,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-26,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-27,17.0,17.0,17.0,17.0,0.0,0.0
2002-02-28,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-01,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-04,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-05,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-06,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-07,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-08,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-11,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-12,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-13,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-14,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-15,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-18,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-19,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-20,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-21,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-22,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-25,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-26,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-27,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-28,17.0,17.0,17.0,17.0,0.0,0.0
2002-03-29,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-01,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-02,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-03,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-04,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-05,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-08,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-09,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-10,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-11,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-12,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-15,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-16,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-17,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-18,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-19,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-22,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-23,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-24,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-25,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-26,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-29,17.0,17.0,17.0,17.0,0.0,0.0
2002-04-30,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-01,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-02,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-03,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-06,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-07,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-08,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-09,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-10,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-13,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-14,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-15,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-16,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-17,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-20,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-21,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-22,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-23,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-24,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-27,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-28,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-29,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-30,17.0,17.0,17.0,17.0,0.0,0.0
2002-05-31,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-03,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-04,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-05,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-06,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-07,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-10,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-11,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-12,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-13,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-14,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-17,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-18,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-19,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-20,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-21,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-24,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-25,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-26,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-27,17.0,17.0,17.0,17.0,0.0,0.0
2002-06-28,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-01,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-02,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-03,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-04,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-05,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-08,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-09,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-10,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-11,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-12,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-15,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-16,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-17,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-18,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-19,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-22,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-23,17.0,17.0,17.0,17.0,0.0,0.0
2002-07-24,17.0,17.0,17.0,17.0,0.0,0.0
