Date,Open,High,Low,Close,Variation,Volume
2015-02-11,178.0,178.0,178.0,178.0,0.0,5
2015-02-12,178.0,178.0,178.0,178.0,0.0,0
2015-02-13,178.0,178.0,178.0,178.0,0.0,0
2015-02-18,178.0,178.0,178.0,178.0,0.0,0
2015-02-19,178.0,178.0,178.0,178.0,0.0,0
2015-02-20,178.0,178.0,178.0,178.0,0.0,0
2015-02-23,178.0,178.0,178.0,178.0,0.0,0
2015-02-24,178.0,178.0,178.0,178.0,0.0,0
2015-02-25,177.0,177.0,177.0,177.0,0.0,2
2015-02-26,177.0,177.0,177.0,177.0,0.0,0
2015-02-27,177.0,177.0,177.0,177.0,0.0,0
2015-03-02,177.0,177.0,177.0,177.0,0.0,0
2015-03-03,177.0,177.0,177.0,177.0,0.0,0
2015-03-04,177.0,177.0,177.0,177.0,0.0,0
2015-03-05,177.0,177.0,177.0,177.0,0.0,0
2015-03-06,177.0,177.0,177.0,177.0,0.0,0
2015-03-09,177.0,177.0,177.0,177.0,0.0,0
2015-03-10,177.0,177.0,177.0,177.0,0.0,0
2015-03-11,177.0,177.0,177.0,177.0,0.0,0
2015-03-12,177.0,177.0,177.0,177.0,0.0,0
2015-03-13,177.0,177.0,177.0,177.0,0.0,0
2015-03-16,177.0,177.0,177.0,177.0,0.0,0
2015-03-17,177.0,177.0,177.0,177.0,0.0,0
2015-03-18,177.0,177.0,177.0,177.0,0.0,0
2015-03-19,177.0,177.0,177.0,177.0,0.0,0
2015-03-20,177.0,177.0,177.0,177.0,0.0,0
2015-03-23,177.0,177.0,177.0,177.0,0.0,0
2015-03-24,177.0,177.0,177.0,177.0,0.0,0
2015-03-25,177.0,177.0,177.0,177.0,0.0,0
2015-03-26,177.0,177.0,177.0,177.0,0.0,0
2015-03-27,177.0,177.0,177.0,177.0,0.0,0
2015-03-30,177.0,177.0,177.0,177.0,0.0,0
2015-03-31,177.0,177.0,177.0,177.0,0.0,0
2015-04-01,177.0,177.0,177.0,177.0,0.0,0
2015-04-02,177.0,177.0,177.0,177.0,0.0,0
2015-04-06,177.0,177.0,177.0,177.0,0.0,0
2015-04-07,177.0,177.0,177.0,177.0,0.0,0
2015-04-08,177.0,177.0,177.0,177.0,0.0,0
2015-04-09,177.0,177.0,177.0,177.0,0.0,0
2015-04-10,177.0,177.0,177.0,177.0,0.0,0
2015-04-13,177.0,177.0,177.0,177.0,0.0,0
2015-04-14,176.0,176.0,176.0,176.0,0.0,3
2015-04-15,176.0,176.0,176.0,176.0,0.0,0
2015-04-16,176.0,176.0,176.0,176.0,0.0,0
2015-04-17,176.0,176.0,176.0,176.0,0.0,0
2015-04-20,176.0,176.0,176.0,176.0,0.0,0
2015-04-22,176.0,176.0,176.0,176.0,0.0,0
2015-04-23,176.0,176.0,176.0,176.0,0.0,0
2015-04-24,176.0,176.0,176.0,176.0,0.0,0
2015-04-27,176.0,176.0,176.0,176.0,0.0,0
2015-04-28,176.0,176.0,176.0,176.0,0.0,0
2015-04-29,176.0,176.0,176.0,176.0,0.0,0
2015-04-30,176.0,176.0,176.0,176.0,0.0,0
2015-05-04,176.0,176.0,176.0,176.0,0.0,0
2015-05-05,176.0,176.0,176.0,176.0,0.0,0
2015-05-06,176.0,176.0,176.0,176.0,0.0,0
2015-05-07,176.0,176.0,176.0,176.0,0.0,0
2015-05-08,176.0,176.0,176.0,176.0,0.0,0
2015-05-11,176.0,176.0,176.0,176.0,0.0,0
2015-05-12,176.0,176.0,176.0,176.0,0.0,0
2015-05-13,176.0,176.0,176.0,176.0,0.0,0
2015-05-14,176.0,176.0,176.0,176.0,0.0,0
2015-05-15,176.0,176.0,176.0,176.0,0.0,0
2015-05-18,176.0,176.0,176.0,176.0,0.0,0
2015-05-19,176.0,176.0,176.0,176.0,0.0,0
2015-05-20,176.0,176.0,176.0,176.0,0.0,0
2015-05-21,176.0,176.0,176.0,176.0,0.0,0
2015-05-22,176.0,176.0,176.0,176.0,0.0,0
2015-05-25,176.0,176.0,176.0,176.0,0.0,0
2015-05-26,176.0,176.0,176.0,176.0,0.0,0
2015-05-27,176.0,176.0,176.0,176.0,0.0,0
2015-05-28,176.0,176.0,176.0,176.0,0.0,0
2015-05-29,176.0,176.0,176.0,176.0,0.0,0
2015-06-01,176.0,176.0,176.0,176.0,0.0,0
2015-06-02,176.0,176.0,176.0,176.0,0.0,0
2015-06-03,176.0,176.0,176.0,176.0,0.0,0
2015-06-05,174.0,174.0,174.0,174.0,0.0,5
2015-06-08,174.0,174.0,174.0,174.0,0.0,0
2015-06-09,174.0,174.0,174.0,174.0,0.0,0
2015-06-10,174.0,174.0,174.0,174.0,0.0,2
2015-06-11,174.0,174.0,174.0,174.0,0.0,0
2015-06-12,174.0,174.0,174.0,174.0,0.0,0
2015-06-15,174.0,174.0,174.0,174.0,0.0,0
2015-06-16,174.0,174.0,174.0,174.0,0.0,0
2015-06-17,174.0,174.0,174.0,174.0,0.0,0
2015-06-18,174.0,174.0,174.0,174.0,0.0,0
2015-06-19,174.0,174.0,174.0,174.0,0.0,0
2015-06-22,174.0,174.0,174.0,174.0,0.0,0
2015-06-23,174.0,174.0,174.0,174.0,0.0,0
2015-06-24,174.0,174.0,174.0,174.0,0.0,0
2015-06-25,174.0,174.0,174.0,174.0,0.0,0
2015-06-26,174.0,174.0,174.0,174.0,0.0,0
2015-06-29,174.0,174.0,174.0,174.0,0.0,0
2015-06-30,174.0,174.0,174.0,174.0,0.0,0
2015-07-01,174.0,174.0,174.0,174.0,0.0,0
2015-07-02,174.0,174.0,174.0,174.0,0.0,0
2015-07-03,174.0,174.0,174.0,174.0,0.0,0
2015-07-06,174.0,174.0,174.0,174.0,0.0,0
2015-07-07,174.0,174.0,174.0,174.0,0.0,0
2015-07-08,174.0,174.0,174.0,174.0,0.0,0
2015-07-10,174.0,174.0,174.0,174.0,0.0,0
2015-07-13,174.0,174.0,174.0,174.0,0.0,0
2015-07-14,174.0,174.0,174.0,174.0,0.0,0
2015-07-15,174.0,174.0,174.0,174.0,0.0,0
2015-07-16,174.0,174.0,174.0,174.0,0.0,0
2015-07-17,174.0,174.0,174.0,174.0,0.0,0
2015-07-20,174.0,174.0,174.0,174.0,0.0,0
2015-07-21,174.0,174.0,174.0,174.0,0.0,0
2015-07-22,174.0,174.0,174.0,174.0,0.0,0
2015-07-23,174.0,174.0,174.0,174.0,0.0,0
2015-07-24,174.0,174.0,174.0,174.0,0.0,0
2015-07-27,174.0,174.0,174.0,174.0,0.0,0
2015-07-28,174.0,174.0,174.0,174.0,0.0,0
2015-07-29,174.0,174.0,174.0,174.0,0.0,0
2015-07-30,174.0,174.0,174.0,174.0,0.0,0
2015-07-31,174.0,174.0,174.0,174.0,0.0,0
2015-08-03,174.0,174.0,174.0,174.0,0.0,5
2015-08-04,174.0,174.0,174.0,174.0,0.0,0
2015-08-05,174.0,174.0,174.0,174.0,0.0,0
2015-08-06,174.0,174.0,174.0,174.0,0.0,0
2015-08-07,174.0,174.0,174.0,174.0,0.0,0
