Date,Open,High,Low,Close,Variation,Volume
2000-11-22,50.0,50.0,50.0,50.0,0.0,2
2001-01-24,50.0,50.0,50.0,50.0,0.0,20
2001-01-30,55.0,55.0,55.0,55.0,0.0,0
2001-07-17,50.0,50.0,50.0,50.0,0.0,20
2001-08-10,50.0,50.0,50.0,50.0,0.0,20
2001-11-30,50.0,50.0,50.0,50.0,0.0,144
2001-12-24,50.0,50.0,50.0,50.0,0.0,0
2001-12-25,50.0,50.0,50.0,50.0,0.0,0
2001-12-26,50.0,50.0,50.0,50.0,0.0,0
2001-12-27,50.0,50.0,50.0,50.0,0.0,0
2001-12-28,50.0,50.0,50.0,50.0,0.0,0
2001-12-31,50.0,50.0,50.0,50.0,0.0,0
2002-01-01,50.0,50.0,50.0,50.0,0.0,0
2002-01-02,50.0,50.0,50.0,50.0,0.0,0
2002-01-03,50.0,50.0,50.0,50.0,0.0,0
2002-01-04,50.0,50.0,50.0,50.0,0.0,0
2002-01-07,50.0,50.0,50.0,50.0,0.0,0
2002-01-08,50.0,50.0,50.0,50.0,0.0,0
2002-01-09,50.0,50.0,50.0,50.0,0.0,0
2002-01-10,50.0,50.0,50.0,50.0,0.0,0
2002-01-11,50.0,50.0,50.0,50.0,0.0,0
2002-01-14,50.0,50.0,50.0,50.0,0.0,0
2002-01-15,50.0,50.0,50.0,50.0,0.0,0
2002-01-16,50.0,50.0,50.0,50.0,0.0,0
2002-01-17,50.0,50.0,50.0,50.0,0.0,0
2002-01-18,50.0,50.0,50.0,50.0,0.0,0
2002-01-21,50.0,50.0,50.0,50.0,0.0,0
2002-01-22,50.0,50.0,50.0,50.0,0.0,0
2002-01-23,50.0,50.0,50.0,50.0,0.0,0
2002-01-24,50.0,50.0,50.0,50.0,0.0,0
2002-01-25,50.0,50.0,50.0,50.0,0.0,0
2002-01-28,50.0,50.0,50.0,50.0,0.0,0
2002-01-29,50.0,50.0,50.0,50.0,0.0,0
2002-01-30,50.0,50.0,50.0,50.0,0.0,0
2002-01-31,50.0,50.0,50.0,50.0,0.0,0
2002-02-01,50.0,50.0,50.0,50.0,0.0,0
2002-02-04,50.0,50.0,50.0,50.0,0.0,0
2002-02-05,50.0,50.0,50.0,50.0,0.0,0
2002-02-06,50.0,50.0,50.0,50.0,0.0,0
2002-02-07,50.0,50.0,50.0,50.0,0.0,0
2002-02-08,50.0,50.0,50.0,50.0,0.0,0
2002-02-11,50.0,50.0,50.0,50.0,0.0,0
2002-02-12,50.0,50.0,50.0,50.0,0.0,0
2002-02-13,50.0,50.0,50.0,50.0,0.0,0
2002-02-14,50.0,50.0,50.0,50.0,0.0,0
2002-02-15,50.0,50.0,50.0,50.0,0.0,0
2002-02-18,50.0,50.0,50.0,50.0,0.0,0
2002-02-19,50.0,50.0,50.0,50.0,0.0,0
2002-02-20,50.0,50.0,50.0,50.0,0.0,0
2002-02-21,50.0,50.0,50.0,50.0,0.0,0
2002-02-22,50.0,50.0,50.0,50.0,0.0,0
2002-02-25,50.0,50.0,50.0,50.0,0.0,0
2002-02-26,50.0,50.0,50.0,50.0,0.0,0
2002-02-27,50.0,50.0,50.0,50.0,0.0,0
2002-02-28,50.0,50.0,50.0,50.0,0.0,0
2002-03-01,50.0,50.0,50.0,50.0,0.0,0
2002-03-04,50.0,50.0,50.0,50.0,0.0,0
2002-03-05,50.0,50.0,50.0,50.0,0.0,0
2002-03-06,50.0,50.0,50.0,50.0,0.0,0
2002-03-07,50.0,50.0,50.0,50.0,0.0,0
2002-03-08,50.0,50.0,50.0,50.0,0.0,0
2002-03-11,50.0,50.0,50.0,50.0,0.0,0
2002-03-12,50.0,50.0,50.0,50.0,0.0,0
2002-03-13,50.0,50.0,50.0,50.0,0.0,0
2002-03-14,50.0,50.0,50.0,50.0,0.0,0
2002-03-15,50.0,50.0,50.0,50.0,0.0,0
2002-03-18,50.0,50.0,50.0,50.0,0.0,0
2002-03-19,50.0,50.0,50.0,50.0,0.0,0
2002-03-20,50.0,50.0,50.0,50.0,0.0,0
2002-03-21,50.0,50.0,50.0,50.0,0.0,0
2002-03-22,50.0,50.0,50.0,50.0,0.0,0
2002-03-25,50.0,50.0,50.0,50.0,0.0,0
2002-03-26,50.0,50.0,50.0,50.0,0.0,0
2002-03-27,50.0,50.0,50.0,50.0,0.0,0
2002-03-28,50.0,50.0,50.0,50.0,0.0,0
