Date,Open,High,Low,Close,Variation,Volume
2014-08-07,117.01000213623047,118.0,115.0999984741211,115.0999984741211,-1.6323422162539791,49
2014-08-08,116.69999694824219,116.69999694824219,116.69999694824219,116.69999694824219,0.0,8
2014-08-11,115.0999984741211,115.0999984741211,115.0999984741211,115.0999984741211,0.0,95
2014-08-12,117.0,117.0,111.12000274658203,111.12000274658203,-5.025638678135014,212
2014-08-13,111.12000274658203,111.12000274658203,111.12000274658203,111.12000274658203,0.0,0
2014-08-14,116.5,116.5,116.5,116.5,0.0,5
2014-08-15,116.5,122.0,116.5,122.0,4.7210300429184615,375
2014-08-18,122.0,122.0,122.0,122.0,0.0,0
2014-08-19,122.0,122.0,122.0,122.0,0.0,0
2014-08-20,121.98999786376953,121.98999786376953,121.98999786376953,121.98999786376953,0.0,4
2014-08-21,123.0,123.0,123.0,123.0,0.0,5
2014-08-22,123.0,123.0,123.0,123.0,0.0,0
2014-08-25,123.0,123.0,123.0,123.0,0.0,0
2014-08-26,123.0,123.0,123.0,123.0,0.0,0
2014-08-27,123.0,123.0,123.0,123.0,0.0,0
2014-08-28,123.0,123.0,123.0,123.0,0.0,0
2014-08-29,123.0,123.0,123.0,123.0,0.0,0
2014-09-01,123.0,123.0,123.0,123.0,0.0,0
2014-09-02,115.01000213623047,115.01000213623047,115.01000213623047,115.01000213623047,0.0,126
2014-09-03,115.01000213623047,115.01000213623047,115.01000213623047,115.01000213623047,0.0,0
2014-09-04,115.0,117.9000015258789,115.0,117.9000015258789,2.5217404572860147,41
2014-09-05,111.05000305175781,111.05000305175781,111.05000305175781,111.05000305175781,0.0,9
2014-09-08,111.05000305175781,111.05000305175781,111.05000305175781,111.05000305175781,0.0,0
2014-09-09,111.05000305175781,111.05000305175781,111.05000305175781,111.05000305175781,0.0,0
2014-09-10,111.05000305175781,111.05000305175781,111.05000305175781,111.05000305175781,0.0,0
2014-09-11,111.05000305175781,111.05000305175781,111.05000305175781,111.05000305175781,0.0,0
2014-09-12,111.2300033569336,111.2300033569336,111.2300033569336,111.2300033569336,0.0,100
2014-09-15,111.2300033569336,111.2300033569336,111.2300033569336,111.2300033569336,0.0,4
2014-09-16,112.0,112.0,112.0,112.0,0.0,9
2014-09-17,115.0,115.0,115.0,115.0,0.0,20
2014-09-18,115.0,115.0,115.0,115.0,0.0,0
2014-09-19,114.0,114.0,113.0,113.0,-0.8771929824561431,83
2014-09-22,114.9800033569336,114.9800033569336,114.9800033569336,114.9800033569336,0.0,2
2014-09-23,120.0,120.0,120.0,120.0,0.0,201
2014-09-24,120.0,120.0,120.0,120.0,0.0,0
2014-09-25,120.0,120.0,120.0,120.0,0.0,0
2014-09-26,120.0,120.0,120.0,120.0,0.0,0
2014-09-29,120.0,120.0,120.0,120.0,0.0,0
2014-09-30,120.0,120.0,120.0,120.0,0.0,0
2014-10-01,120.0,120.0,120.0,120.0,0.0,0
2014-10-02,120.0,120.0,120.0,120.0,0.0,0
2014-10-03,120.0,120.0,120.0,120.0,0.0,0
2014-10-06,120.0,120.0,120.0,120.0,0.0,0
2014-10-07,120.0,120.0,120.0,120.0,0.0,0
2014-10-08,120.0,120.0,120.0,120.0,0.0,0
2014-10-09,120.0,120.0,120.0,120.0,0.0,0
2014-10-10,113.05000305175781,113.05000305175781,113.04000091552734,113.04000091552734,-0.008847532915046141,54
2014-10-13,113.04000091552734,113.04000091552734,113.04000091552734,113.04000091552734,0.0,0
2014-10-14,113.04000091552734,113.04000091552734,113.04000091552734,113.04000091552734,0.0,0
2014-10-15,113.04000091552734,113.04000091552734,113.04000091552734,113.04000091552734,0.0,0
2014-10-16,113.04000091552734,113.04000091552734,113.04000091552734,113.04000091552734,0.0,0
2014-10-17,113.04000091552734,113.04000091552734,113.04000091552734,113.04000091552734,0.0,0
2014-10-20,113.04000091552734,113.04000091552734,113.04000091552734,113.04000091552734,0.0,0
2014-10-21,119.69999694824219,119.69999694824219,119.69999694824219,119.69999694824219,0.0,3
2014-10-22,112.05999755859375,112.05999755859375,112.05000305175781,112.05000305175781,-0.008918889035947064,55
2014-10-23,113.0,113.0,112.05000305175781,112.05000305175781,-0.8407052639311408,2155
2014-10-24,112.05000305175781,112.05000305175781,112.05000305175781,112.05000305175781,0.0,0
2014-10-27,112.05000305175781,112.05000305175781,112.05000305175781,112.05000305175781,0.0,0
2014-10-28,112.05000305175781,112.05000305175781,112.05000305175781,112.05000305175781,0.0,0
2014-10-29,112.05000305175781,112.05000305175781,112.05000305175781,112.05000305175781,0.0,0
2014-10-30,113.80000305175781,113.80000305175781,113.80000305175781,113.80000305175781,0.0,60
2014-10-31,113.80000305175781,113.80000305175781,113.80000305175781,113.80000305175781,0.0,0
2014-11-03,113.0,113.0,113.0,113.0,0.0,840
2014-11-04,112.0,112.0,110.0199966430664,110.0199966430664,-1.7678601401192817,1011
2014-11-05,112.0,112.0,112.0,112.0,0.0,765
2014-11-06,112.0,112.0,112.0,112.0,0.0,0
2014-11-07,112.0,112.0,112.0,112.0,0.0,42
2014-11-10,112.0,112.0,112.0,112.0,0.0,0
2014-11-11,112.0,112.0,112.0,112.0,0.0,0
2014-11-12,112.0,112.0,112.0,112.0,0.0,1000
2014-11-13,112.0,112.0,100.04000091552734,112.0,0.0,1451
2014-11-14,112.0,112.0,111.0,111.0,-0.8928571428571397,633
2014-11-17,111.0,111.0,110.0,110.0,-0.9009009009009028,3030
2014-11-18,111.0,111.0,110.0,110.0,-0.9009009009009028,3040
2014-11-19,111.0,111.0,110.0,110.0,-0.9009009009009028,3000
2014-11-21,110.5,110.5,110.0,110.33000183105469,-0.15384449678308432,3003
2014-11-24,110.33000183105469,110.33000183105469,110.33000183105469,110.33000183105469,0.0,0
2014-11-25,110.33000183105469,110.33000183105469,110.33000183105469,110.33000183105469,0.0,0
2014-11-26,110.33000183105469,110.33000183105469,110.33000183105469,110.33000183105469,0.0,0
2014-11-27,110.33000183105469,110.33000183105469,110.33000183105469,110.33000183105469,0.0,0
2014-11-28,110.33000183105469,110.33000183105469,110.33000183105469,110.33000183105469,0.0,0
2014-12-01,110.33000183105469,110.33000183105469,110.33000183105469,110.33000183105469,0.0,0
2014-12-02,110.33000183105469,110.33000183105469,110.33000183105469,110.33000183105469,0.0,0
2014-12-03,110.0,110.0,110.0,110.0,0.0,120
2014-12-04,110.0,110.0,110.0,110.0,0.0,0
2014-12-05,110.0,110.0,110.0,110.0,0.0,0
2014-12-08,110.0,110.0,110.0,110.0,0.0,0
2014-12-09,110.0,110.0,110.0,110.0,0.0,0
2014-12-10,110.0,110.0,110.0,110.0,0.0,0
2014-12-11,110.0,110.0,110.0,110.0,0.0,0
2014-12-12,110.0,110.0,110.0,110.0,0.0,0
2014-12-15,110.0,110.0,110.0,110.0,0.0,0
2014-12-16,110.0,110.0,110.0,110.0,0.0,0
2014-12-17,100.16000366210938,105.0,100.16000366210938,105.0,4.832264537667541,1020
2014-12-18,105.0,105.0,105.0,105.0,0.0,0
2014-12-19,105.0,105.0,105.0,105.0,0.0,0
2014-12-22,105.0,105.0,105.0,105.0,0.0,0
2014-12-23,105.0,105.0,105.0,105.0,0.0,0
2014-12-26,105.0,105.0,105.0,105.0,0.0,0
2014-12-29,104.0,104.0,104.0,104.0,0.0,150
2014-12-30,107.5,107.5,107.5,107.5,0.0,92
2015-01-02,107.5,107.5,107.5,107.5,0.0,0
2015-01-05,105.0,110.0,102.02999877929688,109.87999725341797,4.647616431826629,932
2015-01-06,109.87999725341797,109.87999725341797,109.87999725341797,109.87999725341797,0.0,0
2015-01-07,109.87999725341797,109.87999725341797,109.87999725341797,109.87999725341797,0.0,0
2015-01-08,109.87999725341797,109.87999725341797,109.87999725341797,109.87999725341797,0.0,0
2015-01-09,102.05999755859375,102.05999755859375,102.05000305175781,102.05000305175781,-0.009792775891648287,31
2015-01-12,102.05000305175781,102.05000305175781,102.05000305175781,102.05000305175781,0.0,0
2015-01-13,102.05000305175781,102.05000305175781,102.05000305175781,102.05000305175781,0.0,0
2015-01-14,102.05000305175781,102.05000305175781,102.05000305175781,102.05000305175781,0.0,0
2015-01-15,102.05000305175781,102.05000305175781,102.05000305175781,102.05000305175781,0.0,0
2015-01-16,105.98999786376953,105.98999786376953,105.98999786376953,105.98999786376953,0.0,52
2015-01-19,105.98999786376953,105.98999786376953,105.98999786376953,105.98999786376953,0.0,102
2015-01-20,105.98999786376953,105.98999786376953,105.98999786376953,105.98999786376953,0.0,0
2015-01-21,105.98999786376953,105.98999786376953,105.98999786376953,105.98999786376953,0.0,0
2015-01-22,102.0,102.0,102.0,102.0,0.0,14
2015-01-23,102.0,102.0,102.0,102.0,0.0,0
2015-01-26,102.0,102.0,102.0,102.0,0.0,7
2015-01-27,105.9800033569336,105.9800033569336,105.9800033569336,105.9800033569336,0.0,275
2015-01-28,105.9800033569336,106.19999694824219,105.9800033569336,106.19999694824219,0.20758028339333823,339
2015-01-29,106.19999694824219,106.19999694824219,106.19999694824219,106.19999694824219,0.0,0
2015-01-30,105.0,106.19999694824219,105.0,106.19999694824219,1.1428542364211314,68463
2015-02-02,106.19999694824219,106.19999694824219,106.19999694824219,106.19999694824219,0.0,0
2015-02-03,106.19999694824219,106.19999694824219,106.19999694824219,106.19999694824219,0.0,0
2015-02-04,104.0999984741211,104.0999984741211,104.0999984741211,104.0999984741211,0.0,200
2015-02-05,104.0999984741211,104.0999984741211,104.0999984741211,104.0999984741211,0.0,0
2015-02-06,106.0,106.0,105.5,105.5,-0.4716981132075526,700
2015-02-09,103.0,103.0,103.0,103.0,0.0,193
