Date,Open,High,Low,Close,Variation,Volume
2000-02-23,22.5,34.5,22.5,22.5,0.0,0
2000-02-24,22.5,34.5,22.5,22.5,0.0,0
2000-02-25,22.5,34.5,22.5,22.5,0.0,0
2000-02-28,22.5,22.5,22.5,22.5,0.0,0
2000-02-29,22.5,22.5,22.5,22.5,0.0,0
2000-03-01,22.5,35.0,22.5,22.5,0.0,0
2000-03-02,22.5,32.5,22.5,22.5,0.0,0
2000-03-03,22.5,32.5,22.5,22.5,0.0,0
2000-03-06,22.5,22.5,22.5,22.5,0.0,0
2000-03-07,22.5,22.5,22.5,22.5,0.0,0
2000-03-08,22.5,32.5,22.5,22.5,0.0,0
2000-03-09,22.5,32.5,22.5,22.5,0.0,0
2000-03-10,22.5,32.5,22.5,22.5,0.0,0
2000-03-13,22.5,32.5,22.5,22.5,0.0,0
2000-03-14,22.5,32.5,22.5,22.5,0.0,0
2000-03-15,22.5,30.0,22.5,22.5,0.0,0
2000-03-16,22.5,22.5,22.5,22.5,0.0,0
2000-03-17,22.5,22.5,22.5,22.5,0.0,0
2000-03-20,22.5,22.5,22.5,22.5,0.0,0
2000-03-21,22.5,22.5,22.5,22.5,0.0,0
2000-03-22,22.5,22.5,22.5,22.5,0.0,0
2000-03-23,22.5,22.5,22.5,22.5,0.0,0
2000-03-24,22.5,22.5,22.5,22.5,0.0,0
2000-03-27,22.5,22.5,22.5,22.5,0.0,0
2000-03-28,22.5,22.5,22.5,22.5,0.0,0
2000-03-29,22.5,22.5,22.5,22.5,0.0,0
2000-03-30,22.5,22.5,22.5,22.5,0.0,0
2000-03-31,22.5,22.5,22.5,22.5,0.0,0
2000-04-03,22.5,22.5,22.5,22.5,0.0,0
2000-04-04,22.5,22.5,22.5,22.5,0.0,0
2000-04-05,22.5,22.5,22.5,22.5,0.0,0
2000-04-06,22.5,22.5,22.5,22.5,0.0,0
2000-04-07,22.5,32.5,22.5,22.5,0.0,0
2000-04-10,22.5,27.5,22.5,22.5,0.0,0
2000-04-11,22.5,30.0,22.5,22.5,0.0,0
2000-04-12,22.5,30.0,22.5,22.5,0.0,0
2000-04-13,22.5,22.5,22.5,22.5,0.0,0
2000-04-14,22.5,22.5,22.5,22.5,0.0,0
2000-04-17,22.5,22.5,22.5,22.5,0.0,0
2000-04-18,22.5,22.5,22.5,22.5,0.0,0
2000-04-19,22.5,22.5,22.5,22.5,0.0,0
2000-04-20,22.5,22.5,22.5,22.5,0.0,0
2000-04-21,22.5,22.5,22.5,22.5,0.0,0
2000-04-24,22.5,22.5,22.5,22.5,0.0,0
2000-04-25,22.5,22.5,22.5,22.5,0.0,0
2000-04-26,22.5,22.5,22.5,22.5,0.0,0
2000-04-27,22.5,22.5,22.5,22.5,0.0,0
2000-04-28,22.5,22.5,22.5,22.5,0.0,0
2000-05-01,22.5,22.5,22.5,22.5,0.0,0
2000-05-02,22.5,22.5,22.5,22.5,0.0,0
2000-05-03,25.0,25.0,25.0,25.0,0.0,1180
2000-05-04,25.0,25.0,25.0,25.0,0.0,0
2000-05-05,22.5,25.0,22.5,22.5,0.0,0
2000-05-08,24.950000762939453,25.0,24.950000762939453,25.0,0.20039773760174295,280
2000-05-09,25.0,25.0,25.0,25.0,0.0,0
2000-05-10,25.0,25.0,25.0,25.0,0.0,0
2000-05-11,25.0,25.0,25.0,25.0,0.0,0
2000-05-12,25.0,25.0,25.0,25.0,0.0,0
2000-05-15,25.0,25.0,25.0,25.0,0.0,0
2000-05-16,25.0,25.0,25.0,25.0,0.0,0
2000-05-17,25.0,25.0,25.0,25.0,0.0,0
2000-05-18,22.5,30.0,22.5,22.5,0.0,0
2000-05-19,17.5,30.0,17.5,17.5,0.0,0
2000-05-22,17.5,30.0,17.5,17.5,0.0,0
2000-05-23,25.0,25.0,25.0,25.0,0.0,80
2000-05-24,21.5,30.0,21.5,21.5,0.0,0
2000-05-25,21.5,30.0,21.5,21.5,0.0,0
2000-05-26,21.5,30.0,21.5,21.5,0.0,0
2000-05-29,21.5,30.0,21.5,21.5,0.0,0
2000-05-30,21.5,30.0,21.5,21.5,0.0,0
2000-05-31,24.0,30.0,24.0,24.0,0.0,0
2000-06-01,24.0,30.0,24.0,24.0,0.0,0
2000-06-02,24.0,24.0,24.0,24.0,0.0,220
2000-06-05,17.5,30.0,17.5,17.5,0.0,0
2000-06-06,17.5,17.5,17.5,17.5,0.0,0
2000-06-07,17.5,30.0,17.5,17.5,0.0,0
2000-06-08,17.5,30.0,17.5,17.5,0.0,0
2000-06-09,17.5,30.0,17.5,17.5,0.0,0
2000-06-12,17.5,30.0,17.5,17.5,0.0,0
2000-06-13,17.5,30.0,17.5,17.5,0.0,0
2000-06-14,20.0,30.0,20.0,20.0,0.0,0
2000-06-15,22.5,30.0,22.5,22.5,0.0,0
2000-06-16,22.5,30.0,22.5,22.5,0.0,0
2000-06-19,20.0,30.0,20.0,20.0,0.0,0
2000-06-20,20.0,30.0,20.0,20.0,0.0,0
2000-06-21,22.5,30.0,22.5,22.5,0.0,0
2000-06-22,22.5,22.5,22.5,22.5,0.0,0
2000-06-23,22.5,30.0,22.5,22.5,0.0,0
2000-06-26,22.5,30.0,22.5,22.5,0.0,0
2000-06-27,22.5,30.0,22.5,22.5,0.0,0
2000-06-28,22.5,30.0,22.5,22.5,0.0,0
2000-06-29,22.5,30.0,22.5,22.5,0.0,0
2000-06-30,22.5,30.0,22.5,22.5,0.0,0
2000-07-03,17.5,30.0,17.5,17.5,0.0,0
2000-07-04,17.5,30.0,17.5,17.5,0.0,0
2000-07-05,24.0,24.0,24.0,24.0,0.0,100
2000-07-06,17.5,30.0,17.5,17.5,0.0,0
2000-07-07,17.5,30.0,17.5,17.5,0.0,0
2000-07-10,17.5,24.0,17.5,17.5,0.0,0
2000-07-11,17.5,22.5,17.5,17.5,0.0,0
2000-07-12,17.5,22.5,17.5,17.5,0.0,0
2000-07-13,17.5,22.5,17.5,17.5,0.0,0
2000-07-14,17.5,22.5,17.5,17.5,0.0,0
2000-07-17,17.5,22.5,17.5,17.5,0.0,0
2000-07-18,17.5,22.5,17.5,17.5,0.0,0
2000-07-19,17.5,22.5,17.5,17.5,0.0,0
2000-07-20,17.5,30.0,17.5,17.5,0.0,0
2000-07-21,24.0,24.0,24.0,24.0,0.0,1320
2000-07-24,17.5,30.0,17.5,17.5,0.0,0
2000-07-25,17.5,30.0,17.5,17.5,0.0,0
2000-07-26,17.5,25.0,17.5,17.5,0.0,0
2000-07-27,22.5,22.5,22.5,22.5,0.0,1000
2000-07-28,21.0,21.0,21.0,21.0,0.0,100
2000-07-31,21.049999237060547,22.5,21.049999237060547,21.049999237060547,0.0,0
2000-08-01,21.049999237060547,21.049999237060547,21.0,21.0,-0.23752607540488135,140
2000-08-02,17.5,22.5,17.5,17.5,0.0,0
2000-08-03,17.5,22.5,17.5,17.5,0.0,0
2000-08-04,21.0,21.0,21.0,21.0,0.0,60
2000-08-07,21.0,21.0,20.5,20.5,-2.3809523809523836,100
2000-08-08,22.5,22.5,22.5,22.5,0.0,840
2000-08-09,22.5,30.0,22.5,22.5,0.0,0
2000-08-10,22.5,30.0,22.5,22.5,0.0,0
2000-08-11,22.5,30.0,22.5,22.5,0.0,0
2000-08-14,22.5,30.0,22.5,22.5,0.0,0
2000-08-15,22.5,22.5,22.5,22.5,0.0,200
2000-08-16,22.5,30.0,22.5,22.5,0.0,0
2000-08-17,22.5,30.0,22.5,22.5,0.0,0
2000-08-18,20.5,30.0,20.5,20.5,0.0,0
2000-08-21,22.5,22.5,22.5,22.5,0.0,100
2000-08-22,22.5,30.0,22.5,22.5,0.0,0
2000-08-23,22.5,30.0,22.5,22.5,0.0,0
2000-08-24,22.5,30.0,22.5,22.5,0.0,0
2000-08-25,22.5,30.0,22.5,22.5,0.0,0
2000-08-28,22.5,22.5,22.5,22.5,0.0,20
2000-08-29,22.5,29.5,22.5,22.5,0.0,0
2000-08-30,22.5,30.0,22.5,22.5,0.0,0
2000-08-31,24.950000762939453,24.950000762939453,24.950000762939453,24.950000762939453,0.0,60
2000-09-01,22.5,30.0,22.5,22.5,0.0,0
2000-09-04,24.0,30.0,24.0,24.0,0.0,0
2000-09-05,24.0,30.0,24.0,24.0,0.0,0
2000-09-06,22.5,30.0,22.5,22.5,0.0,0
2000-09-07,22.5,22.5,22.5,22.5,0.0,0
2000-09-08,22.5,22.5,22.5,22.5,0.0,0
2000-09-11,22.5,30.0,22.5,22.5,0.0,0
2000-09-12,23.0,30.0,23.0,23.0,0.0,0
2000-09-13,22.549999237060547,30.0,22.549999237060547,22.549999237060547,0.0,0
2000-09-14,22.549999237060547,30.0,22.549999237060547,22.549999237060547,0.0,0
2000-09-15,22.5,29.899999618530273,22.5,22.5,0.0,0
2000-09-18,22.5,29.899999618530273,22.5,22.5,0.0,0
2000-09-19,22.5,29.899999618530273,22.5,22.5,0.0,0
2000-09-20,22.5,29.899999618530273,22.5,22.5,0.0,0
2000-09-21,22.5,29.899999618530273,22.5,22.5,0.0,0
2000-09-22,20.5,29.899999618530273,20.5,20.5,0.0,0
2000-09-25,21.0,29.899999618530273,21.0,21.0,0.0,0
2000-09-26,20.549999237060547,29.899999618530273,20.549999237060547,20.549999237060547,0.0,0
2000-09-27,20.549999237060547,29.899999618530273,20.549999237060547,20.549999237060547,0.0,0
2000-09-28,20.549999237060547,29.899999618530273,20.549999237060547,20.549999237060547,0.0,0
2000-09-29,20.549999237060547,29.899999618530273,20.549999237060547,20.549999237060547,0.0,0
2000-10-02,20.549999237060547,29.899999618530273,20.549999237060547,20.549999237060547,0.0,0
2000-10-03,20.549999237060547,29.899999618530273,20.549999237060547,20.549999237060547,0.0,0
2000-10-04,20.5,29.899999618530273,20.5,20.5,0.0,0
2000-10-05,20.5,20.5,20.5,20.5,0.0,0
2000-10-06,20.549999237060547,29.899999618530273,20.549999237060547,20.549999237060547,0.0,0
2000-10-09,20.600000381469727,29.899999618530273,20.600000381469727,20.600000381469727,0.0,0
2000-10-10,20.75,29.899999618530273,20.75,20.75,0.0,0
2000-10-11,21.299999237060547,29.899999618530273,21.299999237060547,21.299999237060547,0.0,0
2000-10-12,21.299999237060547,21.299999237060547,21.299999237060547,21.299999237060547,0.0,0
2000-10-13,21.75,29.899999618530273,21.75,21.75,0.0,0
2000-10-16,21.75,21.75,21.75,21.75,0.0,0
2000-10-17,21.75,21.75,21.75,21.75,0.0,0
2000-10-18,21.75,21.75,21.75,21.75,0.0,0
2000-10-19,21.75,21.75,21.75,21.75,0.0,0
2000-10-20,21.75,21.75,21.75,21.75,0.0,0
2000-10-23,21.75,21.75,21.75,21.75,0.0,0
2000-10-24,21.75,21.75,21.75,21.75,0.0,0
2000-10-25,21.450000762939453,21.450000762939453,21.450000762939453,21.450000762939453,0.0,120
2000-10-26,21.450000762939453,21.450000762939453,21.450000762939453,21.450000762939453,0.0,0
2000-10-27,21.450000762939453,21.450000762939453,21.450000762939453,21.450000762939453,0.0,0
2000-10-30,21.450000762939453,21.450000762939453,21.450000762939453,21.450000762939453,0.0,0
2000-10-31,21.450000762939453,21.450000762939453,21.450000762939453,21.450000762939453,0.0,0
2000-11-01,21.450000762939453,21.450000762939453,21.450000762939453,21.450000762939453,0.0,0
2000-11-02,21.450000762939453,21.450000762939453,21.450000762939453,21.450000762939453,0.0,0
2000-11-03,21.450000762939453,21.450000762939453,21.450000762939453,21.450000762939453,0.0,0
2000-11-06,23.0,23.0,23.0,23.0,0.0,60
2000-11-07,23.0,23.0,23.0,23.0,0.0,0
2000-11-08,23.0,23.0,23.0,23.0,0.0,0
2000-11-09,23.0,23.0,23.0,23.0,0.0,0
2000-11-10,23.0,23.0,23.0,23.0,0.0,0
2000-11-13,23.0,23.0,23.0,23.0,0.0,0
2000-11-14,23.0,23.0,23.0,23.0,0.0,0
2000-11-15,23.0,23.0,23.0,23.0,0.0,0
2000-11-16,23.0,23.0,23.0,23.0,0.0,0
2000-11-17,23.0,23.0,23.0,23.0,0.0,0
2000-11-20,23.0,23.0,23.0,23.0,0.0,0
2000-11-21,23.0,23.0,23.0,23.0,0.0,0
2000-11-22,21.0,30.0,21.0,21.0,0.0,0
2000-11-23,21.0,30.0,21.0,21.0,0.0,0
2000-11-24,21.0,30.0,21.0,21.0,0.0,0
2000-11-27,21.0,30.0,21.0,21.0,0.0,0
2000-11-28,21.0,30.0,21.0,21.0,0.0,0
2000-11-29,21.0,30.0,21.0,21.0,0.0,0
2000-11-30,21.0,30.0,21.0,21.0,0.0,0
2000-12-01,21.0,30.0,21.0,21.0,0.0,0
2000-12-04,21.0,30.0,21.0,21.0,0.0,0
2000-12-05,21.0,30.0,21.0,21.0,0.0,0
2000-12-06,21.0,30.0,21.0,21.0,0.0,0
2000-12-07,21.0,30.0,21.0,21.0,0.0,0
2000-12-08,21.0,30.0,21.0,21.0,0.0,0
2000-12-11,21.0,30.0,21.0,21.0,0.0,0
2000-12-12,21.0,21.0,21.0,21.0,0.0,0
2000-12-13,21.0,30.0,21.0,21.0,0.0,0
2000-12-14,21.549999237060547,30.0,21.549999237060547,21.549999237060547,0.0,0
2000-12-15,21.5,30.0,21.5,21.5,0.0,0
2000-12-18,21.5,30.0,21.5,21.5,0.0,0
2000-12-19,21.5,30.0,21.5,21.5,0.0,0
2000-12-20,21.5,21.5,21.5,21.5,0.0,60
2000-12-21,21.0,30.0,21.0,21.0,0.0,0
2000-12-22,21.5,30.0,21.5,21.5,0.0,0
2000-12-25,21.5,21.5,21.5,21.5,0.0,0
2000-12-26,21.5,21.5,21.5,21.5,0.0,0
2000-12-27,21.5,21.5,21.5,21.5,0.0,0
2000-12-28,20.600000381469727,20.600000381469727,20.600000381469727,20.600000381469727,0.0,140
